candidate	rank	supporting_evidence	falsifying_or_limiting_evidence	semantic_status
AR_REUSABLE_FORMAL_UNIT	STRONG	free=604; bound=4016; host_types=1191; folios=102; sections=8	prefix/suffix/internal reading-hits=506/7121/1272	UNASSIGNED
OL_REUSABLE_FORMAL_UNIT	STRONG	free=773; bound=6097; host_types=1803; folios=103; sections=8	prefix/suffix/internal reading-hits=3096/8746/3008	UNASSIGNED
DAL_REUSABLE_FORMAL_UNIT	PROVISIONAL	free=332; bound=689; host_types=305; folios=95; sections=8	prefix/suffix/internal reading-hits=526/858/207; right-slot concentration=0.539	UNASSIGNED
DAR_REUSABLE_FORMAL_UNIT	STRONG	free=437; bound=728; host_types=315; folios=94; sections=8	prefix/suffix/internal reading-hits=280/1191/112; right-slot concentration=0.752	UNASSIGNED
SY_REUSABLE_FORMAL_UNIT	STRONG	free=55; bound=135; host_types=115; folios=67; sections=8	prefix/suffix/internal reading-hits=38/240/12; right-slot concentration=0.828	UNASSIGNED
TE_REUSABLE_FORMAL_UNIT	WEAK	free=1; bound=2420; host_types=636; folios=97; sections=8	prefix/suffix/internal reading-hits=617/5/4874	UNASSIGNED
TEE_REUSABLE_FORMAL_UNIT	WEAK	free=1; bound=1096; host_types=256; folios=82; sections=8	prefix/suffix/internal reading-hits=228/4/2181	UNASSIGNED
DY_REUSABLE_FORMAL_UNIT	STRONG	free=408; bound=7878; host_types=1527; folios=103; sections=8	prefix/suffix/internal reading-hits=199/19142/182; right-slot concentration=0.980	UNASSIGNED
D_S_LEFT_FORMAL_CONTRAST	PROVISIONAL	43 retained strongest pair types under D_S_LEFT_CONTRAST	No semantic visual contrast is established; pairs are type-selected and editions are alternate readings.	UNASSIGNED
Q_OUTER_FORMAL_CONTRAST	PROVISIONAL	178 retained strongest pair types under Q_OUTER_INSERTION	No semantic visual contrast is established; pairs are type-selected and editions are alternate readings.	UNASSIGNED
O_OT_LEFT_FORMAL_CONTRAST	PROVISIONAL	26 retained strongest pair types under O_OT_LEFT_CONTRAST	No semantic visual contrast is established; pairs are type-selected and editions are alternate readings.	UNASSIGNED
TE_TEE_FORMAL_CONTRAST	PROVISIONAL	30 retained strongest pair types under TE_TEE_CONTRAST	No semantic visual contrast is established; pairs are type-selected and editions are alternate readings.	UNASSIGNED
FOUR_SLOT_SEMANTIC_TEMPLATE	FAILED	Reusable pieces and formal pairs exist.	Existing whole-manuscript morphology MDL lost to the source winner by 100562.898 bits; no candidate has a stable page-controlled visual role and slot boundaries remain ambiguous/overlapping.	UNASSIGNED
