control_id	architecture_category	label	observation_artifact	observation_sha256	architecture_evidence_artifact	architecture_evidence_sha256	source_selector	ground_truth_basis	planned_capacity	oracle_fields_scored	admitted_before_score
ORDINARY_NATURAL_LANGUAGE	REAL_NATURAL_LANGUAGE	Nuremberg expanded	gdt155_unblinded_lines.tsv	57cbf58af98a14e220852054ce2b6aff90702f332757d0229cc9b6d6f6968ab7	gdt155_blinded_diplomatic.tsv	8e907ee5a29def9098e84239617c8deab4d3420c8df50860107d8637489ec03b	NUREMBERG_EXPANDED	PAIRED_EXPANSION_TRUTH	MATCHED_AND_NATIVE	0	1
ABBREVIATION_HEAVY_MEDIEVAL	REAL_DIPLOMATIC_ABBREVIATION	Nuremberg diplomatic	gdt155_blinded_diplomatic.tsv	8e907ee5a29def9098e84239617c8deab4d3420c8df50860107d8637489ec03b	gdt155_unblinded_lines.tsv	57cbf58af98a14e220852054ce2b6aff90702f332757d0229cc9b6d6f6968ab7	NUREMBERG_DIPLOMATIC	PAIRED_DIPLOMATIC_EXPANSION_TRUTH	MATCHED_AND_NATIVE	0	1
STE1_EXPANDED_RECIPES	REAL_NATURAL_LANGUAGE	Ste1 expanded recipes	gdt155_unblinded_lines.tsv	57cbf58af98a14e220852054ce2b6aff90702f332757d0229cc9b6d6f6968ab7	gdt155_blinded_diplomatic.tsv	8e907ee5a29def9098e84239617c8deab4d3420c8df50860107d8637489ec03b	STE1_EXPANDED	PAIRED_EXPANSION_TRUTH	NATIVE_LOW_CAPACITY	0	1
STE1_DIPLOMATIC_RECIPES	REAL_DIPLOMATIC_ABBREVIATION	Ste1 diplomatic recipes	gdt155_blinded_diplomatic.tsv	8e907ee5a29def9098e84239617c8deab4d3420c8df50860107d8637489ec03b	gdt155_unblinded_lines.tsv	57cbf58af98a14e220852054ce2b6aff90702f332757d0229cc9b6d6f6968ab7	STE1_DIPLOMATIC	PAIRED_DIPLOMATIC_EXPANSION_TRUTH	NATIVE_LOW_CAPACITY	0	1
AUGSBURG_ACCOUNTS_1402_1424	REAL_STRUCTURED_NATURAL_LANGUAGE	Augsburg municipal accounts	gdt158_source_freeze.json	6dce3e1c2fce2397294d7d926f1003683b980c2cfd14dfe0c584d16828e0196c	gdt158_structured_source_manifest.tsv	d70e9686b11b99cfc3e89fa6b62577daa13c0cae78fdc76a61b9f9ec341cac5e	AUGSBURG_XLSX	FROZEN_EXTERNAL_XLSX_SHA256	MATCHED_AND_NATIVE	0	1
LATIN_MEDICAL_GRAPHEMATIC	REAL_DIPLOMATIC_ABBREVIATION	Latin medical graphematic	gdt159_diplomatic_corpora.json.gz	b1a06f205c309848f2d2c43212a4f24419f060f73eab7f9d1d18dc25e459303e	gdt159_diplomatic_source_provenance.json	28ab71282884223bb478d98b94cd6095f09314623311fa05e3d22450fa1eae18	GDT159_CORPUS_ID	SCHOLARLY_DIPLOMATIC_SOURCE_FREEZE	CAPACITY_CHECK_FROZEN	0	1
LATIN_15C_GRAPHEMATIC	REAL_DIPLOMATIC_ABBREVIATION	15c Latin graphematic	gdt159_diplomatic_corpora.json.gz	b1a06f205c309848f2d2c43212a4f24419f060f73eab7f9d1d18dc25e459303e	gdt159_diplomatic_source_provenance.json	28ab71282884223bb478d98b94cd6095f09314623311fa05e3d22450fa1eae18	GDT159_CORPUS_ID	SCHOLARLY_DIPLOMATIC_SOURCE_FREEZE	CAPACITY_CHECK_FROZEN	0	1
LATIN_SCHOLASTIC_GRAPHEMATIC	REAL_DIPLOMATIC_ABBREVIATION	Latin scholastic graphematic	gdt159_diplomatic_corpora.json.gz	b1a06f205c309848f2d2c43212a4f24419f060f73eab7f9d1d18dc25e459303e	gdt159_diplomatic_source_provenance.json	28ab71282884223bb478d98b94cd6095f09314623311fa05e3d22450fa1eae18	GDT159_CORPUS_ID	SCHOLARLY_DIPLOMATIC_SOURCE_FREEZE	CAPACITY_CHECK_FROZEN	0	1
IFORAL_1395_1411_GRAPHEMATIC	REAL_DIPLOMATIC_ABBREVIATION	Latin Portuguese charters	gdt159_diplomatic_corpora.json.gz	b1a06f205c309848f2d2c43212a4f24419f060f73eab7f9d1d18dc25e459303e	gdt159_diplomatic_source_provenance.json	28ab71282884223bb478d98b94cd6095f09314623311fa05e3d22450fa1eae18	GDT159_CORPUS_ID	SCHOLARLY_DIPLOMATIC_SOURCE_FREEZE	CAPACITY_CHECK_FROZEN	0	1
LATIN_GERMAN_APOTHECARY_LATE15	REAL_DIPLOMATIC_ABBREVIATION	Latin German apothecary	gdt159_diplomatic_corpora.json.gz	b1a06f205c309848f2d2c43212a4f24419f060f73eab7f9d1d18dc25e459303e	gdt159_diplomatic_source_provenance.json	28ab71282884223bb478d98b94cd6095f09314623311fa05e3d22450fa1eae18	GDT159_CORPUS_ID	SCHOLARLY_DIPLOMATIC_SOURCE_FREEZE	NATIVE_LOW_CAPACITY_EXPECTED	0	1
