counterexample_type	item	evidence	impact
NEGATIVE_DIRECTED_RELATION	Hacac86c0e609ca90->H2689367b205c16ce	folio/section/hand gains -23.339736/-24.713447/-21.425310	Recurrent exact adjacency does not guarantee transferable directional gain.
NEGATIVE_DIRECTED_RELATION	Ha1fce4363854ff88->Ha1fce4363854ff88	folio/section/hand gains -17.962381/-23.294911/-17.510879	Recurrent exact adjacency does not guarantee transferable directional gain.
NEGATIVE_DIRECTED_RELATION	H055eebf601617046->H055eebf601617046	folio/section/hand gains -16.201060/-13.530841/-14.656048	Recurrent exact adjacency does not guarantee transferable directional gain.
NEGATIVE_DIRECTED_RELATION	H2689367b205c16ce->H055eebf601617046	folio/section/hand gains -15.938735/-18.078613/-18.055285	Recurrent exact adjacency does not guarantee transferable directional gain.
NEGATIVE_DIRECTED_RELATION	Hacac86c0e609ca90->H0a19b4727d1fbd3a	folio/section/hand gains -14.344879/-13.139236/-12.032182	Recurrent exact adjacency does not guarantee transferable directional gain.
NEGATIVE_DIRECTED_RELATION	H3f79bb7b435b0532->Ha1fce4363854ff88	folio/section/hand gains -12.017075/-13.219895/-11.861904	Recurrent exact adjacency does not guarantee transferable directional gain.
NEGATIVE_DIRECTED_RELATION	Ha1fce4363854ff88->H3f79bb7b435b0532	folio/section/hand gains -11.715202/-9.044638/-7.375012	Recurrent exact adjacency does not guarantee transferable directional gain.
NEGATIVE_DIRECTED_RELATION	H055eebf601617046->H3f79bb7b435b0532	folio/section/hand gains -11.586360/-11.609012/-9.736405	Recurrent exact adjacency does not guarantee transferable directional gain.
NEGATIVE_DIRECTED_RELATION	H055eebf601617046->H2689367b205c16ce	folio/section/hand gains -11.547094/-9.281632/-10.551608	Recurrent exact adjacency does not guarantee transferable directional gain.
NEGATIVE_DIRECTED_RELATION	H2689367b205c16ce->Hacac86c0e609ca90	folio/section/hand gains -11.230080/-8.668700/-8.331157	Recurrent exact adjacency does not guarantee transferable directional gain.
NEGATIVE_DIRECTED_RELATION	Hab5b62081b1d305e->H2689367b205c16ce	folio/section/hand gains -10.159348/-11.091420/-13.796966	Recurrent exact adjacency does not guarantee transferable directional gain.
NEGATIVE_DIRECTED_RELATION	H0a19b4727d1fbd3a->H2689367b205c16ce	folio/section/hand gains -9.566824/-16.653466/-10.944802	Recurrent exact adjacency does not guarantee transferable directional gain.
NEGATIVE_DIRECTED_RELATION	Ha1fce4363854ff88->H65c74c15a686187b	folio/section/hand gains -9.487932/-14.996715/-10.200191	Recurrent exact adjacency does not guarantee transferable directional gain.
NEGATIVE_DIRECTED_RELATION	H2689367b205c16ce->H7175517a370b5cd2	folio/section/hand gains -8.872192/-8.389967/-12.238086	Recurrent exact adjacency does not guarantee transferable directional gain.
NEGATIVE_DIRECTED_RELATION	Ha1fce4363854ff88->H055eebf601617046	folio/section/hand gains -8.536799/-11.882103/-9.854030	Recurrent exact adjacency does not guarantee transferable directional gain.
PRIOR_TRANSITION_NEGATIVES	GDT060/GDT111	Prior suffix/full-transition models did not establish a compositional pre-host to post-host algebra.	Any GDT165 gain is exact opaque identity structure, not a resurrection of glyph-edge transition semantics.
COMMUNITY_RESOLUTION	K8_TOP128	One fixed K and frequency-only 128-node panel were tested.	Failure does not exclude every graph resolution; success would remain anonymous.
