world	flip_bits	STRUCTURE_ONLY	WRAPPER	RIGHT	COMPILER	RAW_EXACT	PAGE_HOST_EXACT	RAW_CHAR3	PAGE_HOST_CHAR3	max_standardized_correct
0	000000000	49	62	32	58	50	52	53	59	6.128258770283
1	000000001	47	61	37	61	48	54	57	55	5.892556509888
2	000000010	42	63	35	60	46	51	52	58	6.363961030679
3	000000011	39	63	39	54	47	49	51	56	6.363961030679
4	000000100	47	61	34	57	43	48	51	51	5.892556509888
5	000000101	43	60	32	56	39	36	50	50	5.656854249492
6	000000110	37	61	36	58	32	45	50	52	5.892556509888
7	000000111	34	61	38	54	32	39	44	45	5.892556509888
8	000001000	51	64	30	61	47	45	57	52	6.599663291074
9	000001001	49	64	40	58	44	47	57	53	6.599663291074
10	000001010	37	63	36	54	42	50	47	56	6.363961030679
11	000001011	35	63	40	52	41	43	47	52	6.363961030679
12	000001100	49	62	33	55	42	39	51	47	6.128258770283
13	000001101	47	62	37	53	38	32	50	45	6.128258770283
14	000001110	36	62	38	44	31	41	43	43	6.128258770283
15	000001111	34	62	40	45	33	29	42	38	6.128258770283
16	000010000	49	64	24	57	56	53	52	52	6.599663291074
17	000010001	48	63	33	58	54	42	54	53	6.363961030679
18	000010010	47	64	31	57	51	52	53	54	6.599663291074
19	000010011	46	63	37	57	54	49	53	53	6.363961030679
20	000010100	48	61	29	52	47	47	52	50	5.892556509888
21	000010101	48	62	29	55	47	35	48	45	6.128258770283
22	000010110	45	60	33	51	37	42	48	44	5.656854249492
23	000010111	39	61	40	49	40	37	45	41	5.892556509888
24	000011000	53	64	23	56	54	47	55	50	6.599663291074
25	000011001	49	61	33	55	53	42	55	49	5.892556509888
26	000011010	38	64	34	51	48	49	46	50	6.599663291074
27	000011011	34	62	37	51	50	41	48	46	6.128258770283
28	000011100	51	63	30	50	44	39	51	45	6.363961030679
29	000011101	46	59	30	52	45	34	50	42	5.421151989097
30	000011110	34	55	40	40	40	40	32	39	4.478342947515
31	000011111	28	50	39	39	37	31	33	33	3.299831645537
32	000100000	52	60	34	53	48	47	53	57	5.656854249492
33	000100001	47	60	42	52	42	44	52	57	5.656854249492
34	000100010	45	60	39	48	37	46	43	55	5.656854249492
35	000100011	42	60	38	47	39	37	42	49	5.656854249492
36	000100100	49	59	27	49	32	38	47	46	5.421151989097
37	000100101	46	58	32	50	26	32	49	49	5.185449728701
38	000100110	44	57	33	41	26	29	37	44	4.949747468306
39	000100111	39	56	37	42	23	27	36	41	4.714045207910
40	000101000	44	64	39	52	39	39	50	54	6.599663291074
41	000101001	43	63	42	54	41	37	50	53	6.363961030679
42	000101010	37	65	38	43	31	42	34	51	6.835365551470
43	000101011	38	63	39	46	33	32	35	46	6.363961030679
44	000101100	41	62	30	41	30	34	45	40	6.128258770283
45	000101101	39	61	30	43	33	26	44	39	5.892556509888
46	000101110	33	60	34	35	24	24	31	38	5.656854249492
47	000101111	31	59	37	37	28	18	32	36	5.421151989097
48	000110000	55	61	24	54	55	53	54	52	5.892556509888
49	000110001	56	59	28	55	51	43	58	50	5.421151989097
50	000110010	48	61	33	45	48	45	48	50	5.892556509888
51	000110011	44	59	36	47	42	37	46	44	5.421151989097
52	000110100	54	55	17	48	45	43	52	45	4.478342947515
53	000110101	53	56	27	50	38	36	53	39	4.714045207910
54	000110110	42	50	30	36	38	34	41	39	3.299831645537
55	000110111	35	45	35	35	37	28	42	38	2.121320343560
56	000111000	53	64	26	46	53	47	56	51	6.599663291074
57	000111001	49	61	27	43	50	38	52	44	5.892556509888
58	000111010	37	58	34	36	45	40	37	45	5.185449728701
59	000111011	34	50	34	37	40	32	36	37	3.299831645537
60	000111100	51	41	20	36	39	39	52	41	3.771236166328
61	000111101	42	39	23	35	32	29	42	37	1.414213562373
62	000111110	33	43	33	27	35	30	32	37	1.649915822769
63	000111111	29	43	34	28	35	24	31	33	1.649915822769
64	001000000	48	60	32	56	44	47	46	50	5.656854249492
65	001000001	50	61	44	56	41	42	47	48	5.892556509888
66	001000010	42	59	41	50	40	50	39	50	5.421151989097
67	001000011	37	59	43	45	35	41	37	42	5.421151989097
68	001000100	47	58	33	49	32	37	42	41	5.185449728701
69	001000101	47	58	41	56	35	34	42	38	5.185449728701
70	001000110	36	58	38	41	27	41	34	40	5.185449728701
71	001000111	31	57	42	38	22	32	33	32	4.949747468306
72	001001000	44	63	37	52	40	41	45	46	6.363961030679
73	001001001	41	60	45	50	38	35	47	49	5.656854249492
74	001001010	30	62	43	39	34	38	35	44	6.128258770283
75	001001011	28	59	46	38	28	35	34	34	5.421151989097
76	001001100	40	61	36	48	29	33	40	43	5.892556509888
77	001001101	38	59	41	47	35	29	39	36	5.421151989097
78	001001110	28	55	41	32	24	29	29	31	4.478342947515
79	001001111	28	51	44	32	20	26	29	26	3.535533905933
80	001010000	48	61	31	55	48	44	48	52	5.892556509888
81	001010001	46	60	34	55	48	37	48	46	5.656854249492
82	001010010	37	58	42	46	42	49	38	44	5.185449728701
83	001010011	33	53	41	48	39	35	38	38	4.006938426724
84	001010100	46	51	33	49	40	34	48	42	3.535533905933
85	001010101	40	46	38	50	47	34	44	31	3.299831645537
86	001010110	34	36	40	38	32	38	29	30	0.942809041582
87	001010111	27	35	46	36	34	27	32	25	2.357022603955
88	001011000	51	58	34	50	46	40	50	44	5.185449728701
89	001011001	46	56	37	52	45	32	50	40	4.714045207910
90	001011010	29	49	45	34	35	38	32	38	3.064129385142
91	001011011	27	45	45	35	36	31	29	31	2.121320343560
92	001011100	42	44	36	38	37	31	45	36	2.121320343560
93	001011101	36	38	35	35	37	31	46	29	2.357022603955
94	001011110	25	30	37	24	31	27	24	23	0.235702260396
95	001011111	26	26	43	24	29	24	23	14	1.649915822769
96	001100000	47	58	37	49	42	46	47	48	5.185449728701
97	001100001	47	58	48	48	39	35	46	44	5.185449728701
98	001100010	34	55	41	37	26	39	33	39	4.478342947515
99	001100011	34	55	45	36	23	29	32	37	4.478342947515
100	001100100	45	55	32	41	19	31	34	34	4.478342947515
101	001100101	42	54	42	43	25	25	37	32	4.242640687119
102	001100110	31	45	39	31	18	29	27	31	2.121320343560
103	001100111	27	42	40	32	18	22	28	26	1.414213562373
104	001101000	39	61	37	41	34	38	45	41	5.892556509888
105	001101001	39	57	47	45	34	30	43	40	4.949747468306
106	001101010	29	54	41	32	13	31	28	35	4.242640687119
107	001101011	29	48	45	31	16	28	28	29	2.828427124746
108	001101100	37	45	34	30	24	29	32	31	2.121320343560
109	001101101	35	40	45	33	25	22	32	26	2.121320343560
110	001101110	28	34	38	25	16	22	24	26	0.471404520791
111	001101111	26	31	41	24	17	20	26	23	1.178511301978
112	001110000	50	54	33	44	41	42	42	43	4.242640687119
113	001110001	49	52	40	39	42	32	40	41	3.771236166328
114	001110010	39	38	40	34	34	36	31	36	0.942809041582
115	001110011	34	36	41	34	31	28	28	36	1.178511301978
116	001110100	46	37	31	38	28	32	35	35	2.357022603955
117	001110101	42	33	31	35	32	26	36	30	1.414213562373
118	001110110	34	23	40	22	25	30	21	24	0.942809041582
119	001110111	27	17	41	21	28	22	23	23	1.178511301978
120	001111000	41	38	32	35	40	35	38	35	1.178511301978
121	001111001	39	37	40	36	39	27	33	34	0.942809041582
122	001111010	29	34	39	27	26	26	23	28	0.707106781187
123	001111011	28	26	41	25	27	25	23	25	1.178511301978
124	001111100	32	25	30	24	23	32	31	27	-0.942809041582
125	001111101	28	18	33	24	29	26	32	26	-0.707106781187
126	001111110	28	10	37	21	22	22	19	16	0.235702260396
127	001111111	26	10	41	19	24	21	21	18	1.178511301978
128	010000000	49	65	27	56	51	55	54	61	6.835365551470
129	010000001	49	64	36	60	52	52	56	60	6.599663291074
130	010000010	50	64	33	64	51	52	48	60	6.599663291074
131	010000011	51	62	36	64	56	51	52	57	6.599663291074
132	010000100	49	63	32	54	47	48	48	52	6.363961030679
133	010000101	48	65	32	55	50	44	51	51	6.835365551470
