model	register	events	dy_boundaries	nuisance_bits	model_bits	gain_bits
NUISANCE	HERBAL_A	3038	110	698.2368713	698.2368713	0
NUISANCE	HERBAL_B	1085	253	749.888354063	749.888354063	0
NUISANCE	OTHER_A	785	73	358.655649322	358.655649322	0
NUISANCE	OTHER_B	3706	991	2562.24649456	2562.24649456	0
NUISANCE	STARS_RECIPE_B	4031	828	2445.41149359	2445.41149359	0
NEXT_RAW_CHAR3	HERBAL_A	3038	110	698.2368713	963.479726026	-265.242854726
NEXT_RAW_CHAR3	HERBAL_B	1085	253	749.888354063	1124.91035591	-375.022001849
NEXT_RAW_CHAR3	OTHER_A	785	73	358.655649322	449.430620027	-90.7749707049
NEXT_RAW_CHAR3	OTHER_B	3706	991	2562.24649456	3406.99207598	-844.745581419
NEXT_RAW_CHAR3	STARS_RECIPE_B	4031	828	2445.41149359	3249.55841685	-804.146923264
NEXT_PAGE_HOST_CHAR3	HERBAL_A	3038	110	698.2368713	859.761720628	-161.524849329
NEXT_PAGE_HOST_CHAR3	HERBAL_B	1085	253	749.888354063	1056.80157046	-306.913216396
NEXT_PAGE_HOST_CHAR3	OTHER_A	785	73	358.655649322	406.663020644	-48.0073713211
NEXT_PAGE_HOST_CHAR3	OTHER_B	3706	991	2562.24649456	3224.59011487	-662.343620309
NEXT_PAGE_HOST_CHAR3	STARS_RECIPE_B	4031	828	2445.41149359	2900.99056212	-455.579068527
PREV_PAGE_HOST_CHAR3	HERBAL_A	3038	110	698.2368713	737.581094314	-39.3442230142
PREV_PAGE_HOST_CHAR3	HERBAL_B	1085	253	749.888354063	444.318897887	305.569456176
PREV_PAGE_HOST_CHAR3	OTHER_A	785	73	358.655649322	316.777741477	41.8779078453
PREV_PAGE_HOST_CHAR3	OTHER_B	3706	991	2562.24649456	669.871199633	1892.37529493
PREV_PAGE_HOST_CHAR3	STARS_RECIPE_B	4031	828	2445.41149359	878.704436462	1566.70705713
NEXT_COMPILER	HERBAL_A	3038	110	698.2368713	698.2368713	0
NEXT_COMPILER	HERBAL_B	1085	253	749.888354063	749.888354063	0
NEXT_COMPILER	OTHER_A	785	73	358.655649322	358.655649322	0
NEXT_COMPILER	OTHER_B	3706	991	2562.24649456	2562.24649456	0
NEXT_COMPILER	STARS_RECIPE_B	4031	828	2445.41149359	2445.41149359	0
NEXT_PREV_PAGE_HOST_CHAR3	HERBAL_A	3038	110	698.2368713	891.206522558	-192.969651259
NEXT_PREV_PAGE_HOST_CHAR3	HERBAL_B	1085	253	749.888354063	647.251569399	102.636784664
NEXT_PREV_PAGE_HOST_CHAR3	OTHER_A	785	73	358.655649322	369.100549684	-10.4449003613
NEXT_PREV_PAGE_HOST_CHAR3	OTHER_B	3706	991	2562.24649456	966.695753835	1595.55074072
NEXT_PREV_PAGE_HOST_CHAR3	STARS_RECIPE_B	4031	828	2445.41149359	1033.50134666	1411.91014693
NEXT_PAGE_HOST_EDGE_PAIR	HERBAL_A	3038	110	698.2368713	804.165214118	-105.928342818
NEXT_PAGE_HOST_EDGE_PAIR	HERBAL_B	1085	253	749.888354063	709.429455851	40.4588982116
NEXT_PAGE_HOST_EDGE_PAIR	OTHER_A	785	73	358.655649322	353.047833574	5.60781574819
NEXT_PAGE_HOST_EDGE_PAIR	OTHER_B	3706	991	2562.24649456	1344.39390825	1217.85258631
NEXT_PAGE_HOST_EDGE_PAIR	STARS_RECIPE_B	4031	828	2445.41149359	1472.11773954	973.293754053
NEXT_PREV_PAGE_HOST_EDGE_PAIR	HERBAL_A	3038	110	698.2368713	868.324578215	-170.087706916
NEXT_PREV_PAGE_HOST_EDGE_PAIR	HERBAL_B	1085	253	749.888354063	534.313628302	215.574725761
NEXT_PREV_PAGE_HOST_EDGE_PAIR	OTHER_A	785	73	358.655649322	366.716565376	-8.06091605384
NEXT_PREV_PAGE_HOST_EDGE_PAIR	OTHER_B	3706	991	2562.24649456	542.648851595	2019.59764296
NEXT_PREV_PAGE_HOST_EDGE_PAIR	STARS_RECIPE_B	4031	828	2445.41149359	814.655290576	1630.75620301
NEXT_HOST_FINAL	HERBAL_A	3038	110	698.2368713	704.866739698	-6.62986839804
NEXT_HOST_FINAL	HERBAL_B	1085	253	749.888354063	758.064892379	-8.17653831568
NEXT_HOST_FINAL	OTHER_A	785	73	358.655649322	358.583304417	0.0723449057476
NEXT_HOST_FINAL	OTHER_B	3706	991	2562.24649456	2557.53293831	4.71355624475
NEXT_HOST_FINAL	STARS_RECIPE_B	4031	828	2445.41149359	2489.8792888	-44.4677952089
PREV_HOST_FINAL	HERBAL_A	3038	110	698.2368713	541.587933003	156.648938297
PREV_HOST_FINAL	HERBAL_B	1085	253	749.888354063	272.704326535	477.184027528
PREV_HOST_FINAL	OTHER_A	785	73	358.655649322	245.369288642	113.286360681
PREV_HOST_FINAL	OTHER_B	3706	991	2562.24649456	422.121717777	2140.12477678
PREV_HOST_FINAL	STARS_RECIPE_B	4031	828	2445.41149359	673.70641875	1771.70507484
