site_id	corpus	record_id	line_id	site_index_in_record	surface_span_bare	surface_span_marked	source_element
AS64552AAE8DB3A4	STE1	STE1_SEG01	STE1_SEG01_L0001	1	vn	vn¤	abbr
AS8F05A3E04EF2AD	STE1	STE1_SEG01	STE1_SEG01_L0001	2	i	i¤	abbr
ASDF9B40EFEEB989	STE1	STE1_SEG01	STE1_SEG01_L0001	3	eine	eine¤	abbr
ASE201746292CB5D	STE1	STE1_SEG01	STE1_SEG01_L0002	4	valln	valln¤	abbr
ASB2D3A0A746F6CF	STE1	STE1_SEG01	STE1_SEG01_L0002	5	vn	vn¤	abbr
AS098AE0B0520782	STE1	STE1_SEG01	STE1_SEG01_L0002	6	i	i¤	abbr
AS39589AA45348B7	STE1	STE1_SEG01	STE1_SEG01_L0002	7	eine	eine¤	abbr
AS52691FADBD8243	STE1	STE1_SEG01	STE1_SEG01_L0002	8	dickn	dickn¤	abbr
AS5F7F3BCAE1BB3B	STE1	STE1_SEG01	STE1_SEG01_L0002	9	vn	vn¤	abbr
AS20CBECB3F2B8CA	STE1	STE1_SEG01	STE1_SEG01_L0003	10	vn	vn¤	abbr
AS4B179B3C6558D7	STE1	STE1_SEG01	STE1_SEG01_L0003	11	i	i¤	abbr
ASCEA9E82B806226	STE1	STE1_SEG01	STE1_SEG01_L0003	12	vn	vn¤	abbr
AS220B8CF21F3FD1	STE1	STE1_SEG01	STE1_SEG01_L0003	13	gutn	gutn¤	abbr
ASC8C893ABCB4A11	STE1	STE1_SEG01	STE1_SEG01_L0003	14	vn	vn¤	abbr
AS5C38BB587DB423	STE1	STE1_SEG01	STE1_SEG01_L0004	15	vn	vn¤	abbr
ASB2721803F2F966	STE1	STE1_SEG02	STE1_SEG02_L0001	1	eine	eine¤	abbr
ASB56E6F9F0DE5DE	STE1	STE1_SEG02	STE1_SEG02_L0001	2	vn	vn¤	abbr
ASE914A5DE0FBE25	STE1	STE1_SEG02	STE1_SEG02_L0001	3	wass	wass¤	abbr
AS6C96523FBE4CC9	STE1	STE1_SEG02	STE1_SEG02_L0001	4	vn	vn¤	abbr
AS464F86449B105F	STE1	STE1_SEG02	STE1_SEG02_L0001	5	siedn	siedn¤	abbr
AS690587EA465B37	STE1	STE1_SEG02	STE1_SEG02_L0002	6	vn	vn¤	abbr
AS05DB27BB5C9852	STE1	STE1_SEG02	STE1_SEG02_L0002	7	hausz	hausz¤	abbr
AS51B7C62346B31A	STE1	STE1_SEG02	STE1_SEG02_L0002	8	vn	vn¤	abbr
AS7D1019AC19BED9	STE1	STE1_SEG02	STE1_SEG02_L0002	9	vn	vn¤	abbr
