relation_id	representation	source_page	target_page	source_rank_of_true_target	target_rank_of_true_source	mutual_top2	raw_similarity
MHI002	PAGE_HOST_IDENTITY	f17v	f96v	4	2	0	0.0865384615385
MHI003	PAGE_HOST_IDENTITY	f44r	f1v	2	5	0	0.0862068965517
MHI004	PAGE_HOST_IDENTITY	f6r	f51r	4	1	0	0.133333333333
MHI006	PAGE_HOST_IDENTITY	f19r	f2v	1	2	1	0.261538461538
MHI007	PAGE_HOST_IDENTITY	f90r1	f3v	1	3	0	0.140845070423
MHI002	PAGE_HOST_CHAR3	f17v	f96v	1	1	1	0.20245398773
MHI003	PAGE_HOST_CHAR3	f44r	f1v	2	1	1	0.174358974359
MHI004	PAGE_HOST_CHAR3	f6r	f51r	3	1	0	0.248447204969
MHI006	PAGE_HOST_CHAR3	f19r	f2v	1	1	1	0.282608695652
MHI007	PAGE_HOST_CHAR3	f90r1	f3v	1	4	0	0.209756097561
MHI002	RAW_CHAR3	f17v	f96v	4	1	0	0.166315789474
MHI003	RAW_CHAR3	f44r	f1v	2	1	1	0.231939163498
MHI004	RAW_CHAR3	f6r	f51r	4	2	0	0.190114068441
MHI006	RAW_CHAR3	f19r	f2v	2	1	1	0.294701986755
MHI007	RAW_CHAR3	f90r1	f3v	3	5	0	0.207667731629
MHI002	COMPILER_SIGNATURE	f17v	f96v	3	5	0	0.215053763441
MHI003	COMPILER_SIGNATURE	f44r	f1v	4	2	0	0.235294117647
MHI004	COMPILER_SIGNATURE	f6r	f51r	5	5	0	0.133333333333
MHI006	COMPILER_SIGNATURE	f19r	f2v	2	1	1	0.28125
MHI007	COMPILER_SIGNATURE	f90r1	f3v	2	5	0	0.306451612903
