model	scheme	language	seed	total_bits	bits_per_symbol	gap_vs_matched_null_bits	gap_vs_source_winner_bits	key_bits	payload_bits	common_residual_bits	fixed_bits	decoder_hash	cpu_exact
MATCHED_EDGE_NULL	INITIAL	_	0	762972.3383173314	3.9262897959970533	0.0	170932.07244724268	491726.1105707473	121451.61484202438	491718.52560824656	149794.61290455973	29c8e230bda2f27f39ee5ec081c844a7cc4153708b5f2928e7756a6193c543ea	True
EDGE_LANGUAGE	INITIAL	latin	21101	854228.516078879	4.395898170472401	91256.17776154762	262188.2502087903	491847.5677208021	212586.33545351727	491718.52560824656	149794.61290455973	9e867df0b9ef19a34d05ff1e5a8aa4a5ade8299813405c9d22b2d8c6de2d13bd	True
EDGE_LANGUAGE	INITIAL	middle_high_german	21101	857831.3516433019	4.414438523513832	94859.0133259705	265791.0857732132	491847.5677208021	216189.17101794004	491718.52560824656	149794.61290455973	4f78fac4d878920930a76e86f4207f1d6e9f8a2d56523e845dc92a414575b7c1	True
EDGE_LANGUAGE	INITIAL	middle_french	21101	849338.0730344862	4.370731731718605	86365.73471715476	257297.80716439744	491847.5677208021	207695.8924091244	491718.52560824656	149794.61290455973	f31a6576670a576a58239417c474e973c24fbd2fb94fbe28e8dcb6b4e0437799	True
EDGE_LANGUAGE	INITIAL	old_italian_tuscan	21101	844943.5539088887	4.348117339643527	81971.21559155732	252903.2880388	491847.5677208021	203301.37328352692	491718.52560824656	149794.61290455973	6df6aa75ce70ee45982f272255c297d234662ce51596eec9c2b653ae73b697f7	True
EDGE_LANGUAGE	INITIAL	medieval_czech	21101	832846.8445031975	4.285867131714031	69874.50618586608	240806.57863310876	491847.5677208021	191204.6638778356	491718.52560824656	149794.61290455973	a3f4d274d7515f8f315bc57a41871cd5baf6822b5633e8bc3366b55795db6961	True
EDGE_LANGUAGE	INITIAL	old_hungarian	21101	858342.5517724463	4.417069182254617	95370.21345511486	266302.28590235754	491847.5677208021	216700.37114708446	491718.52560824656	149794.61290455973	6d12b0c6cf7285e824c25059df274a33df6deefc50139ca9ab6c695610503857	True
MATCHED_EDGE_NULL	FINAL	_	0	695365.1916123602	3.5783803936331084	0.0	103324.92574227147	447922.8431124913	97647.73559530922	447915.2581499906	149794.61290455973	aec3b6330c6c1e9850ac9c8ac984bf6298e4cd089f71f0512bd5fdd2e16234cc	True
EDGE_LANGUAGE	FINAL	latin	21101	809554.950959416	4.166006005225376	114189.7593470558	217514.68508932728	448044.3002625461	211716.0377923102	447915.2581499906	149794.61290455973	23c5dc696c374a0b6df15116ed20d2c5bf657a619a02a4383a5c63df54c92eb7	True
EDGE_LANGUAGE	FINAL	middle_high_german	21101	811068.2426638157	4.173793472056029	115703.05105145555	219027.97679372702	448044.3002625461	213229.32949670995	447915.2581499906	149794.61290455973	7c46189ac7c4b22e88ebb8031e2bd6141201c72a96e6525d5f89830e41f896db	True
EDGE_LANGUAGE	FINAL	middle_french	21101	804385.2255475597	4.1394023669107245	109020.03393519949	212344.95967747096	448044.3002625461	206546.3123804538	447915.2581499906	149794.61290455973	e6fbb1356ce9f421c0a7a9cfca05c9707fb799c581de218d461e1125d0cabf14	True
EDGE_LANGUAGE	FINAL	old_italian_tuscan	21101	805323.7894551309	4.144232258779826	109958.59784277075	213283.52358504222	448044.3002625461	207484.87628802515	447915.2581499906	149794.61290455973	a4669bfcb1dee77e7ea8e293169fa1da587265fcb8b65c40b93b37f26746fcab	True
EDGE_LANGUAGE	FINAL	medieval_czech	21101	783601.7349240783	4.032449594100977	88236.54331171815	191561.46905398963	448044.3002625461	185762.8217569725	447915.2581499906	149794.61290455973	18451d73756a436836cbaf311328072ec825cb45b5e76f611f514ded0e70b6ea	True
EDGE_LANGUAGE	FINAL	old_hungarian	21101	804330.7662451823	4.1391221169036365	108965.57463282207	212290.50037509354	448044.3002625461	206491.8530780764	447915.2581499906	149794.61290455973	f68a2791557c7b50ac571576f5945b672e948e3d9eeb8abe632889ade31c23bb	True
MATCHED_EDGE_NULL	EDGES	_	0	753105.6831647477	3.875515547048989	0.0	161065.41729465895	389986.6210604707	213324.44919971723	389979.03609797	149794.61290455973	c462b350089390464f629d3b780a140aa254f4b80f9d34a0436ba7dfab1fee5d	True
EDGE_LANGUAGE	EDGES	latin	21101	930754.9579971511	4.789706665142499	177649.2748324034	338714.69212706236	390108.0782105255	390852.2668820658	389979.03609797	149794.61290455973	73995dd8d267f6ab8f28be1ae3a7a5799243bc7b8a054e666cf18560ac144446	True
EDGE_LANGUAGE	EDGES	middle_high_german	21101	895538.3552107181	4.60848045126036	142432.67204597045	303498.0893406294	390108.0782105255	355635.66409563285	389979.03609797	149794.61290455973	86120555c19ab0370ec92c3cdcc591ed71c60baa1de0d0dd20ff36f64767cf43	True
EDGE_LANGUAGE	EDGES	middle_french	21101	926983.5571103365	4.7702988674087425	173877.87394558883	334943.2912402478	390108.0782105255	387080.86599525134	389979.03609797	149794.61290455973	e53f268fb8c8d17e8bb1d13643057de12774ac998c65efe6272d00ae903cce2c	True
EDGE_LANGUAGE	EDGES	old_italian_tuscan	21101	921804.252376166	4.743645933472788	168698.5692114184	329763.98650607734	390108.0782105255	381901.5612610808	389979.03609797	149794.61290455973	d7e8455c552717823297d63d6eac1412ce168fadfe4d652a0f6d452e631e3457	True
EDGE_LANGUAGE	EDGES	medieval_czech	21101	912790.4847455276	4.697260681879375	159684.80158077995	320750.2188754389	390108.0782105255	372887.7936304424	389979.03609797	149794.61290455973	6fad0df3321f32f894bbf5c270fce62c0e5fcba595cf1a443eb2594efeb52162	True
EDGE_LANGUAGE	EDGES	old_hungarian	21101	875475.8359191392	4.505237829188053	122370.15275439154	283435.5700490505	390108.0782105255	335573.144804054	389979.03609797	149794.61290455973	9e4dcf0c8a33519c5f5376a7183a0f1009581e0472d06f4469b8c4760e1bf8d1	True
