model	scope	pairs	gain_bits	reference_top1	model_top1	reference_top3	model_top3
RAW_CHAR3	ALL_DESCRIPTIVE	252	1.193537957302	156	156	216	216
RAW_CHAR3	PRIMARY_CONTINUATION_TO_CONTINUATION	221	-0.099269331537	132	132	189	188
RAW_CHAR3	EXPOSED_START_TO_NEXT	31	1.292807288838	24	24	27	28
RAW_CHAR3	PRIMARY_NONOVERLAP_EVEN_SOURCE_LINE	111	-0.191707261909	60	60	94	90
RAW_CHAR3	PRIMARY_NONOVERLAP_ODD_SOURCE_LINE	110	0.092437930372	72	72	95	98
RAW_CHAR3	PRIMARY_SECTION_B	69	-0.023196542072	31	31	58	60
RAW_CHAR3	PRIMARY_SECTION_C	3	-0.150945461800	2	2	2	2
RAW_CHAR3	PRIMARY_SECTION_H	136	-0.806953012057	89	89	119	115
RAW_CHAR3	PRIMARY_SECTION_P	4	-0.329526861674	3	3	3	4
RAW_CHAR3	PRIMARY_SECTION_T	9	1.211352546067	7	7	7	7
HOST_CHAR3	ALL_DESCRIPTIVE	252	-9.569078974926	156	155	216	223
HOST_CHAR3	PRIMARY_CONTINUATION_TO_CONTINUATION	221	-5.415975478810	132	132	189	196
HOST_CHAR3	EXPOSED_START_TO_NEXT	31	-4.153103496116	24	23	27	27
HOST_CHAR3	PRIMARY_NONOVERLAP_EVEN_SOURCE_LINE	111	-3.942546430608	60	60	94	97
HOST_CHAR3	PRIMARY_NONOVERLAP_ODD_SOURCE_LINE	110	-1.473429048202	72	72	95	99
HOST_CHAR3	PRIMARY_SECTION_B	69	-1.472568592831	31	31	58	64
HOST_CHAR3	PRIMARY_SECTION_C	3	0.540811967921	2	2	2	3
HOST_CHAR3	PRIMARY_SECTION_H	136	-5.315281961862	89	89	119	117
HOST_CHAR3	PRIMARY_SECTION_P	4	-0.413239891631	3	3	3	3
HOST_CHAR3	PRIMARY_SECTION_T	9	1.244302999592	7	7	7	9
COMPILER12	ALL_DESCRIPTIVE	252	2.634131275533	156	156	216	222
COMPILER12	PRIMARY_CONTINUATION_TO_CONTINUATION	221	1.882563650684	132	132	189	194
COMPILER12	EXPOSED_START_TO_NEXT	31	0.751567624849	24	24	27	28
COMPILER12	PRIMARY_NONOVERLAP_EVEN_SOURCE_LINE	111	1.609239245807	60	60	94	96
COMPILER12	PRIMARY_NONOVERLAP_ODD_SOURCE_LINE	110	0.273324404877	72	72	95	98
COMPILER12	PRIMARY_SECTION_B	69	2.822557653507	31	31	58	61
COMPILER12	PRIMARY_SECTION_C	3	0.027479371433	2	2	2	2
COMPILER12	PRIMARY_SECTION_H	136	-0.909744231371	89	89	119	120
COMPILER12	PRIMARY_SECTION_P	4	-0.045092909035	3	3	3	4
COMPILER12	PRIMARY_SECTION_T	9	-0.012636233850	7	7	7	7
