model	scope	held_or_scored_section	pairs	gain_bits
HOST_CHAR3	SECTION	B	8	-4.662168021577
HOST_CHAR3	LEAVE_SECTION_OUT	B	23	0.509064525461
HOST_CHAR3	SECTION	C	2	0.506845621111
HOST_CHAR3	LEAVE_SECTION_OUT	C	29	-4.659949117227
HOST_CHAR3	SECTION	H	20	-0.220781455182
HOST_CHAR3	LEAVE_SECTION_OUT	H	11	-3.932322040934
HOST_CHAR3	SECTION	P	1	0.223000359532
HOST_CHAR3	LEAVE_SECTION_OUT	P	30	-4.376103855648
RAW_CHAR3	SECTION	B	8	1.106684575204
RAW_CHAR3	LEAVE_SECTION_OUT	B	23	0.186122713634
RAW_CHAR3	SECTION	C	2	-0.367853094198
RAW_CHAR3	LEAVE_SECTION_OUT	C	29	1.660660383036
RAW_CHAR3	SECTION	H	20	0.514536328137
RAW_CHAR3	LEAVE_SECTION_OUT	H	11	0.778270960701
RAW_CHAR3	SECTION	P	1	0.039439479695
RAW_CHAR3	LEAVE_SECTION_OUT	P	30	1.253367809143
COMPILER12	SECTION	B	8	0.408539514983
COMPILER12	LEAVE_SECTION_OUT	B	23	0.343028109866
COMPILER12	SECTION	C	2	0.233235399517
COMPILER12	LEAVE_SECTION_OUT	C	29	0.518332225333
COMPILER12	SECTION	H	20	-0.386756484409
COMPILER12	LEAVE_SECTION_OUT	H	11	1.138324109258
COMPILER12	SECTION	P	1	0.496549194758
COMPILER12	LEAVE_SECTION_OUT	P	30	0.255018430091
EDGE29	SECTION	B	8	-0.631434607626
EDGE29	LEAVE_SECTION_OUT	B	23	0.166490506679
EDGE29	SECTION	C	2	-0.051725897225
EDGE29	LEAVE_SECTION_OUT	C	29	-0.413218203722
EDGE29	SECTION	H	20	-0.028347841341
EDGE29	LEAVE_SECTION_OUT	H	11	-0.436596259606
EDGE29	SECTION	P	1	0.246564245245
EDGE29	LEAVE_SECTION_OUT	P	30	-0.711508346193
FACTORED	SECTION	B	8	-5.201839299682
FACTORED	LEAVE_SECTION_OUT	B	23	0.956710298993
FACTORED	SECTION	C	2	0.684494963398
FACTORED	LEAVE_SECTION_OUT	C	29	-4.929623964087
FACTORED	SECTION	H	20	-0.612590769128
FACTORED	LEAVE_SECTION_OUT	H	11	-3.632538231561
FACTORED	SECTION	P	1	0.884806104723
FACTORED	LEAVE_SECTION_OUT	P	30	-5.129935105412
FACTORED_PLUS_RAW	SECTION	B	8	-3.860604195520
FACTORED_PLUS_RAW	LEAVE_SECTION_OUT	B	23	0.999953945634
FACTORED_PLUS_RAW	SECTION	C	2	0.412616123846
FACTORED_PLUS_RAW	LEAVE_SECTION_OUT	C	29	-3.273266373732
FACTORED_PLUS_RAW	SECTION	H	20	-0.312913674875
FACTORED_PLUS_RAW	LEAVE_SECTION_OUT	H	11	-2.547736575011
FACTORED_PLUS_RAW	SECTION	P	1	0.900251496662
FACTORED_PLUS_RAW	LEAVE_SECTION_OUT	P	30	-3.760901746548
