evidence_id	observation	weight	compressed_language_fit	notation_fit	hybrid_fit	source	theory_use
E01	Physical lines carry a rising local coordinate that resets at every new line.	3	0.5	1.0	1.0	CONFIRMED_GRAMMAR.md	LINE is the primary record/utterance serialization unit.
E02	Literal roots have a qualified order-free page inventory, while adjacent identities retain local assembly information.	2	1.0	1.0	1.0	CONFIRMED_GRAMMAR.md	A page selects a domain lexicon; line schemas order selected fields.
E03	Directional root-pair information transfers across Currier A/B beyond unordered pair affinity (+0.01725 bit/edge).	3	1.0	0.5	1.0	CONFIRMED_GRAMMAR.md	Currier profiles are renderers of a shared abstract construction system.
E04	AR, OL, DAL, DAR, SY and DY occur freely and bound; ar|ol and dar|ol have manual split/join analogues.	3	1.0	0.5	1.0	gdt002_morphology_results.json	Units are reusable macros/abbreviated stems; boundaries serialize fields rather than lexical words.
E05	Labels contain 13.519 candidate hits per 100 symbols versus 10.586 in prose and 2.19x the multi-module-group rate.	2	0.5	1.0	1.0	gdt002_morphology_results.json	Labels are compact record projections; prose expands the same repertoire.
E06	q-prepend and DY-append form the clearest compatible edge pair; q survives every nested training fold.	2	1.0	1.0	1.0	gdt003_results.json;gdt003_nested_result.json	Left scope and right closure are separate realization dimensions.
E07	daldy recurs as 13 all-reading-exact physical groups across prose/nonprose, while f75v contains a second reading-sensitive identical label.	2	0.5	1.0	1.0	gdt002_morphology_occurrences.tsv	DAL+DY is a stock field value/formula rather than an object name.
E08	The global source winner is a metadata-aware online context mixer at 2.960465 bits/source symbol and is not language-specific.	3	0.0	1.0	1.0	GDT001_CURRENT_SUMMARY.md	Realization is locally templatic and register-conditioned rather than a single substitution/plain-language stream.
E09	Thousands of language/cipher/notation searches yield no stable mapping; language-side candidates lose decisively to the source generator.	3	0.0	1.0	1.0	GDT001_CURRENT_SUMMARY.md	The observed layer is not direct plaintext and contains a manuscript-specific conventionalization layer.
E10	AROL occurs in apparatus-associated and plant-label contexts; visual-role scans do not recover a stable object meaning.	2	0.5	1.0	1.0	gdt002_morphology_results.json	AROL is a relational/record construction, not a noun meaning flow or plant.
E11	che+VALUE is highly productive and AII+N tends to precede AI+N within lines.	2	1.0	1.0	1.0	CONFIRMED_GRAMMAR.md	Explicit field carriers and ordered parameter grades coexist with stem material.
E12	Held directional adjacency survives metadata exclusion and exceeds the fixed Timm copy/modify generator.	3	1.0	0.5	1.0	CONFIRMED_GRAMMAR.md	The system has genuine constructional sequencing, not only local imitation or a bag of codes.
E13	Q20 positional OPEN does not improve BODY prediction in the registered direct-cache model.	1	0.5	1.0	1.0	q20ob001_result.json	Records need not be heading-plus-content; fields can be locally generated from page schema without lexical copying.
