view	reference_renderer	other_renderer	alignment_type	mean_held_geometry_correlation	null_mean	excess	inclusive_p
CONTROL_X	R1_S1	R1_S2	CROSS_SCRIBE	1.0	0.2079222096674907	0.7920777903325094	0.000975609756097561
CONTROL_X	R1_S1	R2_S1	CROSS_REGISTER	1.0	0.21600792912987227	0.7839920708701278	0.000975609756097561
CONTROL_X	R1_S1	R3_S1	CROSS_REGISTER	0.9999999999999997	0.21517375680970421	0.7848262431902955	0.000975609756097561
CONTROL_X	R1_S1	R4_S1	CROSS_REGISTER	0.9999999999999999	0.19807656839528895	0.8019234316047109	0.000975609756097561
CONTROL_X	R1_S1	R5_S1	CROSS_REGISTER	0.9999999999999998	0.19727612717178955	0.8027238728282102	0.000975609756097561
CONTROL_Y	R1_S1	R1_S2	CROSS_SCRIBE	0.9999999999999998	0.33078040372452105	0.6692195962754788	0.000975609756097561
CONTROL_Y	R1_S1	R2_S1	CROSS_REGISTER	0.9999999999999998	0.3258857376937377	0.6741142623062621	0.000975609756097561
CONTROL_Y	R1_S1	R3_S1	CROSS_REGISTER	1.0	0.3315304913487977	0.6684695086512022	0.000975609756097561
CONTROL_Y	R1_S1	R4_S1	CROSS_REGISTER	1.0	0.32034094748934394	0.6796590525106561	0.000975609756097561
CONTROL_Y	R1_S1	R5_S1	CROSS_REGISTER	1.0	0.324860591977527	0.6751394080224731	0.000975609756097561
