component	layer	status	provisional_function	support	counterevidence
PHYSICAL_LINE	RECORD_SERIALIZATION	STRONG_FORMAL	line-reset record unit	confirmed line reset and directional within-line coordinate	not a decoded sentence
PAGE_ADDRESS_INVENTORY	PAGE_PROFILE	STRONG_FORMAL	page-conditioned address vocabulary	held page-local PAGE_HOST inventory	page topic/meaning unproved
FULL_PAGE_HOST	CONTENT_ADDRESS	PROVISIONAL_EXTERNAL_LEAD	coupled object/content address	GDT103 +61.849 object-axis bits and GDT106 full-host representation winner	archive exposed; broad exact-host bundles and cross-section transfer fail
EDGE_STRIPPED_CORE	ADDRESS_CORE	NOT_INDEPENDENTLY_SUPPORTED	latent reusable core inside address	formal split/join and dense families	GDT106 stripping destroys signal; GDT107 object preservation p=.536
FINAL_CHARACTER	EDGE_STATE	STRONG_FORMAL_COUPLED	renderer-licensing address edge	GDT105 15561.557 held-bit gain; all folios/registers; non-PCH to PCH transfer	parser overlap; cannot be removed from external address
Q_WRAPPER	OUTER_ROUTER	STRONG_FORMAL	early O-branch router	GDT086/087/091/094	identical to first-character string baseline; no meaning
D_WRAPPER	OUTER_ROUTER	STRONG_FORMAL	late Y-branch router	GDT087/091/094	no global entry gloss; no meaning
CH_CHE_SH_S	OUTER_OR_LOCAL_ROUTER	CONDITIONAL	host/register-conditioned construction wrapper	cross-core compatibility and register effects	directions reverse; GDT103 object signal diluted
O_OT_FRAME	POSITION_FRAME	FORMAL_PLACEMENT	record placement/frame variant	placement differences with address preservation leads	GDT103 object signal diluted; external preservation weak
DY	RELATION_RENDERER	PROVISIONAL_RELATION_LAYOUT	checkpoint/link carrying relation-layout information	GDT103/GDT104 +10.319 relation-axis bits and near-zero object increment	GDT060 pre-host transition negative; ordinary final-character licensing
RIGHT_FAMILY	RELATION_REGISTER_RENDERER	STRONG_FORMAL_PROVISIONAL_RELATION	host/register-conditioned relation-layout renderer	GDT062 held register gain; GDT104 +7.907 relation and -4.715 object bits	specific right-family role/gloss absent
B3	RECORD_CLOSE	PROVISIONAL_NEUTRAL_CLOSE	content-neutral record close	final architecture; GDT103 active-only near zero on both channels	categorical zero-token encoding artifact; limited positive capacity
PCH_FAMILY	DENSE_ADDRESS_FAMILY	STRONG_FORMAL_POSTSELECTED	dense coupled address family	18/18 inspected cells, 45/45 rectangles, 45 folios	only 181/331 PCH groups; prefix-tail dependent; GDT003 string ceiling; no gloss
SEMANTIC_DICTIONARY	GROUNDING	ABSENT	NONE	no confirmed entry	all transferable individual gloss attempts fail/weak
