pair_rule	left_form	right_form	proposed_segmentation	editions_present	alternate_readings_not_replications	left_physical_folios	right_physical_folios	left_loci_count	right_loci_count	same_locus_count	same_page_count	representative_left_loci	representative_right_loci	ranking_score	evidence_ceiling
Q_OUTER_INSERTION	okeey	qokeey	q+okeey	IT2a;RF1b;ZL3b	1	46	51	177	276	38	41	f101r.2;f101r.3;f101r.4;f101r.8;f101v.23;f101v.25;f101v.27;f102r2.11	f100r.13;f100v.20;f101v.26;f101v.27;f102r2.11;f102r2.16;f102v1.20;f102v2.20	1467	FORMAL_MINIMAL_PAIR_NO_MEANING
Q_OUTER_INSERTION	ol	qol	q+ol	IT2a;RF1b;ZL3b	1	81	25	571	140	35	35	f100v.15;f100v.18;f100v.20;f100v.21;f101r.1;f101r.10;f101r.2;f101r.3	f101v.27;f103r.50;f103r.52;f103v.16;f103v.35;f104v.4;f106v.38;f107r.33	1265	FORMAL_MINIMAL_PAIR_NO_MEANING
Q_OUTER_INSERTION	okaiin	qokaiin	q+okaiin	IT2a;RF1b;ZL3b	1	66	42	206	255	27	55	f103r.19;f103r.28;f103r.3;f103r.30;f103r.31;f103v.20;f103v.33;f103v.7	f103r.19;f103r.20;f103r.43;f103r.53;f103v.34;f103v.40;f103v.43;f103v.5	1256	FORMAL_MINIMAL_PAIR_NO_MEANING
D_S_LEFT_CONTRAST	daiin	saiin	d/s+aiin	IT2a;RF1b;ZL3b	1	103	58	779	158	20	81	f100r.13;f100r.22;f100r.25;f100v.14;f100v.22;f101r.2;f101r.4;f101r.5	f100r.24;f102r2.12;f102v2.21;f103r.31;f103r.51;f103r.7;f103v.36;f104r.14	1148	FORMAL_MINIMAL_PAIR_NO_MEANING
Q_OUTER_INSERTION	okedy	qokedy	q+okedy	IT2a;RF1b;ZL3b	1	38	39	109	224	23	39	f103r.21;f103r.4;f103v.35;f105r.17;f107v.32;f108r.20;f108r.27;f108r.29	f103r.32;f103r.4;f103r.53;f104r.17;f104v.35;f105r.17;f105r.21;f105r.26	1059	FORMAL_MINIMAL_PAIR_NO_MEANING
Q_OUTER_INSERTION	okar	qokar	q+okar	IT2a;RF1b;ZL3b	1	49	44	150	159	18	46	f100v.21;f102v2.33;f104r.11;f104r.13;f104r.15;f104r.17;f104r.36;f104r.37	f101v.26;f102v1.13;f103r.13;f104r.17;f104r.32;f104r.8;f104v.24;f106r.7	1030	FORMAL_MINIMAL_PAIR_NO_MEANING
Q_OUTER_INSERTION	okal	qokal	q+okal	IT2a;RF1b;ZL3b	1	60	41	159	191	18	45	f101r.2;f103r.1;f104r.15;f104r.3;f104r.37;f105r.31;f105r.33;f105v.16	f102r2.3;f102v1.11;f103r.17;f103r.21;f103r.24;f103r.31;f103r.32;f103r.33	1024	FORMAL_MINIMAL_PAIR_NO_MEANING
Q_OUTER_INSERTION	okain	qokain	q+okain	IT2a;RF1b;ZL3b	1	37	29	140	254	20	34	f103r.11;f103r.14;f103r.18;f103r.22;f103r.25;f103r.3;f103v.20;f103v.28	f103r.13;f103r.18;f103r.19;f103r.20;f103r.25;f103r.38;f103r.50;f103v.14	985	FORMAL_MINIMAL_PAIR_NO_MEANING
Q_OUTER_INSERTION	okeedy	qokeedy	q+okeedy	IT2a;RF1b;ZL3b	1	37	33	112	262	19	36	f103r.36;f103r.38;f103r.6;f103v.12;f103v.28;f103v.3;f104v.36;f105r.15	f103r.21;f103r.22;f103r.35;f103r.36;f103r.37;f103r.41;f103r.45;f103r.49	957	FORMAL_MINIMAL_PAIR_NO_MEANING
TE_TEE_CONTRAST	otedy	oteedy	o+te/tee+dy	IT2a;RF1b;ZL3b	1	38	32	152	114	13	34	f103r.12;f103r.32;f103r.40;f103v.10;f103v.27;f103v.30;f103v.34;f104r.3	f103r.10;f103r.16;f103r.26;f103r.41;f103r.45;f103v.14;f103v.17;f103v.18	834	FORMAL_MINIMAL_PAIR_NO_MEANING
