world	STRUCTURE_ONLY	COMPILER_COARSE	RAW_EXACT	PAGE_HOST_EXACT	RAW_CHAR3	PAGE_HOST_CHAR3	max_standardized_top1
0	70	70	74	69	68	72	0.333333333333
1	64	66	74	73	74	78	1.000000000000
2	86	76	76	75	76	74	2.333333333333
3	74	80	70	79	70	72	1.333333333333
4	74	62	72	73	70	74	0.333333333333
5	76	78	60	63	68	62	1.000000000000
6	58	70	78	69	70	70	1.000000000000
7	68	72	68	75	74	74	0.500000000000
8	56	68	72	73	72	66	0.166666666667
9	76	70	70	77	74	78	1.000000000000
10	76	72	72	83	80	82	1.833333333333
11	76	74	74	77	78	76	1.000000000000
12	66	62	78	67	70	68	1.000000000000
13	78	74	64	69	72	66	1.000000000000
14	68	68	74	67	74	70	0.333333333333
15	74	74	72	75	68	70	0.500000000000
16	76	72	74	75	76	76	0.666666666667
17	72	70	70	71	66	64	0.000000000000
18	74	64	64	73	70	70	0.333333333333
19	80	86	82	79	78	72	2.333333333333
20	60	66	74	69	74	76	0.666666666667
21	84	80	76	73	76	76	2.000000000000
22	62	68	70	67	70	72	0.000000000000
23	80	68	62	67	76	76	1.333333333333
24	64	60	72	71	66	72	0.000000000000
25	70	62	66	71	58	60	-0.166666666667
26	66	70	70	63	66	66	-0.333333333333
27	62	60	68	71	72	78	1.000000000000
28	68	62	62	67	68	66	-0.666666666667
29	66	70	68	69	74	72	0.333333333333
30	72	60	62	75	68	72	0.500000000000
31	80	64	66	81	68	68	1.500000000000
32	76	82	80	75	72	68	1.666666666667
33	64	74	78	67	72	68	1.000000000000
34	72	76	66	73	72	76	0.666666666667
35	70	68	72	69	72	74	0.333333333333
36	74	70	68	69	66	64	0.333333333333
37	74	84	70	69	76	74	2.000000000000
38	76	80	72	77	74	76	1.333333333333
39	70	78	76	69	78	80	1.333333333333
40	72	74	74	75	74	72	0.500000000000
41	72	78	72	73	72	70	1.000000000000
42	78	76	72	71	76	70	1.000000000000
43	68	76	66	71	72	72	0.666666666667
44	70	72	72	69	66	72	0.000000000000
45	70	68	72	79	76	82	1.666666666667
46	66	60	70	79	68	70	1.166666666667
47	74	72	80	75	70	70	1.333333333333
48	78	66	62	69	58	60	1.000000000000
49	70	86	80	73	70	70	2.333333333333
50	80	76	72	75	72	78	1.333333333333
51	72	68	78	69	72	66	1.000000000000
52	74	78	70	67	66	68	1.000000000000
53	66	68	84	77	68	74	2.000000000000
54	80	82	70	73	68	66	1.666666666667
55	70	68	76	67	72	70	0.666666666667
56	76	68	64	71	64	62	0.666666666667
57	68	72	74	79	74	84	2.000000000000
58	72	74	80	75	80	78	1.333333333333
59	78	68	68	71	72	78	1.000000000000
60	70	78	78	77	80	86	2.333333333333
61	76	86	78	73	76	76	2.333333333333
62	74	76	62	69	72	72	0.666666666667
63	70	74	82	75	74	74	1.666666666667
