page_host	right_family	occurrences	physical_loci	tokens	cell
ok	aiin	1	f86v5.21	okaiin	PRESENT
ok	air	0			ABSENT
ok	ain	0			ABSENT
ok	ar	4	f86v5.10;f86v5.11;f86v5.29;f86v5.3	qokar;okar;qokar;qokar	PRESENT
ok	al	1	f86v5.24	okal	PRESENT
yk	aiin	2	f86v5.10;f86v5.22	ykaiin;ykaiin	PRESENT
yk	air	0			ABSENT
yk	ain	1	f86v5.24	ykain	PRESENT
yk	ar	2	f86v5.10;f86v5.16	ykar;ykar	PRESENT
yk	al	1	f86v5.22	ykal	PRESENT
yt	aiin	3	f86v5.13;f86v5.21;f86v5.34	ytaiin;ytaiin;ytaiin	PRESENT
yt	air	1	f86v5.35	ytair	PRESENT
yt	ain	1	f86v5.31	ytain	PRESENT
yt	ar	2	f86v5.27;f86v5.5	ytar;ytar	PRESENT
yt	al	1	f86v5.11	ytal	PRESENT
