external_axis	target_section	target_loci	target_positive	training_loci	training_positive	status
REL_EXPLICIT_ATTACHMENT	A	55	24	277	34	EXCLUDED_CAPACITY
REL_ARRAY_OR_GROUP	A	55	0	277	35	EXCLUDED_CAPACITY
REL_ENCLOSURE	B	50	0	281	37	EXCLUDED_CAPACITY
REL_ENCLOSURE	C	43	4	289	33	EXCLUDED_CAPACITY
REL_EXPLICIT_ATTACHMENT	C	43	5	289	53	EXCLUDED_CAPACITY
REL_ARRAY_OR_GROUP	C	43	0	289	35	EXCLUDED_CAPACITY
REL_ENCLOSURE	H	0	0	292	35	EXCLUDED_CAPACITY
REL_EXPLICIT_ATTACHMENT	H	0	0	292	53	EXCLUDED_CAPACITY
REL_ARRAY_OR_GROUP	H	0	0	292	30	EXCLUDED_CAPACITY
REL_ENCLOSURE	P	73	1	257	36	EXCLUDED_CAPACITY
REL_ENCLOSURE	T	8	0	317	37	EXCLUDED_CAPACITY
REL_EXPLICIT_ATTACHMENT	T	8	0	317	58	EXCLUDED_CAPACITY
REL_ARRAY_OR_GROUP	T	8	0	317	35	EXCLUDED_CAPACITY
REL_ARRAY_OR_GROUP	Z	103	2	229	33	EXCLUDED_CAPACITY
