panel	language_id	name	glottocode	iso639p3	family	core_concepts_present	phoneme_inventory_size	phoneme_inventory	selection_rule
KARTVELIAN_TARGET	GEORGIAN	Georgian	nucl1302	kat	Kartvelian	40	32	a b d g h i k kʰ kʼ l m n o pʰ pʼ qʼ r s sˠ t ts tsʰ tsʼ tʃ tʰ tʼ u v x z ɐ ʃ	LOWEST_ASJP_FORM_ID_PER_AVAILABLE_STARRED_CORE_CONCEPT;PLUS_BOUNDARY_REMOVED
KARTVELIAN_TARGET	MINGRELIAN	Mingrelian	ming1252	xmf	Kartvelian	39	29	a b d dʒ g i k kʼ l m n o p qʼ r s t ts tsʼ tʃ tʼ u v x z ɐ ə ʃ ʒ	LOWEST_ASJP_FORM_ID_PER_AVAILABLE_STARRED_CORE_CONCEPT;PLUS_BOUNDARY_REMOVED
KARTVELIAN_TARGET	LAZ	Laz	lazz1240	lzz	Kartvelian	39	32	a b d dʒ g i k kʷ kʼ l m n o p pʼ qʼ qʼʷ r s t ts tsʼ tsˠ tʃ tʃˠ tʼ u v x ɐ ʃ ʒ	LOWEST_ASJP_FORM_ID_PER_AVAILABLE_STARRED_CORE_CONCEPT;PLUS_BOUNDARY_REMOVED
KARTVELIAN_TARGET	SVAN	Svan	svan1243	sva	Kartvelian	39	33	a b d dʒ dʒʷ e g gʷ i j k kʼ l m n p q qʼʷ r s t ts tʃ tʼ u w’ x xʷ z ɐ ə ʃ ʒ	LOWEST_ASJP_FORM_ID_PER_AVAILABLE_STARRED_CORE_CONCEPT;PLUS_BOUNDARY_REMOVED
UNRELATED_CONTROL	ARMENIAN	Eastern Armenian	nucl1235	hye	Indo-European	39	31	a d dʒ g h i j k kʰ l m n o r s t ts tsʰ tʃʰ tʰ u v w x z ŋ ɐ ə ɲ ʃ χ	LOWEST_ASJP_FORM_ID_PER_AVAILABLE_STARRED_CORE_CONCEPT;PLUS_BOUNDARY_REMOVED
UNRELATED_CONTROL	CHECHEN	Chechen	chec1245	che	Nakh-Daghestanian	40	31	a b bˠ d g h i j k l lˠ m n o qʼ qχ r s t ts tsʼ tʃ tʃʼ tʼ u z ɐ ʃ ʒˠ ʔ χ	LOWEST_ASJP_FORM_ID_PER_AVAILABLE_STARRED_CORE_CONCEPT;PLUS_BOUNDARY_REMOVED
UNRELATED_CONTROL	AVAR	Avar	avar1256	ava	Nakh-Daghestanian	40	35	a b d g h hʷ i j k kʷ kʼ l m n o q qʼ qχ r s t ts tsʼ ts’ʷ tʃ tʃʼ tʼ u x z ɐ ʎ ʎ’ χ χʷ	LOWEST_ASJP_FORM_ID_PER_AVAILABLE_STARRED_CORE_CONCEPT;PLUS_BOUNDARY_REMOVED
UNRELATED_CONTROL	BASQUE	Basque	basq1248	eus	Basque	40	18	b d e g h i k l m n o r s t ts u z ɐ	LOWEST_ASJP_FORM_ID_PER_AVAILABLE_STARRED_CORE_CONCEPT;PLUS_BOUNDARY_REMOVED
UNRELATED_CONTROL	TURKISH	Turkish	nucl1301	tur	Turkic	40	24	b d dʒ e g h i j k l m n o p r s t tʃ u z ɐ ə ɢ ʃ	LOWEST_ASJP_FORM_ID_PER_AVAILABLE_STARRED_CORE_CONCEPT;PLUS_BOUNDARY_REMOVED
UNRELATED_CONTROL	GREEK	Modern Greek	mode1248	ell	Indo-European	40	25	c e f i j k l lʲ m n o p r rˠ s t tʲ u v x ɐ θ θʲ ⁿd ⁿθ	LOWEST_ASJP_FORM_ID_PER_AVAILABLE_STARRED_CORE_CONCEPT;PLUS_BOUNDARY_REMOVED
UNRELATED_CONTROL	ARABIC_QURANIC	Standard Arabic	stan1318	arb	Afro-Asiatic	39	23	b d f i j k l m n q r s sˠ t u w zˠ ɐ ʃ ʒ ʔ θ χ	LOWEST_ASJP_FORM_ID_PER_AVAILABLE_STARRED_CORE_CONCEPT;PLUS_BOUNDARY_REMOVED
UNRELATED_CONTROL	FINNISH	Finnish	finn1318	fin	Uralic	40	19	a dʒ e h i j k l m n o p r s t u v ɐ ə	LOWEST_ASJP_FORM_ID_PER_AVAILABLE_STARRED_CORE_CONCEPT;PLUS_BOUNDARY_REMOVED
