fact_id	source_id	statement	evidence_scope	support
F01	TRINITY_CATALOGUE	R.15.21 is a Latin cosmographical compendium completed in 1408.	OFFICIAL_CATALOGUE	SUPPORTED
F02	TRINITY_CATALOGUE	Its documented contents combine calendars, lunar and planetary tables, zodiac, temperaments, bleeding, medicine, prognostication, and diagrams.	OFFICIAL_CATALOGUE	SUPPORTED
F03	FOXTON_P220	An artificial substitution alphabet selectively conceals physiognomic body-part terms that key groups of chapters.	SCHOLARLY_ARTICLE	SUPPORTED
F04	FOXTON_P232	Friedman counts 135 ciphered words; 12 concern sexual, gynecological, or obstetrical matter.	SCHOLARLY_ARTICLE	SUPPORTED
F05	FOXTON_P233	About 55 ciphered words occur in physiognomy and palmistry chapters and 39 identify veins in practical diagrams.	SCHOLARLY_ARTICLE	SUPPORTED
F06	FOXTON_P233	A body-part headword can be supplied by a diagram/list and omitted from the descriptive paragraphs that depend on it.	SCHOLARLY_ARTICLE	SUPPORTED
F07	FOXTON_P233	Foxton sometimes ciphers only the first syllable of a recurrent headword while leaving the remainder in ordinary Latin and respecting case.	SCHOLARLY_ARTICLE	SUPPORTED
F08	FOXTON_P232	Standard Latin abbreviation conventions are used inside the artificial cipher.	SCHOLARLY_ARTICLE	SUPPORTED
F09	FOXTON_P234	Astrological fortunes use ciphered recurrent rubrics so otherwise readable remedies are difficult to interpret.	SCHOLARLY_ARTICLE	SUPPORTED
F10	FOXTON_P231	Cipher occurs in the long second-hand portion, not in the first professional hand's calendar and prologue.	SCHOLARLY_ARTICLE	SUPPORTED
F11	FOXTON_P227	Fontana's fifteenth-century technical work is almost wholly written in an artificial alphabet, with limited cleartext framing.	SCHOLARLY_ARTICLE_COMPARATOR	SUPPORTED
F12	FOXTON_P228	Fontana's artificial alphabet uses systematic graphic families and deliberately displaced abbreviation marks.	SCHOLARLY_ARTICLE_COMPARATOR	SUPPORTED
F13	BYRHTFERTH_OGHAM	A computus diagram joins calendrical and cosmological systems with uncertain Ogham-like cryptic writing; a substitution reading has been proposed but is disputed.	SCHOLARLY_PROJECT_COMPARATOR	SUPPORTED_WITH_INTERPRETIVE_DISPUTE
