page_host	occurrences	f80r_occurrences	f82r_occurrences	paragraphs	majority_role_like	role_purity	field_group_counts	size_threshold_correct	size_threshold_fraction	surface_prefix_variants	semantic_residual_after_size_control
y	18	11	7	7	INSTRUCTION_CLAUSE_LIKE	1.000000000000	3;4;6;7;11;12	18	1.000000000000	che;ched;d;ot;qot;s	NONE_IDENTIFIABLE
ot	19	15	4	7	INSTRUCTION_CLAUSE_LIKE	1.000000000000	3;4;5;6;7;8;10;11;12	19	1.000000000000	OTHER	NONE_IDENTIFIABLE
ey	6	3	3	6	INSTRUCTION_CLAUSE_LIKE	1.000000000000	3;4;7;8;10	6	1.000000000000	che;sh	NONE_IDENTIFIABLE
aiin	6	2	4	2	INSTRUCTION_CLAUSE_LIKE	1.000000000000	3;6;7;8;11	6	1.000000000000	;d	NONE_IDENTIFIABLE
eckhy	5	3	2	3	INSTRUCTION_CLAUSE_LIKE	1.000000000000	4;6;8;11	5	1.000000000000	sh	NONE_IDENTIFIABLE
olche	4	2	2	3	SHORT_ARGUMENT_LIKE	1.000000000000	1;2	4	1.000000000000	;q;s	NONE_IDENTIFIABLE
okeey	9	4	5	6	INSTRUCTION_CLAUSE_LIKE	0.888888888889	2;3;4;6;7;8;10;11	9	1.000000000000	q	NONE_IDENTIFIABLE
ok	34	23	11	7	INSTRUCTION_CLAUSE_LIKE	0.882352941176	1;2;3;4;5;6;7;8;10;11;12	34	1.000000000000	OTHER	NONE_IDENTIFIABLE
al	6	2	4	4	INSTRUCTION_CLAUSE_LIKE	0.833333333333	2;3;6;7;11	6	1.000000000000	;che;d	NONE_IDENTIFIABLE
l	22	17	5	7	INSTRUCTION_CLAUSE_LIKE	0.818181818182	1;2;4;6;7;8;10;11;12	22	1.000000000000	;OTHER;do;o;qo;sh;so;t	NONE_IDENTIFIABLE
okee	14	6	8	5	SHORT_ARGUMENT_LIKE	0.642857142857	1;2;3;4;5;6;7	14	1.000000000000	q	NONE_IDENTIFIABLE
oke	5	2	3	4	SHORT_ARGUMENT_LIKE	0.600000000000	1;2;4;5	5	1.000000000000	q	NONE_IDENTIFIABLE
e	12	6	6	5	INSTRUCTION_CLAUSE_LIKE	0.500000000000	1;2;3;4;6;7	12	1.000000000000	OTHER;ot;qot;sh	NONE_IDENTIFIABLE
