axis	COMPRESSED_NATURAL_LANGUAGE	PURE_TECHNICAL_NOTATION	HYBRID_TECHNICAL_COMPILER	scale
MEDIEVAL_ABBREVIATION_BEHAVIOR	2	0	2	0_POOR_1_PARTIAL_2_GOOD
LINE_FIELD_COMPILER	1	2	2	0_POOR_1_PARTIAL_2_GOOD
PAGE_CONDITIONED_INVENTORY	2	2	2	0_POOR_1_PARTIAL_2_GOOD
BROAD_LEFT_RIGHT_INCIDENCE	0	2	2	0_POOR_1_PARTIAL_2_GOOD
STABLE_RECORD_CLOSURE	1	2	2	0_POOR_1_PARTIAL_2_GOOD
LOCAL_DIAGRAM_STATE_CODE	0	2	2	0_POOR_1_PARTIAL_2_GOOD
STATE_WITH_WHOLE_FORM_DIVERSITY	0	2	2	0_POOR_1_PARTIAL_2_GOOD
CURRIER_REGISTER_RENDERING	2	2	2	0_POOR_1_PARTIAL_2_GOOD
SIMPLE_LANGUAGE_CIPHER_FAILURES	0	2	2	0_POOR_1_PARTIAL_2_GOOD
HOST_CONTEXT_NONTRANSFER_WITH_IDENTITY	1	2	2	0_POOR_1_PARTIAL_2_GOOD
TOTAL	9	18	20	TRANSPARENT_ABDUCTIVE_SUM_NOT_PROBABILITY
