base_host	base_n	o_host	o_n	ot_host	ot_n	total_n	claim_state
aiin	746	oaiin	27	otaiin	129	902	COMPLETE_FORMAL_LADDER_NOT_MORPHOLOGY
ol	827	ool	2	otol	69	898	COMPLETE_FORMAL_LADDER_NOT_MORPHOLOGY
l	51	ol	827	otl	1	879	COMPLETE_FORMAL_LADDER_NOT_MORPHOLOGY
y	415	oy	13	oty	116	544	COMPLETE_FORMAL_LADDER_NOT_MORPHOLOGY
or	422	oor	4	otor	28	454	COMPLETE_FORMAL_LADDER_NOT_MORPHOLOGY
ar	329	oar	16	otar	102	447	COMPLETE_FORMAL_LADDER_NOT_MORPHOLOGY
e	289	oe	3	ote	107	399	COMPLETE_FORMAL_LADDER_NOT_MORPHOLOGY
al	283	oal	4	otal	93	380	COMPLETE_FORMAL_LADDER_NOT_MORPHOLOGY
ain	184	oain	9	otain	87	280	COMPLETE_FORMAL_LADDER_NOT_MORPHOLOGY
eey	87	oeey	10	oteey	75	172	COMPLETE_FORMAL_LADDER_NOT_MORPHOLOGY
ee	60	oee	15	otee	94	169	COMPLETE_FORMAL_LADDER_NOT_MORPHOLOGY
chy	27	ochy	4	otchy	68	99	COMPLETE_FORMAL_LADDER_NOT_MORPHOLOGY
air	78	oair	3	otair	12	93	COMPLETE_FORMAL_LADDER_NOT_MORPHOLOGY
eol	74	oeol	1	oteol	16	91	COMPLETE_FORMAL_LADDER_NOT_MORPHOLOGY
am	55	oam	1	otam	30	86	COMPLETE_FORMAL_LADDER_NOT_MORPHOLOGY
che	47	oche	4	otche	29	80	COMPLETE_FORMAL_LADDER_NOT_MORPHOLOGY
chey	20	ochey	8	otchey	31	59	COMPLETE_FORMAL_LADDER_NOT_MORPHOLOGY
chor	33	ochor	6	otchor	19	58	COMPLETE_FORMAL_LADDER_NOT_MORPHOLOGY
chol	27	ochol	3	otchol	24	54	COMPLETE_FORMAL_LADDER_NOT_MORPHOLOGY
dal	22	odal	21	otdal	1	44	COMPLETE_FORMAL_LADDER_NOT_MORPHOLOGY
she	33	oshe	2	otshe	8	43	COMPLETE_FORMAL_LADDER_NOT_MORPHOLOGY
os	37	oos	2	otos	1	40	COMPLETE_FORMAL_LADDER_NOT_MORPHOLOGY
eor	28	oeor	1	oteor	5	34	COMPLETE_FORMAL_LADDER_NOT_MORPHOLOGY
laiin	6	olaiin	27	otlaiin	1	34	COMPLETE_FORMAL_LADDER_NOT_MORPHOLOGY
cho	12	ocho	3	otcho	13	28	COMPLETE_FORMAL_LADDER_NOT_MORPHOLOGY
es	20	oes	1	otes	3	24	COMPLETE_FORMAL_LADDER_NOT_MORPHOLOGY
shey	14	oshey	3	otshey	6	23	COMPLETE_FORMAL_LADDER_NOT_MORPHOLOGY
eeo	7	oeeo	3	oteeo	10	20	COMPLETE_FORMAL_LADDER_NOT_MORPHOLOGY
eeey	6	oeeey	4	oteeey	6	16	COMPLETE_FORMAL_LADDER_NOT_MORPHOLOGY
eeol	9	oeeol	2	oteeol	4	15	COMPLETE_FORMAL_LADDER_NOT_MORPHOLOGY
ees	4	oees	6	otees	5	15	COMPLETE_FORMAL_LADDER_NOT_MORPHOLOGY
shy	6	oshy	4	otshy	5	15	COMPLETE_FORMAL_LADDER_NOT_MORPHOLOGY
cheey	11	ocheey	2	otcheey	1	14	COMPLETE_FORMAL_LADDER_NOT_MORPHOLOGY
shor	12	oshor	1	otshor	1	14	COMPLETE_FORMAL_LADDER_NOT_MORPHOLOGY
ear	10	oear	2	otear	1	13	COMPLETE_FORMAL_LADDER_NOT_MORPHOLOGY
edaiin	9	oedaiin	2	otedaiin	2	13	COMPLETE_FORMAL_LADDER_NOT_MORPHOLOGY
eees	6	oeees	4	oteees	3	13	COMPLETE_FORMAL_LADDER_NOT_MORPHOLOGY
char	5	ochar	1	otchar	6	12	COMPLETE_FORMAL_LADDER_NOT_MORPHOLOGY
cheo	7	ocheo	1	otcheo	3	11	COMPLETE_FORMAL_LADDER_NOT_MORPHOLOGY
aiir	7	oaiir	2	otaiir	1	10	COMPLETE_FORMAL_LADDER_NOT_MORPHOLOGY
eee	4	oeee	3	oteee	3	10	COMPLETE_FORMAL_LADDER_NOT_MORPHOLOGY
chaiin	4	ochaiin	2	otchaiin	3	9	COMPLETE_FORMAL_LADDER_NOT_MORPHOLOGY
cheor	5	ocheor	2	otcheor	1	8	COMPLETE_FORMAL_LADDER_NOT_MORPHOLOGY
chee	3	ochee	1	otchee	3	7	COMPLETE_FORMAL_LADDER_NOT_MORPHOLOGY
sh	3	osh	1	otsh	3	7	COMPLETE_FORMAL_LADDER_NOT_MORPHOLOGY
sheo	2	osheo	3	otsheo	1	6	COMPLETE_FORMAL_LADDER_NOT_MORPHOLOGY
chod	1	ochod	1	otchod	3	5	COMPLETE_FORMAL_LADDER_NOT_MORPHOLOGY
eeos	2	oeeos	1	oteeos	2	5	COMPLETE_FORMAL_LADDER_NOT_MORPHOLOGY
cheodaiin	2	ocheodaiin	1	otcheodaiin	1	4	COMPLETE_FORMAL_LADDER_NOT_MORPHOLOGY
eeal	2	oeeal	1	oteeal	1	4	COMPLETE_FORMAL_LADDER_NOT_MORPHOLOGY
eeor	1	oeeor	1	oteeor	2	4	COMPLETE_FORMAL_LADDER_NOT_MORPHOLOGY
chedain	1	ochedain	1	otchedain	1	3	COMPLETE_FORMAL_LADDER_NOT_MORPHOLOGY
