representation	loci	descriptor_tokens	baseline_bits	held_bits	gain_bits	positive_gain_folios	min_folio_gain	max_folio_gain	local_permutation_p	max_representation_p	selector_paid_gain_bits
HOST_WRAPPER_JOINT	83	19	998.05625195	996.450910918	1.6053410315	2	-2.11204438623	2.59469614985	0.0211957608478	0.0215956808638	-1.71658706338
HOST_WRAPPER_RIGHT_JOINT	83	19	998.05625195	996.450910918	1.6053410315	2	-2.11204438623	2.59469614985	0.0211957608478	0.0215956808638	-1.71658706338
HOST_RIGHT_JOINT	83	19	998.05625195	1017.022712	-18.966460053	1	-10.3618016719	2.59469614985	0.0265946810638	0.0215956808638	-22.2883881479
RAW_CHAR3	83	19	998.05625195	1032.59683215	-34.5405801982	2	-18.0479385035	0.678123012524	0.00499900019996	0.0215956808638	-37.8625082931
HOST_B3_JOINT	83	19	998.05625195	1045.26691821	-47.2106662577	0	-11.7479733384	-6.51635961236	0.137572485503	0.0215956808638	-50.5325943525
PAGE_HOST_CHAR3	83	19	998.05625195	1045.31284401	-47.2565920586	1	-26.1916050107	0.272039434442	0.00879824035193	0.0215956808638	-50.5785201535
B3_ONLY	83	19	998.05625195	1132.73861432	-134.682362374	0	-71.449267124	-3.57001479237	0.00579884023195	0.0215956808638	-138.004290469
RIGHT_ONLY	83	19	998.05625195	1171.10295495	-173.046702996	0	-65.7087278762	-15.5200796776	0.0137972405519	0.0215956808638	-176.368631091
COMPILER_SIGNATURE	83	19	998.05625195	1238.75945084	-240.703198886	0	-98.4621592685	-13.5643009967	0.0991801639672	0.0215956808638	-244.025126981
WRAPPER_ONLY	83	19	998.05625195	1243.45077361	-245.394521664	0	-76.0539164495	-13.3091218725	0.0299940011998	0.0215956808638	-248.716449758
