system	representation	predictions	correct	total_rows	coverage	accuracy_on_predictions	positive_units	units
SYSTEM_A	PAGE_HOST	6190	6190	12000	0.5158333333333334	1.0	21	21
SYSTEM_A	COMPILER_ONLY	11993	95	12000	0.9994166666666666	0.007921287417660301	17	21
SYSTEM_A	PAGE_HOST_PLUS_SLOT	2690	2690	12000	0.22416666666666665	1.0	21	21
SYSTEM_A	FULL_TUPLE_PLUS_SLOT	2681	2681	12000	0.22341666666666668	1.0	21	21
SYSTEM_A	RAW_SURFACE	2681	2681	12000	0.22341666666666668	1.0	21	21
SYSTEM_B	PAGE_HOST	12000	580	12000	1.0	0.04833333333333333	21	21
SYSTEM_B	COMPILER_ONLY	11994	106	12000	0.9995	0.008837752209438053	18	21
SYSTEM_B	PAGE_HOST_PLUS_SLOT	11961	2292	12000	0.99675	0.19162277401555053	21	21
SYSTEM_B	FULL_TUPLE_PLUS_SLOT	2681	2681	12000	0.22341666666666668	1.0	21	21
SYSTEM_B	RAW_SURFACE	6917	2548	12000	0.5764166666666667	0.3683677895041203	21	21
