page_host_submotif	external_axis	locus	physical_folio	section	axis_positive	tokens	page_hosts	object_tags	relation_tags	semantic_role
^ar	PLANT	f102v2.14	f102	P	1	sarol	arol	LABEL;PLANT	REL_PROXIMITY	UNASSIGNED
^ar	PLANT	f67r1.13	f67	A	0	oteey;dar	eey;ar	LABEL	REL_ENCLOSURE	UNASSIGNED
^ar	PLANT	f67r1.18	f67	A	0	okeey;sar	okeey;ar	LABEL	REL_ENCLOSURE	UNASSIGNED
^ar	PLANT	f67r2.19	f67	A	0	ydchos;ain;ar;amy	ydchos;ain;ar;amy	STAR_OR_SKY		UNASSIGNED
^ar	PLANT	f67r2.20	f67	A	0	chocfhy;saral	ocfhy;ar	STAR_OR_SKY		UNASSIGNED
^ar	PLANT	f67r2.24	f67	A	0	sodar;ar	d;ar	STAR_OR_SKY	REL_PROXIMITY	UNASSIGNED
^ar	PLANT	f67v1.3	f67	A	0	okal;ary	ok;ary	LABEL		UNASSIGNED
^ar	PLANT	f68r1.3	f68	A	1	ykor;shey;qocheey;chokal;okeey;ror;daram	ykor;ey;cheey;ok;okeey;ror;ara	PLANT	REL_OVERLAP_OR_CONTACT	UNASSIGNED
^ar	PLANT	f68r1.6	f68	A	0	dary	ary	STAR_OR_SKY	REL_ENCLOSURE;REL_PROXIMITY	UNASSIGNED
^ar	PLANT	f68r3.20	f68	A	0	darall	arall	LABEL;STAR_OR_SKY	REL_EXPLICIT_ATTACHMENT	UNASSIGNED
^ar	PLANT	f68v2.8	f68	A	0	otosey;sary	otosey;ary	LABEL;STAR_OR_SKY	REL_PROXIMITY	UNASSIGNED
^ar	PLANT	f68v2.9	f68	A	0	ar;shy	ar;y	STAR_OR_SKY		UNASSIGNED
^ar	PLANT	f69r.26	f69	C	1	doly;dal;dar;chyky	oly;al;ar;yky	PLANT	REL_PROXIMITY	UNASSIGNED
^ar	PLANT	f69r.29	f69	C	1	dary;dar;aloly	ary;ar;aloly	PLANT	REL_PROXIMITY	UNASSIGNED
^ar	PLANT	f69r.30	f69	C	1	okar;ar	ok;ar	PLANT	REL_PROXIMITY	UNASSIGNED
^ar	PLANT	f69r.35	f69	C	1	okeos;ar	okeos;ar	PLANT	REL_PROXIMITY	UNASSIGNED
^ar	PLANT	f69r.36	f69	C	1	docheeo;kody;sar	ocheeo;ko;ar	PLANT	REL_PROXIMITY	UNASSIGNED
^ar	PLANT	f69r.40	f69	C	1	okody;cheody;sar	oko;o;ar	PLANT	REL_PROXIMITY	UNASSIGNED
^ar	PLANT	f69v.19	f69	C	0	saral	ar	LABEL;STAR_OR_SKY		UNASSIGNED
^ar	PLANT	f69v.23	f69	C	0	sarydy	ary	LABEL;STAR_OR_SKY		UNASSIGNED
^ar	PLANT	f69v.4	f69	C	0	sar	ar	LABEL;STAR_OR_SKY		UNASSIGNED
^ar	PLANT	f70r1.6	f70	C	0	dar;yky	ar;yky	LABEL	REL_PROXIMITY	UNASSIGNED
^ar	PLANT	f70v1.17	f70	Z	0	araydy	aray	FIGURE;LABEL;STAR_OR_SKY		UNASSIGNED
^ar	PLANT	f70v1.2	f70	Z	0	otalchy;tar;am;dy	otalchy;ar;a;y	FIGURE;LABEL;STAR_OR_SKY		UNASSIGNED
^ar	PLANT	f71r.2	f71	Z	0	oteos;arar	oteos;ar	FIGURE;LABEL;STAR_OR_SKY		UNASSIGNED
^ar	PLANT	f71v.11	f71	Z	0	opalor;ar	opalor;ar	FIGURE;LABEL;STAR_OR_SKY		UNASSIGNED
^ar	PLANT	f71v.2	f71	Z	0	char	ar	FIGURE;LABEL;STAR_OR_SKY		UNASSIGNED
