collection_id	recipe_id	recipe_ordinal	source_token_count	title_count	opener_count	instruction_count	ingredient_count	tool_count	dish_count	name_count	closer_count	kitchenTip_count	householdTip_count	servingTip_count	time_count	dietetics_count	alternative_count	ref_count	unclear_count
b4	b4.1	1	232	1	0	19	26	4	1	0	1	2	0	1	0	0	1	0	0
b4	b4.2	2	77	1	0	8	10	2	1	0	1	0	0	0	0	0	0	0	0
b4	b4.3	3	82	1	0	11	10	4	3	0	1	0	0	0	0	0	0	0	0
b4	b4.4	4	44	1	0	6	4	1	0	0	0	0	0	0	0	0	0	0	0
b4	b4.5	5	29	1	0	3	6	0	0	0	0	0	0	0	0	0	0	1	0
b4	b4.6	6	30	1	0	4	5	1	0	0	0	0	0	0	0	0	0	1	0
b4	b4.7	7	86	1	0	10	15	3	0	0	0	1	0	0	2	0	2	0	0
b4	b4.9	8	186	1	0	27	13	3	4	0	0	0	0	0	0	0	1	0	0
b4	b4.10	9	56	1	0	6	5	0	2	0	1	0	0	1	0	0	0	0	0
b4	b4.11	10	43	1	0	9	7	0	2	0	0	0	0	0	0	0	0	0	0
b4	b4.12	11	237	1	0	27	35	4	0	1	0	0	0	0	0	0	1	0	0
b4	b4.13	12	143	1	0	18	21	0	0	0	0	0	0	0	0	0	2	0	0
b4	b4.14	13	315	1	0	34	31	17	1	0	0	1	0	0	0	0	1	1	0
b4	b4.15	14	72	2	1	8	12	0	4	0	1	0	0	0	0	0	1	0	0
b4	b4.15.sub.1	15	27	1	1	2	4	0	2	0	1	0	0	0	0	0	1	0	0
b4	b4.16	16	82	1	0	16	14	0	1	0	1	0	0	0	0	0	1	0	0
b4	b4.17	17	41	1	0	5	7	2	0	0	1	0	0	0	0	0	0	0	0
b4	b4.18	18	85	1	0	5	6	0	0	0	0	0	0	0	0	0	0	0	0
b4	b4.19	19	43	1	0	6	7	1	1	0	0	0	0	0	1	0	1	0	0
b4	b4.20	20	69	1	0	7	19	2	0	0	1	1	0	0	1	0	2	0	0
b4	b4.21	21	70	1	0	9	10	3	0	0	1	0	0	0	0	0	0	0	0
b4	b4.22	22	97	2	1	9	18	0	2	0	1	0	0	1	0	0	1	0	0
b4	b4.22.sub.1	23	62	1	1	5	13	0	2	0	0	0	0	1	0	0	1	0	0
