wrapper	model	events	gain_bits	gain_bits_per_event
NONE	CELL_BOTH	1675	-135.944332234343	-0.081160795364
NONE	CELL_LINE_START	1675	-40.505921427174	-0.024182639658
NONE	CELL_PREV_DY	1675	-95.438410807169	-0.056978155706
ch	CELL_BOTH	677	-40.993389063243	-0.060551534805
ch	CELL_LINE_START	677	-25.111381817541	-0.037092144487
ch	CELL_PREV_DY	677	-15.882007245702	-0.023459390319
che	CELL_BOTH	542	-2.046234190366	-0.003775339835
che	CELL_LINE_START	542	-9.695405937997	-0.017888202838
che	CELL_PREV_DY	542	7.649171747631	0.014112863003
d	CELL_BOTH	656	15.387635312246	0.023456761147
d	CELL_LINE_START	656	1.254999755108	0.001913109383
d	CELL_PREV_DY	656	14.132635557139	0.021543651764
q	CELL_BOTH	1137	215.185816755476	0.189257534525
q	CELL_LINE_START	1137	23.472619766780	0.020644344562
q	CELL_PREV_DY	1137	191.713196988696	0.168613189964
s	CELL_BOTH	176	113.506330868017	0.644922334477
s	CELL_LINE_START	176	119.840217512730	0.680910326777
s	CELL_PREV_DY	176	-6.333886644714	-0.035987992300
sh	CELL_BOTH	602	0.407605429240	0.000677085431
sh	CELL_LINE_START	602	13.763139919972	0.022862358671
sh	CELL_PREV_DY	602	-13.355534490732	-0.022185273240
t	CELL_BOTH	142	28.482679709518	0.200582251475
t	CELL_LINE_START	142	29.597187257746	0.208430896181
t	CELL_PREV_DY	142	-1.114507548228	-0.007848644706
