page	physical_folio	record_id	ordinal_class	ordinal_binary	locus	field_ordinal	field_role	relative_quartile	within_field_position	field_end	local_structure	page_host	wrapper	frame	inner_d	right_family	dy	b3	right_closure	other_compiler	source_token	claim_state
f75r	f75	Q13|f75r|R01	EARLIER	0	f75r.3	1	INSTRUCTION_CLAUSE_LIKE	0	FIRST	LINE_END	FIRST:LINE_END	ok	q	NONE	0	ain	0	0	ain:0:0	NONE:0:ain:0:0	qokain	OPAQUE_COMPILER_CELL_NO_GLOSS
f75r	f75	Q13|f75r|R01	EARLIER	0	f75r.3	1	INSTRUCTION_CLAUSE_LIKE	0	MIDDLE	LINE_END	MIDDLE:LINE_END	orchey	NONE	NONE	0	NONE	0	0	NONE:0:0	NONE:0:NONE:0:0	orchey	OPAQUE_COMPILER_CELL_NO_GLOSS
f75r	f75	Q13|f75r|R01	EARLIER	0	f75r.3	1	INSTRUCTION_CLAUSE_LIKE	0	MIDDLE	LINE_END	MIDDLE:LINE_END	ey	q	NONE	0	NONE	0	0	NONE:0:0	NONE:0:NONE:0:0	qey	OPAQUE_COMPILER_CELL_NO_GLOSS
f75r	f75	Q13|f75r|R01	EARLIER	0	f75r.3	1	INSTRUCTION_CLAUSE_LIKE	0	MIDDLE	LINE_END	MIDDLE:LINE_END	k	NONE	NONE	0	ain	0	0	ain:0:0	NONE:0:ain:0:0	kain	OPAQUE_COMPILER_CELL_NO_GLOSS
f75r	f75	Q13|f75r|R01	EARLIER	0	f75r.3	1	INSTRUCTION_CLAUSE_LIKE	0	MIDDLE	LINE_END	MIDDLE:LINE_END	lt	NONE	NONE	0	ain	0	0	ain:0:0	NONE:0:ain:0:0	ltain	OPAQUE_COMPILER_CELL_NO_GLOSS
f75r	f75	Q13|f75r|R01	EARLIER	0	f75r.3	1	INSTRUCTION_CLAUSE_LIKE	0	MIDDLE	LINE_END	MIDDLE:LINE_END	olk	NONE	NONE	0	ar	0	0	ar:0:0	NONE:0:ar:0:0	olkar	OPAQUE_COMPILER_CELL_NO_GLOSS
f75r	f75	Q13|f75r|R01	EARLIER	0	f75r.3	1	INSTRUCTION_CLAUSE_LIKE	0	LAST	LINE_END	LAST:LINE_END	or	NONE	NONE	0	NONE	0	0	NONE:0:0	NONE:0:NONE:0:0	or	OPAQUE_COMPILER_CELL_NO_GLOSS
f75r	f75	Q13|f75r|R01	EARLIER	0	f75r.7	2	SHORT_ARGUMENT_LIKE	0	SINGLE	DY	SINGLE:DY	pche	NONE	NONE	0	NONE	1	0	NONE:1:0	NONE:0:NONE:1:0	pchedy	OPAQUE_COMPILER_CELL_NO_GLOSS
f75r	f75	Q13|f75r|R01	EARLIER	0	f75r.7	3	SHORT_ARGUMENT_LIKE	0	SINGLE	DY	SINGLE:DY	oksh	q	NONE	0	NONE	1	0	NONE:1:0	NONE:0:NONE:1:0	qokshdy	OPAQUE_COMPILER_CELL_NO_GLOSS
f75r	f75	Q13|f75r|R01	EARLIER	0	f75r.7	4	INSTRUCTION_CLAUSE_LIKE	0	FIRST	LINE_END	FIRST:LINE_END	yt	NONE	NONE	0	ain	0	0	ain:0:0	NONE:0:ain:0:0	ytain	OPAQUE_COMPILER_CELL_NO_GLOSS
