host_a	host_b	length	position	glyph_a	glyph_b	substitution_class	count_a	count_b	folios_a	folios_b	pages_a	pages_b	sections_a	sections_b	context_cosine	context_js	claim_state
ada	ala	3	2	d	l	L3:P2:d>l	1	5	1	4	1	5	S	H|S	0.954114029730	0.050238820719	ONE_GLYPH_FORMAL_NEIGHBOR_NO_MORPHOLOGY_OR_MEANING
ada	ama	3	2	d	m	L3:P2:d>m	1	1	1	1	1	1	S	H	0.985150812065	0.012581458369	ONE_GLYPH_FORMAL_NEIGHBOR_NO_MORPHOLOGY_OR_MEANING
ada	ara	3	2	d	r	L3:P2:d>r	1	8	1	8	1	8	S	H|S	0.941301578933	0.073567016405	ONE_GLYPH_FORMAL_NEIGHBOR_NO_MORPHOLOGY_OR_MEANING
ada	eda	3	1	a	e	L3:P1:a>e	1	4	1	3	1	4	S	B|S	0.945205659993	0.056855128534	ONE_GLYPH_FORMAL_NEIGHBOR_NO_MORPHOLOGY_OR_MEANING
ada	yda	3	1	a	y	L3:P1:a>y	1	1	1	1	1	1	S	H	0.985150812065	0.012581458369	ONE_GLYPH_FORMAL_NEIGHBOR_NO_MORPHOLOGY_OR_MEANING
ag	ai	2	2	g	i	L2:P2:g>i	1	4	1	4	1	4	B	H|S	0.894186142143	0.056382929736	ONE_GLYPH_FORMAL_NEIGHBOR_NO_MORPHOLOGY_OR_MEANING
ag	ak	2	2	g	k	L2:P2:g>k	1	3	1	3	1	3	B	B|S	0.938316913742	0.056920451973	ONE_GLYPH_FORMAL_NEIGHBOR_NO_MORPHOLOGY_OR_MEANING
ag	al	2	2	g	l	L2:P2:g>l	1	292	1	64	1	94	B	B|C|H|P|S|T	0.909882514628	0.163609468328	ONE_GLYPH_FORMAL_NEIGHBOR_NO_MORPHOLOGY_OR_MEANING
ag	am	2	2	g	m	L2:P2:g>m	1	1	1	1	1	1	B	S	0.961948955916	0.028308281331	ONE_GLYPH_FORMAL_NEIGHBOR_NO_MORPHOLOGY_OR_MEANING
ag	an	2	2	g	n	L2:P2:g>n	1	25	1	17	1	19	B	B|H|S	0.919780987043	0.129181223626	ONE_GLYPH_FORMAL_NEIGHBOR_NO_MORPHOLOGY_OR_MEANING
ag	ar	2	2	g	r	L2:P2:g>r	1	350	1	69	1	111	B	B|C|H|P|S|T	0.909564270699	0.165449555830	ONE_GLYPH_FORMAL_NEIGHBOR_NO_MORPHOLOGY_OR_MEANING
ag	at	2	2	g	t	L2:P2:g>t	1	1	1	1	1	1	B	H	0.961948955916	0.028308281331	ONE_GLYPH_FORMAL_NEIGHBOR_NO_MORPHOLOGY_OR_MEANING
ag	lg	2	1	a	l	L2:P1:a>l	1	1	1	1	1	1	B	S	0.985150812065	0.012581458369	ONE_GLYPH_FORMAL_NEIGHBOR_NO_MORPHOLOGY_OR_MEANING
ai	ak	2	2	i	k	L2:P2:i>k	4	3	4	3	4	3	H|S	B|S	0.797089013970	0.137626045395	ONE_GLYPH_FORMAL_NEIGHBOR_NO_MORPHOLOGY_OR_MEANING
ai	al	2	2	i	l	L2:P2:i>l	4	292	4	64	4	94	H|S	B|C|H|P|S|T	0.846832339870	0.170817623486	ONE_GLYPH_FORMAL_NEIGHBOR_NO_MORPHOLOGY_OR_MEANING
ai	am	2	2	i	m	L2:P2:i>m	4	1	4	1	4	1	H|S	S	0.829730518281	0.104327453762	ONE_GLYPH_FORMAL_NEIGHBOR_NO_MORPHOLOGY_OR_MEANING
ai	an	2	2	i	n	L2:P2:i>n	4	25	4	17	4	19	H|S	B|H|S	0.851658384952	0.146924553233	ONE_GLYPH_FORMAL_NEIGHBOR_NO_MORPHOLOGY_OR_MEANING
ai	ar	2	2	i	r	L2:P2:i>r	4	350	4	69	4	111	H|S	B|C|H|P|S|T	0.843665214945	0.175050359864	ONE_GLYPH_FORMAL_NEIGHBOR_NO_MORPHOLOGY_OR_MEANING
ai	at	2	2	i	t	L2:P2:i>t	4	1	4	1	4	1	H|S	H	0.829730518281	0.104327453762	ONE_GLYPH_FORMAL_NEIGHBOR_NO_MORPHOLOGY_OR_MEANING
aid	aii	3	3	d	i	L3:P3:d>i	1	6	1	5	1	5	H	H|S	0.897474023724	0.065088116892	ONE_GLYPH_FORMAL_NEIGHBOR_NO_MORPHOLOGY_OR_MEANING
aid	ail	3	3	d	l	L3:P3:d>l	1	5	1	3	1	5	H	H|S	0.933394383301	0.055779817635	ONE_GLYPH_FORMAL_NEIGHBOR_NO_MORPHOLOGY_OR_MEANING
aid	ain	3	3	d	n	L3:P3:d>n	1	182	1	59	1	85	H	B|C|H|P|S|T	0.907403043224	0.181456087657	ONE_GLYPH_FORMAL_NEIGHBOR_NO_MORPHOLOGY_OR_MEANING
aid	air	3	3	d	r	L3:P3:d>r	1	81	1	40	1	51	H	B|C|H|P|S|T	0.910315574118	0.172481219660	ONE_GLYPH_FORMAL_NEIGHBOR_NO_MORPHOLOGY_OR_MEANING
aid	ald	3	2	i	l	L3:P2:i>l	1	9	1	7	1	8	H	H|P|S	0.939554507759	0.074275484833	ONE_GLYPH_FORMAL_NEIGHBOR_NO_MORPHOLOGY_OR_MEANING
aii	ail	3	3	i	l	L3:P3:i>l	6	5	5	3	5	5	H|S	H|S	0.899990528389	0.068811728067	ONE_GLYPH_FORMAL_NEIGHBOR_NO_MORPHOLOGY_OR_MEANING
aii	ain	3	3	i	n	L3:P3:i>n	6	182	5	59	5	85	H|S	B|C|H|P|S|T	0.886530281844	0.144996922862	ONE_GLYPH_FORMAL_NEIGHBOR_NO_MORPHOLOGY_OR_MEANING
aii	air	3	3	i	r	L3:P3:i>r	6	81	5	40	5	51	H|S	B|C|H|P|S|T	0.886634579370	0.137906832995	ONE_GLYPH_FORMAL_NEIGHBOR_NO_MORPHOLOGY_OR_MEANING
ail	ain	3	3	l	n	L3:P3:l>n	5	182	3	59	5	85	H|S	B|C|H|P|S|T	0.937888929366	0.107944145378	ONE_GLYPH_FORMAL_NEIGHBOR_NO_MORPHOLOGY_OR_MEANING
