locus	page	physical_folio	group_index	core	previous_token	previous_family	target_token	target_family	target_prefix	target_residual_host	position_bin	claim_state
f103r.22	f103r	f103	7	ar	shedy	LJBA	qotar	DAQAC	q	otar	2	OBSERVED_FORMAL_SEQUENCE_NOT_SEMANTIC
f104r.36	f104r	f104	2	ar	psheody	PLJABA	qotar	DAQAC	q	otar	0	OBSERVED_FORMAL_SEQUENCE_NOT_SEMANTIC
f104r.39	f104r	f104	5	al	alkchdy	ABQKBA	qotal	DAQAB	q	otal	1	OBSERVED_FORMAL_SEQUENCE_NOT_SEMANTIC
f104v.19	f104v	f104	5	ol	cholkshedy	KABQLJBA	qotol	DAQAB	q	otol	1	OBSERVED_FORMAL_SEQUENCE_NOT_SEMANTIC
f105v.13	f105v	f105	4	ar	qokchdy	DAQKBA	otar	AQAC	NONE	otar	1	OBSERVED_FORMAL_SEQUENCE_NOT_SEMANTIC
f106r.18	f106r	f106	4	ol	qokeedy	DAQKBA	otol	AQAB	NONE	otol	1	OBSERVED_FORMAL_SEQUENCE_NOT_SEMANTIC
f106v.16	f106v	f106	7	ar	qotchdy	DAQKBA	qotar	DAQAC	q	otar	2	OBSERVED_FORMAL_SEQUENCE_NOT_SEMANTIC
f106v.33	f106v	f106	3	ar	ody	ABA	qotar	DAQAC	q	otar	1	OBSERVED_FORMAL_SEQUENCE_NOT_SEMANTIC
f107v.2	f107v	f107	7	al	qokedy	DAQJBA	otal	AQAB	NONE	otal	2	OBSERVED_FORMAL_SEQUENCE_NOT_SEMANTIC
f108r.36	f108r	f108	6	al	okedy	AQJBA	qotal	DAQAB	q	otal	2	OBSERVED_FORMAL_SEQUENCE_NOT_SEMANTIC
f111r.7	f111r	f111	11	ar	otedy	AQJBA	otar	AQAC	NONE	otar	3	OBSERVED_FORMAL_SEQUENCE_NOT_SEMANTIC
f111v.34	f111v	f111	8	ar	opchedy	APKJBA	qotar	DAQAC	q	otar	2	OBSERVED_FORMAL_SEQUENCE_NOT_SEMANTIC
f113r.32	f113r	f113	5	al	okshedy	AQLJBA	otal	AQAB	NONE	otal	1	OBSERVED_FORMAL_SEQUENCE_NOT_SEMANTIC
f113r.37	f113r	f113	10	al	lfchedy	BPKJBA	otal	AQAB	NONE	otal	3	OBSERVED_FORMAL_SEQUENCE_NOT_SEMANTIC
f113v.23	f113v	f113	11	al	cheody	KJABA	otal	AQAB	NONE	otal	3	OBSERVED_FORMAL_SEQUENCE_NOT_SEMANTIC
f114r.40	f114r	f114	7	ar	qoteeedy	DAQMBA	qotar	DAQAC	q	otar	2	OBSERVED_FORMAL_SEQUENCE_NOT_SEMANTIC
f114v.2	f114v	f114	4	ol	choddy	KABBA	otol	AQAB	NONE	otol	1	OBSERVED_FORMAL_SEQUENCE_NOT_SEMANTIC
f114v.9	f114v	f114	10	al	sheedy	LKBA	qotal	DAQAB	q	otal	3	OBSERVED_FORMAL_SEQUENCE_NOT_SEMANTIC
f115r.43	f115r	f115	7	ar	qokchedy	DAQKJBA	chotar	KAQAC	ch	otar	2	OBSERVED_FORMAL_SEQUENCE_NOT_SEMANTIC
f115v.4	f115v	f115	4	ar	otechdy	AQJKBA	qotar	DAQAC	q	otar	1	OBSERVED_FORMAL_SEQUENCE_NOT_SEMANTIC
f115v.8	f115v	f115	6	ol	otchdy	AQKBA	qotol	DAQAB	q	otol	2	OBSERVED_FORMAL_SEQUENCE_NOT_SEMANTIC
f116r.16	f116r	f116	4	al	sheedy	LKBA	otal	AQAB	NONE	otal	1	OBSERVED_FORMAL_SEQUENCE_NOT_SEMANTIC
f116r.4	f116r	f116	10	ar	oteedy	AQKBA	qotar	DAQAC	q	otar	3	OBSERVED_FORMAL_SEQUENCE_NOT_SEMANTIC
f16r.8	f16r	f16	5	ol	shody	LABA	otol	AQAB	NONE	otol	3	OBSERVED_FORMAL_SEQUENCE_NOT_SEMANTIC
f26r.10	f26r	f26	5	al	cheody	KJABA	otal	AQAB	NONE	otal	3	OBSERVED_FORMAL_SEQUENCE_NOT_SEMANTIC
f34r.3	f34r	f34	7	ol	otedy	AQJBA	qotol	DAQAB	q	otol	2	OBSERVED_FORMAL_SEQUENCE_NOT_SEMANTIC
f41v.2	f41v	f41	8	al	shdchdy	LBKBA	qotal	DAQAB	q	otal	3	OBSERVED_FORMAL_SEQUENCE_NOT_SEMANTIC
f42v.3	f42v	f42	3	ol	chotody	KAQABA	chotol	KAQAB	ch	otol	1	OBSERVED_FORMAL_SEQUENCE_NOT_SEMANTIC
f43r.10	f43r	f43	11	ar	dydydy	BABABA	qotar	DAQAC	q	otar	3	OBSERVED_FORMAL_SEQUENCE_NOT_SEMANTIC
f48v.2	f48v	f48	5	ar	otchody	AQKABA	otar	AQAC	NONE	otar	1	OBSERVED_FORMAL_SEQUENCE_NOT_SEMANTIC
f48v.9	f48v	f48	10	ol	otchdy	AQKBA	otoldy	AQABBA	NONE	otol	3	OBSERVED_FORMAL_SEQUENCE_NOT_SEMANTIC
f49v.26	f49v	f49	3	ol	chokeeody	KAQKABA	otol	AQAB	NONE	otol	1	OBSERVED_FORMAL_SEQUENCE_NOT_SEMANTIC
f51r.15	f51r	f51	7	al	aldy	ABBA	otal	AQAB	NONE	otal	3	OBSERVED_FORMAL_SEQUENCE_NOT_SEMANTIC
f75r.44	f75r	f75	7	ar	okoldy	AQABBA	otar	AQAC	NONE	otar	2	OBSERVED_FORMAL_SEQUENCE_NOT_SEMANTIC
f76v.31	f76v	f76	9	ar	otedy	AQJBA	qotar	DAQAC	q	otar	3	OBSERVED_FORMAL_SEQUENCE_NOT_SEMANTIC
