language_id	panel	module	source_sta_sequence	held_folio	mapped_phoneme_sequence	modal_realization	modal_fold_count	stable_9_of_12
GEORGIAN	KARTVELIAN_TARGET	q-	D1	f103	s	s	7	0
GEORGIAN	KARTVELIAN_TARGET	q-	D1	f104	s	s	7	0
GEORGIAN	KARTVELIAN_TARGET	q-	D1	f105	s	s	7	0
GEORGIAN	KARTVELIAN_TARGET	q-	D1	f106	ɐ	s	7	0
GEORGIAN	KARTVELIAN_TARGET	q-	D1	f107	s	s	7	0
GEORGIAN	KARTVELIAN_TARGET	q-	D1	f108	s	s	7	0
GEORGIAN	KARTVELIAN_TARGET	q-	D1	f111	ɐ	s	7	0
GEORGIAN	KARTVELIAN_TARGET	q-	D1	f112	ɐ	s	7	0
GEORGIAN	KARTVELIAN_TARGET	q-	D1	f113	s	s	7	0
GEORGIAN	KARTVELIAN_TARGET	q-	D1	f114	ɐ	s	7	0
GEORGIAN	KARTVELIAN_TARGET	q-	D1	f115	ɐ	s	7	0
GEORGIAN	KARTVELIAN_TARGET	q-	D1	f116	s	s	7	0
GEORGIAN	KARTVELIAN_TARGET	d-	B1	f103	m	s	4	0
GEORGIAN	KARTVELIAN_TARGET	d-	B1	f104	s	s	4	0
GEORGIAN	KARTVELIAN_TARGET	d-	B1	f105	l	s	4	0
GEORGIAN	KARTVELIAN_TARGET	d-	B1	f106	m	s	4	0
GEORGIAN	KARTVELIAN_TARGET	d-	B1	f107	s	s	4	0
GEORGIAN	KARTVELIAN_TARGET	d-	B1	f108	l	s	4	0
GEORGIAN	KARTVELIAN_TARGET	d-	B1	f111	a	s	4	0
GEORGIAN	KARTVELIAN_TARGET	d-	B1	f112	s	s	4	0
GEORGIAN	KARTVELIAN_TARGET	d-	B1	f113	s	s	4	0
GEORGIAN	KARTVELIAN_TARGET	d-	B1	f114	a	s	4	0
GEORGIAN	KARTVELIAN_TARGET	d-	B1	f115	l	s	4	0
GEORGIAN	KARTVELIAN_TARGET	d-	B1	f116	x	s	4	0
GEORGIAN	KARTVELIAN_TARGET	s-	C2	f103	s	s	6	0
GEORGIAN	KARTVELIAN_TARGET	s-	C2	f104	s	s	6	0
GEORGIAN	KARTVELIAN_TARGET	s-	C2	f105	ɐ	s	6	0
GEORGIAN	KARTVELIAN_TARGET	s-	C2	f106	a	s	6	0
GEORGIAN	KARTVELIAN_TARGET	s-	C2	f107	s	s	6	0
GEORGIAN	KARTVELIAN_TARGET	s-	C2	f108	ɐ	s	6	0
