comparison_id	external_structure	voynich_observation	compatibility	independence	translation_consequence
C01	Medicinal distillation of wine plants and minerals	q13 is human-catalogued biological/balneological with pools tubes figures and prose	BROAD_SYSTEM_COMPATIBILITY	Independent source descriptions but broad class	Content-domain prior only
C02	Body-like vessel with head foot stomach and top-bottom arms	q13 repeatedly embeds human figures in tube/pool structures	PROVISIONAL_ICONOGRAPHIC_COMPATIBILITY	External analogy independent; Voynich figure function unknown	Personified material/process-state hypothesis only
C03	Fluid repeatedly rises and descends through side pipes	f78v-to-f81r and multiple q13 pages have connected top/bottom tubes and pools	STRONG_SYSTEM_ANALOGY	Geometry independent; Voynich flow direction not authorially marked	Circulation-process hypothesis only
C04	Continual ascent/descent is the operative process	No authorial ordering or direction has been established for q13 channels	UNRESOLVED_MISSING_DIRECTION	Hard missing bridge	No operation assignment
C05	Red king and white queen undergo chemical union inside a flask	Voynich figures repeatedly occupy colored pools/containers	BROAD_ICONOGRAPHIC_COMPATIBILITY	Independent readable external function; nonidentical imagery	Figures need not be literal bathers
C06	Donum Dei has an ordered black/white/red vessel sequence	Voynich q13 pools are predominantly blue/green with no frozen matching sequence	COUNTEREXAMPLE_NO_EXACT_COLOR_PROGRAM	Independent negative	Do not map q13 colors to alchemical stages
C07	Quintessence is separated from four corruptible elements by circulation	f77 has four visible emissions and one non-emission across five boundaries	POSTHOC_SPECIFIC_LEAD	External source is new; f77 assignment is exposed and algebraically flexible	Four-expelled-plus-retained-fifth hypothesis only
C08	Readable comparator would need six states five edges and four-output/one-hold	No external retained source has the complete f77 topology	EXACT_HOMOLOG_ABSENT	Hard negative	No f77 state or element values
C09	Readable Latin prose explains the external apparatus	Voynich q13 has no singular owner linking a readable value to one inscription	TRANSLATION_BRIDGE_ABSENT	Hard negative	No dictionary entry
C10	Rupescissa distinguishes a retained fifth essence from four-element corruption	The former f77 quality decoder was withdrawn by GDT202	FORMAL_DECODER_NOT_RECOVERED	Registered prior falsifier	Do not revive COLD DRY HOT MOIST word glosses
C11	External works are Latin medical/alchemical traditions	Static named-letter and word-codebook historical-language mappings already fail	LANGUAGE_CHANNEL_UNRESOLVED	Registered GDT189-GDT194 negatives	No Latin German or other language identification
