entry	original_scope	original_provisional_role	original_english_gloss	disposition	active_role	active_english_gloss	reason
PAGE_HOST	MANUSCRIPT_FORMAL	OPAQUE_PAGE_OR_REGISTER_CONDITIONED_CONTENT_ADDRESS	UNASSIGNED	FORMAL_ONLY_RETAINED	OPAQUE_PAGE_OR_REGISTER_CONDITIONED_CONTENT_ADDRESS	UNASSIGNED	Reproducible anonymous compiler coordinate; no semantic value.
WRAPPER	MANUSCRIPT_FORMAL	HOST_LICENSED_ENTRY_OR_RENDERING_COORDINATE	UNASSIGNED	FORMAL_ONLY_RETAINED	HOST_LICENSED_ENTRY_OR_RENDERING_COORDINATE	UNASSIGNED	Reproducible anonymous compiler coordinate; no semantic value.
RIGHT_FAMILY	MANUSCRIPT_FORMAL	REGISTER_CONDITIONED_RIGHT_EDGE_RENDERER	UNASSIGNED	FORMAL_ONLY_RETAINED	REGISTER_CONDITIONED_RIGHT_EDGE_RENDERER	UNASSIGNED	Reproducible anonymous compiler coordinate; no semantic value.
DY_CLASS	MANUSCRIPT_FORMAL	FIELD_CHECKPOINT_OR_CLOSURE_CLASS	UNASSIGNED	FORMAL_ONLY_RETAINED	FIELD_CHECKPOINT_OR_CLOSURE_CLASS	UNASSIGNED	Reproducible anonymous compiler coordinate; no semantic value.
B3_CLASS	MANUSCRIPT_FORMAL	PROBABILISTIC_PHYSICAL_RECORD_CLOSER	UNASSIGNED	FORMAL_ONLY_RETAINED	PROBABILISTIC_PHYSICAL_RECORD_CLOSER	UNASSIGNED	Reproducible anonymous compiler coordinate; no semantic value.
Q_OUTER	MANUSCRIPT_FORMAL	LEFT_EDGE_ROUTING_OPERATION	UNASSIGNED	FORMAL_ONLY_RETAINED	LEFT_EDGE_ROUTING_OPERATION	UNASSIGNED	Reproducible anonymous compiler coordinate; no semantic value.
N1_STARTS_OT_BIT	F57_N1_AND_F77_SEGMENTS_ONLY	FIRE_INCIDENCE_COORDINATE	UNASSIGNED	SEMANTIC_GLOSS_WITHDRAWN	UNASSIGNED	UNASSIGNED	Page-local semantic selection is nonunique and has no successful fixed transfer or readable homolog.
D1_HAS_OK_BIT	F57_D1_ONLY	WATER_INCIDENCE_COORDINATE	UNASSIGNED	SEMANTIC_GLOSS_WITHDRAWN	UNASSIGNED	UNASSIGNED	Page-local semantic selection is nonunique and has no successful fixed transfer or readable homolog.
LOCAL_TERMINAL_Y_BIT	F57_SHORT_LABELS_AND_F77_SEGMENTS_ONLY	MOIST_OR_DRY_PARTITION_COORDINATE	UNASSIGNED	SEMANTIC_GLOSS_WITHDRAWN	UNASSIGNED	UNASSIGNED	Page-local semantic selection is nonunique and has no successful fixed transfer or readable homolog.
N1_F77_STATE_00	F57_N1_AND_F77_LOCAL_SCHEMA	COLD_POSITION	COLD_POSITION	SEMANTIC_GLOSS_WITHDRAWN	UNASSIGNED	UNASSIGNED	Page-local semantic selection is nonunique and has no successful fixed transfer or readable homolog.
N1_F77_STATE_01	F57_N1_AND_F77_LOCAL_SCHEMA	MOIST_POSITION	MOIST_POSITION	SEMANTIC_GLOSS_WITHDRAWN	UNASSIGNED	UNASSIGNED	Page-local semantic selection is nonunique and has no successful fixed transfer or readable homolog.
N1_F77_STATE_10	F57_N1_AND_F77_LOCAL_SCHEMA	HOT_POSITION	HOT_POSITION	SEMANTIC_GLOSS_WITHDRAWN	UNASSIGNED	UNASSIGNED	Page-local semantic selection is nonunique and has no successful fixed transfer or readable homolog.
N1_F77_STATE_11	F57_N1_AND_F77_LOCAL_SCHEMA	DRY_POSITION	DRY_POSITION	SEMANTIC_GLOSS_WITHDRAWN	UNASSIGNED	UNASSIGNED	Page-local semantic selection is nonunique and has no successful fixed transfer or readable homolog.
D1_STATE_00	F57_D1_LOCAL_SCHEMA	HOT_POSITION	HOT_POSITION	SEMANTIC_GLOSS_WITHDRAWN	UNASSIGNED	UNASSIGNED	Page-local semantic selection is nonunique and has no successful fixed transfer or readable homolog.
D1_STATE_01	F57_D1_LOCAL_SCHEMA	DRY_POSITION	DRY_POSITION	SEMANTIC_GLOSS_WITHDRAWN	UNASSIGNED	UNASSIGNED	Page-local semantic selection is nonunique and has no successful fixed transfer or readable homolog.
D1_STATE_10	F57_D1_LOCAL_SCHEMA	COLD_POSITION	COLD_POSITION	SEMANTIC_GLOSS_WITHDRAWN	UNASSIGNED	UNASSIGNED	Page-local semantic selection is nonunique and has no successful fixed transfer or readable homolog.
D1_STATE_11	F57_D1_LOCAL_SCHEMA	MOIST_POSITION	MOIST_POSITION	SEMANTIC_GLOSS_WITHDRAWN	UNASSIGNED	UNASSIGNED	Page-local semantic selection is nonunique and has no successful fixed transfer or readable homolog.
