lexical_id	source_form	source_frequency	system_a_host	system_b_host	system_b_lexical_left	system_b_lexical_right	system_b_field_marker
LEX000	in	146	aa	aa	NONE	NONE	NONE
LEX001	q̃	145	ab	aa	NONE	NONE	t
LEX002	ad	126	ac	aa	NONE	NONE	s
LEX003	si	125	ae	aa	NONE	NONE	u
LEX004	cũ	117	af	aa	NONE	r	NONE
LEX005	ut	95	ag	aa	NONE	r	t
LEX006	ex	94	ah	aa	NONE	r	s
LEX007	de	94	ai	aa	NONE	r	u
LEX008	sem̃	85	aj	aa	NONE	y	NONE
LEX009	qr	81	al	aa	NONE	y	t
LEX010	uͦ	71	am	aa	NONE	y	s
LEX011	nõ	63	an	aa	NONE	y	u
LEX012	et	63	ap	aa	NONE	k	NONE
LEX013	est	56	as	aa	NONE	k	t
LEX014	aut	52	at	aa	NONE	k	s
LEX015	s̃	50	au	aa	NONE	k	u
LEX016	sũt	50	av	aa	q	NONE	NONE
LEX017	sit	41	ax	aa	q	NONE	t
LEX018	uł	40	az	aa	q	NONE	s
LEX019	qd	36	ba	aa	q	NONE	u
LEX020	fit	35	bb	aa	q	r	NONE
LEX021	aũt	33	bc	aa	q	r	t
LEX022	ii	30	be	aa	q	r	s
LEX023	se	30	bf	aa	q	r	u
LEX024	fu̾it	30	bg	aa	q	y	NONE
LEX025	sic	29	bh	aa	q	y	t
LEX026	qui	27	bi	aa	q	y	s
LEX027	egͥ	27	bj	aa	q	y	u
LEX028	aũ	27	bl	aa	q	k	NONE
LEX029	tͥ	25	bm	aa	q	k	t
LEX030	d̾	24	bn	aa	q	k	s
LEX031	erit	23	bp	aa	q	k	u
LEX032	anͣ	23	bs	aa	o	NONE	NONE
LEX033	sic̃	23	bt	aa	o	NONE	t
LEX034	qͦ	23	bu	aa	o	NONE	s
LEX035	iii	23	bv	aa	o	NONE	u
LEX036	coitu	22	bx	aa	o	r	NONE
LEX037	illud	21	bz	aa	o	r	t
LEX038	ab	21	ca	aa	o	r	s
LEX039	gͦ	20	cb	aa	o	r	u
LEX040	ẽẽ	20	cc	aa	o	y	NONE
LEX041	qm̃	19	ce	aa	o	y	t
LEX042	iiii	19	cf	aa	o	y	s
LEX043	res	19	cg	aa	o	y	u
LEX044	cui	19	ch	aa	o	k	NONE
LEX045	qd̾	19	ci	aa	o	k	t
LEX046	qͥ	19	cj	aa	o	k	s
LEX047	aqͣ	19	cl	aa	o	k	u
LEX048	sicut	18	cm	aa	d	NONE	NONE
LEX049	qmͣ	18	cn	aa	d	NONE	t
LEX050	coitũ	18	cp	aa	d	NONE	s
LEX051	dic̃	17	cs	aa	d	NONE	u
LEX052	c̾	17	ct	aa	d	r	NONE
LEX053	mag̃	17	cu	aa	d	r	t
LEX054	nͥ	17	cv	aa	d	r	s
LEX055	iõ	17	cx	aa	d	r	u
LEX056	egͥtudĩs	16	cz	aa	d	y	NONE
LEX057	ea	16	ea	aa	d	y	t
LEX058	ip̃a	16	eb	aa	d	y	s
LEX059	fiat	16	ec	aa	d	y	u
LEX060	eoꝵ	16	ee	aa	d	k	NONE
LEX061	eis	16	ef	aa	d	k	t
LEX062	ꝑꝑ	15	eg	aa	d	k	s
LEX063	tm̃	14	eh	aa	d	k	u
LEX064	te	14	ei	ab	NONE	NONE	NONE
LEX065	plus	14	ej	ab	NONE	NONE	t
LEX066	neq	14	el	ab	NONE	NONE	s
LEX067	multũ	14	em	ab	NONE	NONE	u
LEX068	ita	13	en	ab	NONE	r	NONE
LEX069	ꝗͣ	13	ep	ab	NONE	r	t
LEX070	qͣ	13	es	ab	NONE	r	s
LEX071	mlr̃es	13	et	ab	NONE	r	u
LEX072	vr̾	13	eu	ab	NONE	y	NONE
LEX073	illa	13	ev	ab	NONE	y	t
LEX074	me	12	ex	ab	NONE	y	s
LEX075	añ	12	ez	ab	NONE	y	u
LEX076	ht̃	12	fa	ab	NONE	k	NONE
LEX077	ei	12	fb	ab	NONE	k	t
LEX078	a̾	12	fc	ab	NONE	k	s
LEX079	ca	12	fe	ab	NONE	k	u
LEX080	post	12	ff	ab	q	NONE	NONE
LEX081	calida	12	fg	ab	q	NONE	t
LEX082	lib	12	fh	ab	q	NONE	s
LEX083	sputũ	12	fi	ab	q	NONE	u
LEX084	hora	12	fj	ab	q	r	NONE
LEX085	cã	12	fl	ab	q	r	t
LEX086	semĩs	11	fm	ab	q	r	s
LEX087	egͥtudo	11	fn	ab	q	r	u
LEX088	re	11	fp	ab	q	y	NONE
LEX089	ma	11	fs	ab	q	y	t
LEX090	cum	11	ft	ab	q	y	s
LEX091	siue	11	fu	ab	q	y	u
LEX092	suꝑ	11	fv	ab	q	k	NONE
LEX093	die	11	fx	ab	q	k	t
LEX094	ip̃e	11	fz	ab	q	k	s
LEX095	tñ	10	ga	ab	q	k	u
LEX096	u̇	10	gb	ab	o	NONE	NONE
LEX097	ꝙͣ	10	gc	ab	o	NONE	t
LEX098	uo̾	10	ge	ab	o	NONE	s
LEX099	sig̾	10	gf	ab	o	NONE	u
LEX100	ip̃o	10	gg	ab	o	r	NONE
LEX101	ualde	10	gh	ab	o	r	t
LEX102	seminiᷤ	9	gi	ab	o	r	s
LEX103	hãc	9	gj	ab	o	r	u
