fold	training_books	surface_group	surface_without_marker	outer_left	local_left	page_host	right_outer	right_inner	abbreviation_marker	operation_count	host_training_occurrences	host_envelope_types
Band2	Band3;Band4;Band5	a	a	NONE	NONE	a	NONE	NONE	0	0	70	183
Band2	Band3;Band4;Band5	ab	ab	NONE	NONE	ab	NONE	NONE	0	0	477	41
Band2	Band3;Band4;Band5	abbt	abbt	NONE	NONE	abbt	NONE	NONE	0	0	23	5
Band2	Band3;Band4;Band5	abbtsperg	abbtsperg	NONE	NONE	abbtsperg	NONE	NONE	0	0	0	0
Band2	Band3;Band4;Band5	abbtspg¤	abbtspg	NONE	NONE	abbtspg	NONE	NONE	1	0	3	0
Band2	Band3;Band4;Band5	abclag	abclag	NONE	NONE	abclag	NONE	NONE	0	0	0	0
Band2	Band3;Band4;Band5	abcʒeprechen	abcʒeprechen	NONE	NONE	abcʒeprechen	NONE	NONE	0	0	0	0
Band2	Band3;Band4;Band5	abcʒutragen	abcʒutragen	NONE	NONE	abcʒutragen	NONE	NONE	0	0	0	0
Band2	Band3;Band4;Band5	abe	abe	NONE	NONE	ab	e	NONE	0	1	477	41
Band2	Band3;Band4;Band5	abemberg¤	abemberg	NONE	NONE	abemberg	NONE	NONE	1	0	1	1
Band2	Band3;Band4;Band5	abemsperg	abemsperg	NONE	NONE	abemsperg	NONE	NONE	0	0	1	0
Band2	Band3;Band4;Band5	abemspg¤	abemspg	NONE	NONE	abemspg	NONE	NONE	1	0	11	0
Band2	Band3;Band4;Band5	abenberg¤	abenberg	NONE	NONE	abenberg	NONE	NONE	1	0	0	0
Band2	Band3;Band4;Band5	abent	abent	NONE	NONE	abent	NONE	NONE	0	0	1	1
Band2	Band3;Band4;Band5	aber	aber	NONE	NONE	aber	NONE	NONE	0	0	494	1
Band2	Band3;Band4;Band5	abest	abest	NONE	NONE	ab	st	e	0	2	477	41
Band2	Band3;Band4;Band5	abetün	abetün	NONE	NONE	abetün	NONE	NONE	0	0	0	0
Band2	Band3;Band4;Band5	abg	abg	NONE	NONE	abg	NONE	NONE	0	0	1	7
Band2	Band3;Band4;Band5	abgangen	abgangen	NONE	NONE	abgange	n	NONE	0	1	13	1
Band2	Band3;Band4;Band5	abgange¤	abgange	NONE	NONE	abgange	NONE	NONE	1	0	13	1
Band2	Band3;Band4;Band5	abge	abge	NONE	NONE	abge	NONE	NONE	0	0	3	5
Band2	Band3;Band4;Band5	abgehawe¤	abgehawe	NONE	NONE	abgehawe	NONE	NONE	1	0	0	0
Band2	Band3;Band4;Band5	abgemeet	abgemeet	NONE	NONE	abgemeet	NONE	NONE	0	0	0	0
Band2	Band3;Band4;Band5	abgepissen	abgepissen	NONE	NONE	abgepissen	NONE	NONE	0	0	0	0
Band2	Band3;Band4;Band5	abgeschribn¤	abgeschribn	NONE	NONE	abgeschribn	NONE	NONE	1	0	1	0
Band2	Band3;Band4;Band5	abgesnẏten	abgesnẏten	NONE	NONE	abgesnẏten	NONE	NONE	0	0	1	0
Band2	Band3;Band4;Band5	abgetan	abgetan	NONE	NONE	abgetan	NONE	NONE	0	0	31	0
Band2	Band3;Band4;Band5	abgetr	abgetr	NONE	NONE	abgetr	NONE	NONE	0	0	0	0
Band2	Band3;Band4;Band5	abgetragen	abgetragen	NONE	NONE	abgetrage	n	NONE	0	1	13	1
Band2	Band3;Band4;Band5	abgetrage¤	abgetrage	NONE	NONE	abgetrage	NONE	NONE	1	0	13	1
Band2	Band3;Band4;Band5	abginge	abginge	NONE	NONE	abginge	NONE	NONE	0	0	0	0
Band2	Band3;Band4;Band5	abnemen	abnemen	NONE	NONE	abnemen	NONE	NONE	0	0	6	1
Band2	Band3;Band4;Band5	abneme¤	abneme	NONE	NONE	abneme	NONE	NONE	1	0	1	2
