wrapper_outcome	feature_model	lambda	groups	baseline_bits	model_bits	gain_bits	selector_paid_gain_bits	selected
Q	BASE_OY	1	4641	4606.76045435	3548.54486648	1058.21558786	1055.89365977	1
Q	BASE_OY	4	4641	4606.76045435	3552.18495484	1054.57549951	1052.25357142	0
Q	BASE_OY	16	4641	4606.76045435	3608.49265843	998.267795918	995.945867823	0
Q	BASE_OY	64	4641	4606.76045435	3805.87636614	800.884088209	798.562160114	0
Q	BASE_OY	256	4641	4606.76045435	4109.2369512	497.523503152	495.201575057	0
Q	TAIL_LAST	1	4641	4606.76045435	3317.10661947	1289.65383487	1287.33190678	1
Q	TAIL_LAST	4	4641	4606.76045435	3417.85330577	1188.90714858	1186.58522049	0
Q	TAIL_LAST	16	4641	4606.76045435	3654.54274991	952.217704441	949.895776346	0
Q	TAIL_LAST	64	4641	4606.76045435	4029.27146773	577.488986613	575.167058519	0
Q	TAIL_LAST	256	4641	4606.76045435	4359.78628055	246.974173793	244.652245698	0
Q	HOST_LENGTH	1	4641	4606.76045435	3846.14509565	760.615358699	758.293430604	1
Q	HOST_LENGTH	4	4641	4606.76045435	3906.21209029	700.548364061	698.226435966	0
Q	HOST_LENGTH	16	4641	4606.76045435	4069.13136675	537.6290876	535.307159505	0
Q	HOST_LENGTH	64	4641	4606.76045435	4322.9388196	283.821634752	281.499706657	0
Q	HOST_LENGTH	256	4641	4606.76045435	4510.78845661	95.971997739	93.6500696441	0
Q	TAIL_LAST_X_LENGTH	1	4641	4606.76045435	2977.39231928	1629.36813507	1627.04620697	1
Q	TAIL_LAST_X_LENGTH	4	4641	4606.76045435	3212.74407368	1394.01638066	1391.69445257	0
Q	TAIL_LAST_X_LENGTH	16	4641	4606.76045435	3595.32257112	1011.43788322	1009.11595513	0
Q	TAIL_LAST_X_LENGTH	64	4641	4606.76045435	4063.85736323	542.903091117	540.581163023	0
Q	TAIL_LAST_X_LENGTH	256	4641	4606.76045435	4406.24640252	200.514051824	198.192123729	0
D	BASE_OY	1	4641	886.411107285	629.890927107	256.520180178	254.198252084	1
D	BASE_OY	4	4641	886.411107285	631.683905965	254.72720132	252.405273226	0
D	BASE_OY	16	4641	886.411107285	639.154195072	247.256912213	244.934984118	0
D	BASE_OY	64	4641	886.411107285	666.621502741	219.789604544	217.467676449	0
D	BASE_OY	256	4641	886.411107285	731.158299433	155.252807852	152.930879758	0
D	TAIL_LAST	1	4641	886.411107285	512.246671556	374.164435729	371.842507635	1
D	TAIL_LAST	4	4641	886.411107285	534.88821323	351.522894055	349.20096596	0
D	TAIL_LAST	16	4641	886.411107285	591.200504938	295.210602347	292.888674252	0
D	TAIL_LAST	64	4641	886.411107285	690.529681304	195.881425981	193.559497886	0
D	TAIL_LAST	256	4641	886.411107285	792.3276402	94.0834670848	91.7615389899	0
D	HOST_LENGTH	1	4641	886.411107285	530.302269274	356.108838011	353.786909916	1
D	HOST_LENGTH	4	4641	886.411107285	541.586003897	344.825103388	342.503175293	0
D	HOST_LENGTH	16	4641	886.411107285	585.444366616	300.966740669	298.644812574	0
D	HOST_LENGTH	64	4641	886.411107285	678.893557719	207.517549566	205.195621471	0
D	HOST_LENGTH	256	4641	886.411107285	783.80369041	102.607416875	100.28548878	0
D	TAIL_LAST_X_LENGTH	1	4641	886.411107285	493.551862935	392.85924435	390.537316255	1
D	TAIL_LAST_X_LENGTH	4	4641	886.411107285	530.180975807	356.230131478	353.908203384	0
D	TAIL_LAST_X_LENGTH	16	4641	886.411107285	598.410832455	288.00027483	285.678346735	0
D	TAIL_LAST_X_LENGTH	64	4641	886.411107285	701.135129439	185.275977846	182.954049751	0
D	TAIL_LAST_X_LENGTH	256	4641	886.411107285	798.893534247	87.5175730379	85.195644943	0
