family_id	family_host	lexical_ids	variant_sequence	s2_rule	design_class
F01	ab	9	012568BDE	{}	HAND_AUTHORED_IRREGULAR_FAMILY
F02	ac	12	01345789ACFI	{}	HAND_AUTHORED_IRREGULAR_FAMILY
F03	ae	15	0123456789ABCDE	"{""e"": ""h"", ""i"": ""k""}"	HAND_AUTHORED_IRREGULAR_FAMILY
F04	af	8	02468ACE	{}	HAND_AUTHORED_IRREGULAR_FAMILY
F05	ag	14	013456789BDFHJ	{}	HAND_AUTHORED_IRREGULAR_FAMILY
F06	ai	11	0256789ABMN	{}	HAND_AUTHORED_IRREGULAR_FAMILY
F07	aj	13	0123468ACEGIK	{}	HAND_AUTHORED_IRREGULAR_FAMILY
F08	al	10	03579BDFHJ	"{""e"": ""h"", ""i"": ""k"", ""l"": ""o""}"	HAND_AUTHORED_IRREGULAR_FAMILY
F09	am	16	0123456789ABCFMN	{}	HAND_AUTHORED_IRREGULAR_FAMILY
F10	an	7	0268AEK	{}	HAND_AUTHORED_IRREGULAR_FAMILY
F11	ap	12	01456789BDGL	{}	HAND_AUTHORED_IRREGULAR_FAMILY
F12	as	14	01235678ACEHJN	{}	HAND_AUTHORED_IRREGULAR_FAMILY
F13	at	9	03479BDFM	{}	HAND_AUTHORED_IRREGULAR_FAMILY
F14	au	15	012345689ABDELM	"{""e"": ""h"", ""i"": ""k"", ""u"": ""y""}"	HAND_AUTHORED_IRREGULAR_FAMILY
F15	av	11	025678ACFKN	{}	HAND_AUTHORED_IRREGULAR_FAMILY
F16	ax	13	01345679BDEHI	{}	HAND_AUTHORED_IRREGULAR_FAMILY
F17	az	8	0248ACGM	{}	HAND_AUTHORED_IRREGULAR_FAMILY
F18	ba	16	0123456789ADEHJN	{}	HAND_AUTHORED_IRREGULAR_FAMILY
F19	bc	10	016789BDFL	"{""c"": ""d"", ""e"": ""h"", ""i"": ""k""}"	HAND_AUTHORED_IRREGULAR_FAMILY
F20	be	12	0234568ACEIK	{}	HAND_AUTHORED_IRREGULAR_FAMILY
F21	bf	14	01235789BDFHLM	{}	HAND_AUTHORED_IRREGULAR_FAMILY
F22	bg	9	045678ACN	{}	HAND_AUTHORED_IRREGULAR_FAMILY
F23	bi	15	012346789ABEGMN	{}	HAND_AUTHORED_IRREGULAR_FAMILY
F24	bj	11	025679CDFHJ	{}	HAND_AUTHORED_IRREGULAR_FAMILY
F25	bl	13	0134568ABDEKN	"{""e"": ""h"", ""i"": ""k"", ""l"": ""o""}"	HAND_AUTHORED_IRREGULAR_FAMILY
F26	bm	8	0279BFLN	{}	HAND_AUTHORED_IRREGULAR_FAMILY
F27	bn	16	0123456789BCGIKM	{}	HAND_AUTHORED_IRREGULAR_FAMILY
F28	bp	10	01468ADEHJ	{}	HAND_AUTHORED_IRREGULAR_FAMILY
F29	bs	12	02356789BFMN	{}	HAND_AUTHORED_IRREGULAR_FAMILY
F30	bt	14	01234678ACDGIL	"{""e"": ""h"", ""i"": ""k"", ""t"": ""y""}"	HAND_AUTHORED_IRREGULAR_FAMILY
F31	bu	9	05679BEKN	{}	HAND_AUTHORED_IRREGULAR_FAMILY
F32	bv	18	0123456789ABDEHLMN	{}	HAND_AUTHORED_IRREGULAR_FAMILY
