host	visual_feature	feature_class	additional_feature_pages	additional_effect	additional_z	additional_local_p	additional_maxT_p	additional_lofo_min	additional_lofo_max	full_b_feature_pages	full_b_host_pages	full_b_hit_pages	full_b_counterexample_pages	full_b_feature_precision	full_b_hit_folios	full_b_effect	full_b_z	full_b_local_p	full_b_maxT_p	full_b_lofo_min	full_b_lofo_max	token_variants	prefix_variants	closing_fraction	label_rows	label	claim_state
o	MULTIPLE_PLANTS	VISIBLE_PLANT_FEATURE	5	-0.004916908488	0.341674803481	0.849115088491	1.000000000000	-0.053867957439	0.012960789211	5	19	5	14	0.263157894737	4	0.028230678900	3.004987750050	0.001999800020	0.257074292571	0.017334019423	0.036665574764	6	5	0.916666666667	6	WEAK_POSTSELECTED	POSTSELECTED_HOST_VISUAL_ASSOCIATION_NOT_CONFIRMED_MEANING
aiin	FLOWER_HEAD_ARCHITECTURE	POSTHOC_COMPOSITE_VISIBLE_FEATURE	13	0.018261715660	0.000000000000	1.000000000000	1.000000000000	0.007945663962	0.031898079296	13	25	10	15	0.400000000000	6	-0.019070486719	-2.485987518514	0.015098490151	0.822617738226	-0.025932578373	-0.011102969924	3	3	0.000000000000	2	WEAK_POSTSELECTED	POSTSELECTED_HOST_VISUAL_ASSOCIATION_NOT_CONFIRMED_MEANING
ar	DAISY_CUP	VISIBLE_PLANT_FEATURE	11	-0.009872400327	-0.035241676985	1.000000000000	1.000000000000	-0.026217671218	0.009619357915	11	22	8	14	0.363636363636	6	-0.019374192461	-2.391316094528	0.016498350165	0.901409859014	-0.023307108857	-0.015117320119	3	3	0.000000000000	4	WEAK_POSTSELECTED	POSTSELECTED_HOST_VISUAL_ASSOCIATION_NOT_CONFIRMED_MEANING
ckhy	FUSED_PARALLEL_LEAVES	VISIBLE_PLANT_FEATURE	10	0.095192307692	1.561795551168	0.193280671933	1.000000000000	0.050769230769	0.122115384615	12	13	8	5	0.615384615385	7	0.017229105243	2.382333392962	0.010998900110	0.906909309069	0.013630170369	0.021670414837	4	4	0.000000000000	0	WEAK_POSTSELECTED	POSTSELECTED_HOST_VISUAL_ASSOCIATION_NOT_CONFIRMED_MEANING
ote	LEAVES_ONE_SIDE	VISIBLE_PLANT_FEATURE	3	-0.058250360041	-1.438638532708	0.213678632137	1.000000000000	-0.066987914047	-0.033185768480	5	8	0	8	0.000000000000	0	-0.008803820037	-2.381348784221	0.011998800120	0.907809219078	-0.010334919174	-0.006191799110	2	2	1.000000000000	6	WEAK_POSTSELECTED	POSTSELECTED_HOST_VISUAL_ASSOCIATION_NOT_CONFIRMED_MEANING
okch	TEXT_ABOVE_PLANT	PAGE_LAYOUT_RELATION	7	0.049648158859	1.185598012505	0.329367063294	1.000000000000	0.009615384615	0.079059829060	8	6	3	3	0.500000000000	3	0.015239202033	2.307992467678	0.023997600240	0.955504449555	0.004820351273	0.018226523609	2	2	1.000000000000	1	WEAK_POSTSELECTED	POSTSELECTED_HOST_VISUAL_ASSOCIATION_NOT_CONFIRMED_MEANING
y	MULTIPLE_STEMS_OR_STALKS	VISIBLE_PLANT_FEATURE	5	0.018352725706	0.990817596784	0.237976202380	1.000000000000	-0.013037330317	0.038244720965	9	17	8	9	0.470588235294	6	0.021465908543	2.299244854842	0.011998800120	0.958504149585	0.016040687265	0.026139424496	5	5	0.000000000000	4	WEAK_POSTSELECTED	POSTSELECTED_HOST_VISUAL_ASSOCIATION_NOT_CONFIRMED_MEANING
ar	FUSED_PARALLEL_LEAVES	VISIBLE_PLANT_FEATURE	10	-0.039730581918	-1.396752975364	0.289071092891	1.000000000000	-0.047422889610	-0.021160783661	12	22	7	15	0.318181818182	5	-0.020030745518	-2.298727431349	0.005599440056	0.958604139586	-0.026775007038	-0.014744889549	3	3	0.000000000000	4	WEAK_POSTSELECTED	POSTSELECTED_HOST_VISUAL_ASSOCIATION_NOT_CONFIRMED_MEANING
okal	ROOT_PLATFORM	VISIBLE_PLANT_FEATURE	4	0.172942253825	1.990917109040	0.031196880312	0.999100089991	0.080528248595	0.247194915262	5	14	4	10	0.285714285714	4	0.012594859232	2.056771435702	0.011598840116	0.999200079992	0.005655108419	0.020466588232	4	2	0.500000000000	10	WEAK_POSTSELECTED	POSTSELECTED_HOST_VISUAL_ASSOCIATION_NOT_CONFIRMED_MEANING
aiin	BROAD_CALYX	VISIBLE_PLANT_FEATURE	7	0.025201655929	0.587872343305	0.724527547245	1.000000000000	0.006220636948	0.039384798208	7	25	5	20	0.200000000000	3	-0.018890712647	-2.002125661696	0.027597240276	0.999900009999	-0.024561902818	-0.009247691650	3	3	0.000000000000	2	WEAK_POSTSELECTED	POSTSELECTED_HOST_VISUAL_ASSOCIATION_NOT_CONFIRMED_MEANING
dy	TEXT_SPLIT_OR_INTERRUPTED	PAGE_LAYOUT_RELATION	2	-0.054157994783	-0.999069222498	0.449055094491	1.000000000000	-0.089400092661	-0.015696456321	3	24	2	22	0.083333333333	2	-0.029403522819	-1.985174199303	0.043095690431	0.999900009999	-0.038752805617	-0.016185091452	2	2	0.000000000000	1	WEAK_POSTSELECTED	POSTSELECTED_HOST_VISUAL_ASSOCIATION_NOT_CONFIRMED_MEANING
okar	FLOWER_HEAD_ARCHITECTURE	POSTHOC_COMPOSITE_VISIBLE_FEATURE	13	0.006997414350	0.990445640787	1.000000000000	1.000000000000	-0.069102955868	0.038915496268	13	13	3	10	0.230769230769	2	-0.012523196051	-1.943304267348	0.171582841716	1.000000000000	-0.016007618133	-0.008727650699	2	2	0.000000000000	0	WEAK	POSTSELECTED_HOST_VISUAL_ASSOCIATION_NOT_CONFIRMED_MEANING
okch	DAISY_CUP	VISIBLE_PLANT_FEATURE	11	-0.071239316239	-2.810756569208	0.021397860214	0.583641635836	-0.089049145299	-0.037968441815	11	6	0	6	0.000000000000	0	-0.010113421025	-1.922536962609	0.093990600940	1.000000000000	-0.011512657344	-0.004759506422	2	2	1.000000000000	1	WEAK	POSTSELECTED_HOST_VISUAL_ASSOCIATION_NOT_CONFIRMED_MEANING
oke	FUSED_PARALLEL_LEAVES	VISIBLE_PLANT_FEATURE	10	-0.024674222836	-0.864223702746	0.412958704130	1.000000000000	-0.043060440960	0.004971020265	12	18	6	12	0.333333333333	5	-0.024489514155	-1.917373944786	0.020897910209	1.000000000000	-0.028375723310	-0.015989960925	2	2	1.000000000000	1	WEAK_POSTSELECTED	POSTSELECTED_HOST_VISUAL_ASSOCIATION_NOT_CONFIRMED_MEANING
ckhy	ROOT_PLATFORM	VISIBLE_PLANT_FEATURE	4	0.188170163170	1.753567308770	0.147485251475	1.000000000000	0.089987789988	0.256654456654	5	13	4	9	0.307692307692	4	0.026666797417	1.897065084975	0.050694930507	1.000000000000	0.017893731716	0.035682193255	4	4	0.000000000000	0	WEAK	POSTSELECTED_HOST_VISUAL_ASSOCIATION_NOT_CONFIRMED_MEANING
dy	FINGERED_OR_FRILLED_LEAVES	VISIBLE_PLANT_FEATURE	2	-0.054157994783	-0.301292706412	0.897610238976	1.000000000000	-0.089400092661	-0.012477015738	3	24	1	23	0.041666666667	1	-0.046122436089	-1.870427408224	0.085991400860	1.000000000000	-0.048320589250	-0.042624741888	2	2	0.000000000000	1	WEAK	POSTSELECTED_HOST_VISUAL_ASSOCIATION_NOT_CONFIRMED_MEANING
e	LARGE_OR_EXTENSIVE_ROOT	VISIBLE_PLANT_FEATURE	3	0.042522694697	0.144604025259	1.000000000000	1.000000000000	0.037153322868	0.086478738653	3	14	3	11	0.214285714286	2	0.018531178512	1.868078055006	0.036596340366	1.000000000000	0.002758345345	0.026796473198	3	2	0.900000000000	1	WEAK_POSTSELECTED	POSTSELECTED_HOST_VISUAL_ASSOCIATION_NOT_CONFIRMED_MEANING
