page_host	descriptor	positive_loci	all_host_loci	positive_folios	all_host_folios	positive_fraction	loci	surface_tokens	wrappers	right_families	semantic_role
ch	DARK	2	2	2	2	1	f100v.8;f89v1.3	dchdy;otchar	NONE;d	NONE;ar	UNASSIGNED
ch	DARK_LEAF	2	2	2	2	1	f100v.8;f89v1.3	dchdy;otchar	NONE;d	NONE;ar	UNASSIGNED
ch	LEAF_MENTION	2	2	2	2	1	f100v.8;f89v1.3	dchdy;otchar	NONE;d	NONE;ar	UNASSIGNED
ch	ROOT_MENTION	2	2	2	2	1	f100v.8;f89v1.3	dchdy;otchar	NONE;d	NONE;ar	UNASSIGNED
ok	DARK	2	2	2	2	1	f88v.14;f89r1.14	okaiin	NONE	aiin	UNASSIGNED
ok	ROOT_MENTION	2	2	2	2	1	f88v.14;f89r1.14	okaiin	NONE	aiin	UNASSIGNED
os	DARK	2	2	2	2	1	f100v.13;f88v.13	cheosdy;chos	ch;che	NONE	UNASSIGNED
os	DARK_LEAF	2	2	2	2	1	f100v.13;f88v.13	cheosdy;chos	ch;che	NONE	UNASSIGNED
os	LEAF_MENTION	2	2	2	2	1	f100v.13;f88v.13	cheosdy;chos	ch;che	NONE	UNASSIGNED
os	LIGHT	2	2	2	2	1	f100v.13;f88v.13	cheosdy;chos	ch;che	NONE	UNASSIGNED
os	LIGHT_ROOT	2	2	2	2	1	f100v.13;f88v.13	cheosdy;chos	ch;che	NONE	UNASSIGNED
os	ROOT_MENTION	2	2	2	2	1	f100v.13;f88v.13	cheosdy;chos	ch;che	NONE	UNASSIGNED
otaly	DARK	2	2	2	2	1	f88r.6;f99v.6	otaly	NONE	NONE	UNASSIGNED
otaly	LEAF_MENTION	2	2	2	2	1	f88r.6;f99v.6	otaly	NONE	NONE	UNASSIGNED
otaly	ROOT_MENTION	2	2	2	2	1	f88r.6;f99v.6	otaly	NONE	NONE	UNASSIGNED
otoky	DARK	2	2	2	2	1	f88r.5;f99v.9	otoky	NONE	NONE	UNASSIGNED
