edition	page	physical_folio	star_ordinal_left	star_ordinal_right	left_locus	right_locus	boundary_class	left_groups	right_groups
ZL3b	f104r	f104	1	1	f104r.1	f104r.2	WITHIN_RECORD	10	14
ZL3b	f104r	f104	1	1	f104r.2	f104r.3	WITHIN_RECORD	14	13
ZL3b	f104r	f104	1	1	f104r.3	f104r.4	WITHIN_RECORD	13	8
ZL3b	f104r	f104	2	2	f104r.5	f104r.6	WITHIN_RECORD	12	12
ZL3b	f104r	f104	2	2	f104r.6	f104r.7	WITHIN_RECORD	12	11
ZL3b	f104r	f104	2	2	f104r.7	f104r.8	WITHIN_RECORD	11	12
ZL3b	f104r	f104	2	2	f104r.8	f104r.9	WITHIN_RECORD	12	5
ZL3b	f104r	f104	3	3	f104r.10	f104r.11	WITHIN_RECORD	12	8
ZL3b	f104r	f104	4	4	f104r.12	f104r.13	WITHIN_RECORD	11	10
ZL3b	f104r	f104	4	4	f104r.13	f104r.14	WITHIN_RECORD	10	10
ZL3b	f104r	f104	4	4	f104r.14	f104r.15	WITHIN_RECORD	10	8
ZL3b	f104r	f104	5	5	f104r.16	f104r.17	WITHIN_RECORD	10	10
ZL3b	f104r	f104	5	5	f104r.17	f104r.18	WITHIN_RECORD	10	6
ZL3b	f104r	f104	6	6	f104r.19	f104r.20	WITHIN_RECORD	12	12
ZL3b	f104r	f104	6	6	f104r.20	f104r.21	WITHIN_RECORD	12	5
ZL3b	f104r	f104	7	7	f104r.22	f104r.23	WITHIN_RECORD	12	13
ZL3b	f104r	f104	7	7	f104r.23	f104r.24	WITHIN_RECORD	13	10
ZL3b	f104r	f104	7	7	f104r.24	f104r.25	WITHIN_RECORD	10	11
ZL3b	f104r	f104	7	7	f104r.25	f104r.26	WITHIN_RECORD	11	4
ZL3b	f104r	f104	8	8	f104r.27	f104r.28	WITHIN_RECORD	11	15
ZL3b	f104r	f104	8	8	f104r.28	f104r.29	WITHIN_RECORD	15	8
ZL3b	f104r	f104	9	9	f104r.30	f104r.31	WITHIN_RECORD	11	10
ZL3b	f104r	f104	9	9	f104r.31	f104r.32	WITHIN_RECORD	10	11
ZL3b	f104r	f104	9	9	f104r.32	f104r.33	WITHIN_RECORD	11	10
ZL3b	f104r	f104	10	10	f104r.34	f104r.35	WITHIN_RECORD	11	8
ZL3b	f104r	f104	11	11	f104r.36	f104r.37	WITHIN_RECORD	10	10
ZL3b	f104r	f104	11	11	f104r.37	f104r.38	WITHIN_RECORD	10	5
ZL3b	f104r	f104	12	12	f104r.39	f104r.40	WITHIN_RECORD	11	11
ZL3b	f104r	f104	12	12	f104r.40	f104r.41	WITHIN_RECORD	11	10
ZL3b	f104r	f104	12	12	f104r.41	f104r.42	WITHIN_RECORD	10	3
ZL3b	f104r	f104	13	13	f104r.43	f104r.44	WITHIN_RECORD	11	10
ZL3b	f104r	f104	13	13	f104r.44	f104r.45	WITHIN_RECORD	10	11
ZL3b	f104v	f104	1	1	f104v.1	f104v.2	WITHIN_RECORD	12	10
ZL3b	f104v	f104	1	1	f104v.2	f104v.3	WITHIN_RECORD	10	12
ZL3b	f104v	f104	1	1	f104v.3	f104v.4	WITHIN_RECORD	12	11
ZL3b	f104v	f104	1	1	f104v.4	f104v.5	WITHIN_RECORD	11	6
ZL3b	f104v	f104	2	2	f104v.6	f104v.7	WITHIN_RECORD	13	13
ZL3b	f104v	f104	3	3	f104v.8	f104v.9	WITHIN_RECORD	12	12
ZL3b	f104v	f104	3	3	f104v.9	f104v.10	WITHIN_RECORD	12	11
ZL3b	f104v	f104	3	3	f104v.10	f104v.11	WITHIN_RECORD	11	9
ZL3b	f104v	f104	4	4	f104v.12	f104v.13	WITHIN_RECORD	13	11
ZL3b	f104v	f104	4	4	f104v.13	f104v.14	WITHIN_RECORD	11	7
ZL3b	f104v	f104	5	5	f104v.15	f104v.16	WITHIN_RECORD	11	12
ZL3b	f104v	f104	5	5	f104v.16	f104v.17	WITHIN_RECORD	12	12
ZL3b	f104v	f104	5	5	f104v.17	f104v.18	WITHIN_RECORD	12	7
ZL3b	f104v	f104	6	6	f104v.19	f104v.20	WITHIN_RECORD	13	12
ZL3b	f104v	f104	6	6	f104v.20	f104v.21	WITHIN_RECORD	12	6
ZL3b	f104v	f104	7	7	f104v.22	f104v.23	WITHIN_RECORD	12	11
ZL3b	f104v	f104	7	7	f104v.23	f104v.24	WITHIN_RECORD	11	11
ZL3b	f104v	f104	7	7	f104v.24	f104v.25	WITHIN_RECORD	11	12
ZL3b	f104v	f104	7	7	f104v.25	f104v.26	WITHIN_RECORD	12	5
ZL3b	f104v	f104	8	8	f104v.27	f104v.28	WITHIN_RECORD	13	9
ZL3b	f104v	f104	9	9	f104v.29	f104v.30	WITHIN_RECORD	13	13
ZL3b	f104v	f104	9	9	f104v.30	f104v.31	WITHIN_RECORD	13	9
ZL3b	f104v	f104	10	10	f104v.32	f104v.33	WITHIN_RECORD	14	15
ZL3b	f104v	f104	10	10	f104v.33	f104v.34	WITHIN_RECORD	15	8
ZL3b	f104v	f104	11	11	f104v.35	f104v.36	WITHIN_RECORD	10	6
ZL3b	f104v	f104	12	12	f104v.37	f104v.38	WITHIN_RECORD	13	13
ZL3b	f104v	f104	12	12	f104v.38	f104v.39	WITHIN_RECORD	13	17
ZL3b	f104v	f104	12	12	f104v.39	f104v.40	WITHIN_RECORD	17	7
ZL3b	f104v	f104	13	13	f104v.41	f104v.42	WITHIN_RECORD	11	11
ZL3b	f104v	f104	13	13	f104v.42	f104v.43	WITHIN_RECORD	11	11
ZL3b	f104v	f104	13	13	f104v.43	f104v.44	WITHIN_RECORD	11	8
ZL3b	f105r	f105	1	1	f105r.1	f105r.2	WITHIN_RECORD	11	13
ZL3b	f105r	f105	1	1	f105r.2	f105r.3	WITHIN_RECORD	13	12
ZL3b	f105r	f105	1	1	f105r.3	f105r.4	WITHIN_RECORD	12	11
ZL3b	f105r	f105	1	1	f105r.4	f105r.5	WITHIN_RECORD	11	9
ZL3b	f105r	f105	2	2	f105r.6	f105r.7	WITHIN_RECORD	10	10
ZL3b	f105r	f105	2	2	f105r.7	f105r.8	WITHIN_RECORD	10	11
ZL3b	f105r	f105	2	2	f105r.8	f105r.9	WITHIN_RECORD	11	4
ZL3b	f105r	f105	2	2	f105r.9	f105r.10	WITHIN_RECORD	4	4
ZL3b	f105r	f105	3	3	f105r.11	f105r.12	WITHIN_RECORD	12	12
ZL3b	f105r	f105	3	3	f105r.12	f105r.13	WITHIN_RECORD	12	10
ZL3b	f105r	f105	4	4	f105r.14	f105r.15	WITHIN_RECORD	12	12
ZL3b	f105r	f105	4	4	f105r.15	f105r.16	WITHIN_RECORD	12	7
ZL3b	f105r	f105	5	5	f105r.17	f105r.18	WITHIN_RECORD	11	12
ZL3b	f105r	f105	5	5	f105r.18	f105r.19	WITHIN_RECORD	12	11
ZL3b	f105r	f105	5	5	f105r.19	f105r.20	WITHIN_RECORD	11	14
ZL3b	f105r	f105	5	5	f105r.20	f105r.21	WITHIN_RECORD	14	11
ZL3b	f105r	f105	5	5	f105r.21	f105r.22	WITHIN_RECORD	11	12
ZL3b	f105r	f105	5	5	f105r.22	f105r.23	WITHIN_RECORD	12	4
ZL3b	f105r	f105	6	6	f105r.24	f105r.25	WITHIN_RECORD	13	6
ZL3b	f105r	f105	7	7	f105r.26	f105r.27	WITHIN_RECORD	12	7
ZL3b	f105r	f105	8	8	f105r.28	f105r.29	WITHIN_RECORD	11	12
ZL3b	f105r	f105	8	8	f105r.29	f105r.30	WITHIN_RECORD	12	10
ZL3b	f105r	f105	9	9	f105r.31	f105r.32	WITHIN_RECORD	13	11
ZL3b	f105r	f105	9	9	f105r.32	f105r.33	WITHIN_RECORD	11	11
ZL3b	f105r	f105	9	9	f105r.33	f105r.34	WITHIN_RECORD	11	11
ZL3b	f105r	f105	10	10	f105r.35	f105r.36	WITHIN_RECORD	12	11
ZL3b	f105r	f105	10	10	f105r.36	f105r.37	WITHIN_RECORD	11	4
ZL3b	f105v	f105	1	1	f105v.1	f105v.2	WITHIN_RECORD	9	12
ZL3b	f105v	f105	1	1	f105v.2	f105v.3	WITHIN_RECORD	12	11
ZL3b	f105v	f105	1	1	f105v.3	f105v.4	WITHIN_RECORD	11	8
ZL3b	f105v	f105	2	2	f105v.5	f105v.6	WITHIN_RECORD	10	13
ZL3b	f105v	f105	2	2	f105v.6	f105v.7	WITHIN_RECORD	13	7
ZL3b	f105v	f105	3	3	f105v.8	f105v.9	WITHIN_RECORD	11	14
ZL3b	f105v	f105	3	3	f105v.9	f105v.10	WITHIN_RECORD	14	16
ZL3b	f105v	f105	3	3	f105v.10	f105v.11	WITHIN_RECORD	16	12
ZL3b	f105v	f105	3	3	f105v.11	f105v.12	WITHIN_RECORD	12	12
ZL3b	f105v	f105	3	3	f105v.12	f105v.13	WITHIN_RECORD	12	8
ZL3b	f105v	f105	4	4	f105v.14	f105v.15	WITHIN_RECORD	10	13
ZL3b	f105v	f105	4	4	f105v.15	f105v.16	WITHIN_RECORD	13	12
ZL3b	f105v	f105	4	4	f105v.16	f105v.17	WITHIN_RECORD	12	10
ZL3b	f105v	f105	5	5	f105v.18	f105v.19	WITHIN_RECORD	10	11
ZL3b	f105v	f105	6	6	f105v.20	f105v.21	WITHIN_RECORD	11	11
ZL3b	f105v	f105	6	6	f105v.21	f105v.22	WITHIN_RECORD	11	6
ZL3b	f105v	f105	7	7	f105v.23	f105v.24	WITHIN_RECORD	10	8
ZL3b	f105v	f105	8	8	f105v.25	f105v.26	WITHIN_RECORD	11	12
ZL3b	f105v	f105	8	8	f105v.26	f105v.27	WITHIN_RECORD	12	11
ZL3b	f105v	f105	8	8	f105v.27	f105v.28	WITHIN_RECORD	11	6
ZL3b	f105v	f105	9	9	f105v.29	f105v.30	WITHIN_RECORD	11	12
ZL3b	f105v	f105	9	9	f105v.30	f105v.31	WITHIN_RECORD	12	9
ZL3b	f105v	f105	10	10	f105v.32	f105v.33	WITHIN_RECORD	10	13
ZL3b	f105v	f105	10	10	f105v.33	f105v.34	WITHIN_RECORD	13	10
