counterexample_type	item	evidence	impact
LOW_OR_NEGATIVE_EXTERNAL_TRANSFER	L3:P3:k>s	base -0.628972; section +0.000000; hand +0.000000	Repeated one-character relation does not guarantee an external-context operator.
LOW_OR_NEGATIVE_EXTERNAL_TRANSFER	L3:P3:e>o	base -0.625569; section -0.245724; hand -0.245724	Repeated one-character relation does not guarantee an external-context operator.
LOW_OR_NEGATIVE_EXTERNAL_TRANSFER	L3:P3:k>o	base -0.540520; section +0.000000; hand +0.000000	Repeated one-character relation does not guarantee an external-context operator.
LOW_OR_NEGATIVE_EXTERNAL_TRANSFER	L3:P3:d>s	base -0.366011; section -0.432599; hand -0.449905	Repeated one-character relation does not guarantee an external-context operator.
LOW_OR_NEGATIVE_EXTERNAL_TRANSFER	L2:P1:e>o	base -0.331070; section -0.339707; hand -0.349565	Repeated one-character relation does not guarantee an external-context operator.
LOW_OR_NEGATIVE_EXTERNAL_TRANSFER	L3:P2:k>p	base -0.324075; section +0.000000; hand +0.000000	Repeated one-character relation does not guarantee an external-context operator.
LOW_OR_NEGATIVE_EXTERNAL_TRANSFER	L2:P2:k>r	base -0.302440; section -0.402710; hand -0.377966	Repeated one-character relation does not guarantee an external-context operator.
LOW_OR_NEGATIVE_EXTERNAL_TRANSFER	L3:P3:d>k	base -0.275627; section +0.114102; hand +0.114102	Repeated one-character relation does not guarantee an external-context operator.
LOW_OR_NEGATIVE_EXTERNAL_TRANSFER	L3:P2:l>r	base -0.258596; section -0.447479; hand -0.467280	Repeated one-character relation does not guarantee an external-context operator.
LOW_OR_NEGATIVE_EXTERNAL_TRANSFER	L2:P2:k>l	base -0.255336; section +0.000000; hand +0.000000	Repeated one-character relation does not guarantee an external-context operator.
LOW_OR_NEGATIVE_EXTERNAL_TRANSFER	L2:P2:k>s	base -0.235248; section -0.332736; hand -0.201779	Repeated one-character relation does not guarantee an external-context operator.
LOW_OR_NEGATIVE_EXTERNAL_TRANSFER	L2:P1:a>l	base -0.233837; section +0.000000; hand +0.000000	Repeated one-character relation does not guarantee an external-context operator.
LOW_OR_NEGATIVE_EXTERNAL_TRANSFER	L3:P1:e>y	base -0.227718; section -0.226574; hand -0.226574	Repeated one-character relation does not guarantee an external-context operator.
LOW_OR_NEGATIVE_EXTERNAL_TRANSFER	L2:P2:o>y	base -0.217822; section -0.204140; hand -0.087526	Repeated one-character relation does not guarantee an external-context operator.
LOW_OR_NEGATIVE_EXTERNAL_TRANSFER	L3:P2:k>t	base -0.198293; section -0.192027; hand -0.200053	Repeated one-character relation does not guarantee an external-context operator.
GDT163_TOP_OPERATION_COLLAPSE	L3:P3:a>y	external base/section/hand gains -0.168375/-0.581220/-0.555184	GDT163's strongest B3-linked operation does not transfer to parser-independent context.
LOCAL_MAXT_WITHOUT_REGISTER_TRANSFER	L3:P1:l>p	base gain +0.338923, maxT p 0.024390, held-section predictions 0, held-hand predictions 0	The isolated post-ranked lead has no section- or hand-excluded capacity and cannot rescue the negative aggregate.
EXACT_IDENTITY_BASELINE	EXACT_PAIR_OTHER_STRATA	held-base gain -0.236192	Exact pair identity is separate and may remain more predictive than substitution class.
HASHED_NEIGHBOR_IDENTITY	SHA256_BUCKET32	External neighbor identities are compressed to fixed 32-way hashes.	This controls target dimension but can hide or create collision-level detail.
GDT003_STRING_CEILING	GDT003	Nested paradigm prediction did not beat strong character/string baselines.	External context transfer alone is not established linguistic morphology.
