locus	page	physical_folio	register	group_index	group_count	token	normalized_line_position	normalized_field_index	normalized_within_field_position	after_dy	source_codes	source_member_count	terminal_member	group_initial_q2	internal_a1q2	contains_q2	contains_a1	q2_predecessors
f1r.21	f1r	f1	T|A	1	2	otol	0	0.5	0	0	A1 Q2 A1 B2	4	B2	0	1	1	1	A1:1
f10r.2	f10r	f10	H|A	4	10	chty	0.333333333333	0.5	0.333333333333	0	K1 Q2 A2	3	A2	0	0	1	0	K1:1
f10r.2	f10r	f10	H|A	7	10	otytchol	0.666666666667	0.5	0.666666666667	0	A1 Q2 A2 Q2 K1 A1 B2	7	B2	0	1	1	1	A1:1;A2:1
f10r.2	f10r	f10	H|A	10	10	etyd	1	0.5	1	0	J1 Q2 A2 B1	4	B1	0	0	1	0	J1:1
f10r.5	f10r	f10	H|A	2	4	qotchol	0.333333333333	0.5	0.333333333333	0	D1 A1 Q2 K1 A1 B2	6	B2	0	1	1	1	A1:1
f10r.6	f10r	f10	H|A	8	9	taiin	0.875	0.5	0.875	0	Q2 A3 G1	3	G1	1	0	1	0	NONE
f10r.8	f10r	f10	H|A	1	8	qotchor	0	0.5	0	0	D1 A1 Q2 K1 A1 C1	6	C1	0	1	1	1	A1:1
f10r.8	f10r	f10	H|A	3	8	otol	0.285714285714	0.5	0.285714285714	0	A1 Q2 A1 B2	4	B2	0	1	1	1	A1:1
f10v.1	f10v	f10	H|A	5	9	qoty	0.5	0	0.571428571429	0	D1 A1 Q2 A2	4	A2	0	1	1	1	A1:1
f10v.1	f10v	f10	H|A	8	9	otydy	0.875	0	1	0	A1 Q2 A2 B1 A2	5	A2	0	1	1	1	A1:1
f10v.2	f10v	f10	H|A	6	9	qot	0.625	0.5	0.625	0	D1 A1 Q2	3	Q2	0	1	1	1	A1:1
f100r.27	f100r	f100	P|A	5	5	otolchey	1	1	0.5	1	A1 Q2 A1 B2 K1 J1 A2	7	A2	0	1	1	1	A1:1
f102r1.3	f102r1	f102	P|A	3	7	qoteol	0.333333333333	0.5	0.333333333333	0	D1 A1 Q2 J1 A1 B2	6	B2	0	1	1	1	A1:1
f102r1.3	f102r1	f102	P|A	5	7	oteeor	0.666666666667	0.5	0.666666666667	0	A1 Q2 K2 A1 C1	5	C1	0	1	1	1	A1:1
f102r1.5	f102r1	f102	P|A	1	10	ytol	0	0.5	0	0	A2 Q2 A1 B2	4	B2	0	0	1	1	A2:1
f102r1.8	f102r1	f102	P|A	6	8	oteol	0.714285714286	0.5	0.714285714286	0	A1 Q2 J1 A1 B2	5	B2	0	1	1	1	A1:1
f102r1.8	f102r1	f102	P|A	7	8	qoteol	0.857142857143	0.5	0.857142857143	0	D1 A1 Q2 J1 A1 B2	6	B2	0	1	1	1	A1:1
f102v2.39	f102v2	f102	P|A	1	4	yotaiin	0	0.5	0	0	A2 A1 Q2 A3 G1	5	G1	0	1	1	1	A1:1
f103r.12	f103r	f103	S|B	4	9	oteey	0.375	0	0.6	0	A1 Q2 K2 A2	4	A2	0	1	1	1	A1:1
f103r.21	f103r	f103	S|B	4	12	otal	0.272727272727	0.25	0.25	0	A1 Q2 A3 B2	4	B2	0	1	1	1	A1:1
