locus	page	physical_folio	register	group_index	group_count	token	residual_host	field_index	field_count	position_in_field	field_length	normalized_field_index	normalized_within_field_position	field_start	after_dy
f100r.25	f100r	f100	P|A	1	10	sheor	eor	1	2	1	2	0	0	1	0
f100r.25	f100r	f100	P|A	3	10	chol	ol	2	2	1	8	1	0	1	1
f100r.25	f100r	f100	P|A	4	10	daiin	aiin	2	2	2	8	1	0.142857142857	0	0
f100r.25	f100r	f100	P|A	8	10	cheol	ol	2	2	6	8	1	0.714285714286	0	0
f100r.27	f100r	f100	P|A	1	5	chol	ol	1	2	1	4	0	0	1	0
f100r.27	f100r	f100	P|A	2	5	cheol	ol	1	2	2	4	0	0.333333333333	0	0
f100v.21	f100v	f100	P|A	3	10	ol	ol	1	1	3	10	0.5	0.222222222222	0	0
f100v.21	f100v	f100	P|A	4	10	choy	oy	1	1	4	10	0.5	0.333333333333	0	0
f100v.21	f100v	f100	P|A	8	10	cheeeal	eeal	1	1	8	10	0.5	0.777777777778	0	0
f100v.22	f100v	f100	P|A	1	3	daiin	aiin	1	1	1	3	0.5	0	1	0
f102r1.11	f102r1	f102	P|A	1	8	dcheo	cheo	1	2	1	5	0	0	1	0
f102r1.11	f102r1	f102	P|A	3	8	sol	ol	1	2	3	5	0	0.5	0	0
f102r1.11	f102r1	f102	P|A	4	8	sheey	eey	1	2	4	5	0	0.75	0	0
f102r1.3	f102r1	f102	P|A	3	7	qoteol	oteol	1	1	3	7	0.5	0.333333333333	0	0
f102r1.3	f102r1	f102	P|A	5	7	oteeor	oteeor	1	1	5	7	0.5	0.666666666667	0	0
f102r1.5	f102r1	f102	P|A	2	10	sheol	eol	1	1	2	10	0.5	0.111111111111	0	0
f102r1.5	f102r1	f102	P|A	3	10	she	e	1	1	3	10	0.5	0.222222222222	0	0
f102r1.5	f102r1	f102	P|A	4	10	olaiin	olaiin	1	1	4	10	0.5	0.333333333333	0	0
f102r1.5	f102r1	f102	P|A	7	10	chol	ol	1	1	7	10	0.5	0.666666666667	0	0
f102r1.5	f102r1	f102	P|A	10	10	dain	ain	1	1	10	10	0.5	1	0	0
f102r1.6	f102r1	f102	P|A	1	4	daiin	aiin	1	2	1	3	0	0	1	0
f102r1.6	f102r1	f102	P|A	3	4	oldy	ol	1	2	3	3	0	1	0	0
f102r1.8	f102r1	f102	P|A	5	8	daiin	aiin	1	1	5	8	0.5	0.571428571429	0	0
f102r1.8	f102r1	f102	P|A	6	8	oteol	oteol	1	1	6	8	0.5	0.714285714286	0	0
f102r1.8	f102r1	f102	P|A	7	8	qoteol	oteol	1	1	7	8	0.5	0.857142857143	0	0
f102v1.24	f102v1	f102	P|A	3	4	qoor	oor	1	1	3	4	0.5	0.666666666667	0	0
f102v1.24	f102v1	f102	P|A	4	4	cheol	ol	1	1	4	4	0.5	1	0	0
f102v2.39	f102v2	f102	P|A	2	4	cheor	or	1	1	2	4	0.5	0.333333333333	0	0
f103r.12	f103r	f103	S|B	1	9	oain	oain	1	2	1	6	0	0	1	0
f103r.12	f103r	f103	S|B	4	9	oteey	oteey	1	2	4	6	0	0.6	0	0
f103r.12	f103r	f103	S|B	8	9	aiin	aiin	2	2	2	3	1	0.5	0	0
f103r.12	f103r	f103	S|B	9	9	otedy	ote	2	2	3	3	1	1	0	0
f103r.23	f103r	f103	S|B	1	5	daiin	aiin	1	2	1	3	0	0	1	0
f103r.23	f103r	f103	S|B	5	5	shol	ol	2	2	2	2	1	1	0	0
f103r.24	f103r	f103	S|B	3	12	shedy	e	1	3	3	3	0	1	0	0
f103r.24	f103r	f103	S|B	5	12	oty	oty	2	3	2	3	0.5	0.5	0	0
