base_host	hb_c0d0	hb_c0d1	hb_c1d0	hb_c1d1	hb_double_folios	sb_c0d0	sb_c0d1	sb_c1d0	sb_c1d1	sb_double_folios	ha_c0d0	ha_c0d1	ha_c1d0	ha_c1d1	ha_double_folios	ob_c0d0	ob_c0d1	ob_c1d0	ob_c1d1	ob_double_folios	all_double_occurrences
aiin	29	31	2	6	4	136	59	11	17	5	39	234	29	0	0	84	91	1	4	2	27
ar	29	16	4	1	1	75	16	24	19	9	9	30	19	0	0	44	44	19	10	5	30
al	7	6	0	2	2	57	11	23	13	7	13	26	4	0	0	41	78	17	7	6	22
ain	4	8	0	1	1	35	24	6	10	7	2	36	11	1	1	27	29	2	3	3	15
am	2	4	2	4	3	9	4	3	4	2	0	12	7	0	0	2	7	3	0	0	8
or	34	2	8	1	1	34	2	15	5	3	47	24	140	0	0	73	9	34	1	1	7
ol	26	1	13	0	0	64	4	69	2	1	44	23	203	0	0	268	26	86	2	2	4
aly	3	2	0	1	1	2	0	0	1	1	0	2	0	0	0	1	8	3	0	0	2
o	10	2	19	1	1	13	1	53	1	1	24	7	113	0	0	11	0	34	0	0	2
acphy	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1
aiiin	2	1	0	0	0	6	1	1	1	1	1	4	0	0	0	11	3	0	0	0	1
alal	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	2	1	0	0	0	1
alky	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	1
ch	3	3	0	1	1	3	0	1	0	0	1	0	0	0	0	4	2	0	0	0	1
e	5	0	13	0	0	4	0	73	1	1	0	0	6	0	0	11	1	176	0	0	1
eey	0	0	3	0	0	2	0	29	1	1	1	2	13	0	0	5	0	32	0	0	1
odaiin	5	0	1	0	0	15	0	14	1	1	18	0	30	0	0	9	0	5	0	0	1
pchy	0	0	0	0	0	0	0	1	1	1	1	2	0	0	0	1	0	0	0	0	1
ykche	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	2	0	0	0	0	1
ysh	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ytey	2	0	0	0	0	0	0	0	1	1	2	0	0	0	0	2	1	0	0	0	1
air	4	1	0	0	0	21	17	0	0	0	1	13	1	0	0	9	11	0	1	1	1
chey	2	0	0	0	0	0	1	1	0	0	6	4	0	0	0	3	3	0	1	1	1
chy	1	0	0	0	0	0	0	3	0	0	10	10	0	0	0	2	1	0	1	1	1
