core	global_rank	rank_score	classification	formal_function_hint	ha_count	ha_folios	ha_wrapper_forms	ha_states	hb_count	hb_folios	hb_wrapper_forms	hb_states	sb_count	sb_folios	sb_wrapper_forms	sb_states	ob_count	ob_folios	ob_wrapper_forms	ob_states	sa_count	sa_folios	sa_wrapper_forms	sa_states	other_count	other_folios	other_wrapper_forms	other_states	target_wrapper_variety	target_wrappers
daiin	6	7.187287926	B_S_REGISTER_CANDIDATE	PREDOMINANT_CARRIER_STATE	1	1	t:1	ENTRY_STATE:1	6	4	ch:4;che:1;sh:1	CARRIER_STATE:6	17	5	che:10;ch:7	CARRIER_STATE:17	4	2	che:4	CARRIER_STATE:4	0	0			0	0			3	ch;che;sh
opch	9	7.056046051	B_S_REGISTER_CANDIDATE	PREDOMINANT_CLOSURE_HOST	0	0			3	3	NONE:2;q:1	DY_RESOLUTION:3	9	7	NONE:4;q:4;ch:1	DY_RESOLUTION:9	3	3	NONE:2;q:1	DY_RESOLUTION:3	0	0			0	0			3	NONE;ch;q
dy	13	6.826041044	GENERIC_CURRIER_B_NOT_BS_SPECIFIC	PREDOMINANT_CARRIER_STATE	3	3	ch:1;d:1;sh:1	CARRIER_STATE:2;ENTRY_STATE:1	65	15	ch:33;che:25;sh:7	CARRIER_STATE:65	127	12	che:99;ch:22;sh:6	CARRIER_STATE:126;DY_RESOLUTION:1	158	13	che:130;ch:22;sh:6	CARRIER_STATE:158	1	1	ch:1	CARRIER_STATE:1	2	1	ch:1;che:1	CARRIER_STATE:2	3	ch;che;sh
otch	17	6.701067742	B_S_REGISTER_CANDIDATE	PREDOMINANT_CLOSURE_HOST	0	0			7	6	NONE:3;q:3;sh:1	DY_RESOLUTION:7	10	7	NONE:5;q:4;ch:1	DY_RESOLUTION:10	6	4	NONE:3;q:3	DY_RESOLUTION:6	0	0			0	0			4	NONE;ch;q;sh
okair	19	6.688880583	B_S_ENRICHED_HAND_CONFOUNDED	MIXED_NONCLOSURE_HOST_CANDIDATE	0	0			3	3	NONE:3	OTHER:3	7	5	q:5;NONE:2	Q_OUTER_STATE:5;OTHER:2	2	2	NONE:1;q:1	OTHER:1;Q_OUTER_STATE:1	3	1	NONE:2;q:1	OTHER:2;Q_OUTER_STATE:1	0	0			2	NONE;q
che	29	6.013838597	GENERIC_CURRIER_B_NOT_BS_SPECIFIC	PREDOMINANT_CLOSURE_HOST	0	0			5	5	t:3;d:2	DY_RESOLUTION:5	18	8	t:9;d:8;s:1	DY_RESOLUTION:18	24	11	t:12;d:7;s:5	DY_RESOLUTION:24	0	0			0	0			3	d;s;t
ote	30	5.999238289	GENERIC_CURRIER_B_NOT_BS_SPECIFIC	PREDOMINANT_CLOSURE_HOST	0	0			12	6	NONE:9;q:3	DY_RESOLUTION:12	38	12	NONE:29;q:8;ch:1	DY_RESOLUTION:38	57	12	NONE:32;q:25	DY_RESOLUTION:57	0	0			0	0			3	NONE;ch;q
otar	36	5.750316334	A_RARE_BS_SHARED_WEAK_SPECIFICITY	PREDOMINANT_OT_AR_LOCAL	5	5	NONE:2;ch:2;che:1	OT_AR_LOCAL:5	15	7	NONE:11;q:4	OT_AR_LOCAL:15	44	11	NONE:26;q:15;ch:3	OT_AR_LOCAL:44	35	11	NONE:21;q:14	OT_AR_LOCAL:35	2	1	NONE:2	OT_AR_LOCAL:2	1	1	NONE:1	OT_AR_LOCAL:1	3	NONE;ch;q
oke	38	5.739585851	GENERIC_CURRIER_B_NOT_BS_SPECIFIC	PREDOMINANT_CLOSURE_HOST	0	0			30	13	q:17;NONE:13	DY_RESOLUTION:30	56	12	q:39;NONE:13;ch:2;che:1;s:1	DY_RESOLUTION:56	145	12	q:115;NONE:29;d:1	DY_RESOLUTION:145	0	0			0	0			5	NONE;ch;che;q;s
okam	52	5.299786051	B_S_REGISTER_CANDIDATE	MIXED_NONCLOSURE_HOST_CANDIDATE	1	1	q:1	Q_OUTER_STATE:1	6	6	NONE:5;q:1	OTHER:5;Q_OUTER_STATE:1	10	8	q:6;NONE:3;ch:1	Q_OUTER_STATE:5;OTHER:3;CARRIER_STATE:1;DY_RESOLUTION:1	6	4	q:5;NONE:1	Q_OUTER_STATE:5;OTHER:1	0	0			1	1	che:1	CARRIER_STATE:1	3	NONE;ch;q
