page_host	raw_token	surface_sha256	renderer_tuple	events	folios	sections	hands	registers	first	middle	last	preferred_physical_role	role_likelihood_ratio	lofo_gain_bits	lofo_gain_bits_per_event	powered_section_hand_strata	positive_role_strata	classification
a	dam	2fcb6465ee5cbfa3567355b4f7abe6f03ea08e9283de9c834d1297b1df2c6288	d|NONE|0|NONE|0|1	20	19	5	3	5	0	6	14	LAST	1.129870129870	1.211610418188	0.060580520909	6	4	WEAK
a	otam	df5cfbe36d5a4d7be3305eadfa54b87811431361c7d6541ea2730bd60b65b7cc	NONE|OT|0|NONE|0|1	19	15	4	4	5	0	9	10	MIDDLE	1.220009955202	-0.401554831599	-0.021134464821	5	4	COUNTEREXAMPLE
aiin	aiin	055eebf60161704640e702e819cc6fdb6f989d50f5e58a5790c735048ffe33dd	NONE|NONE|0|NONE|0|0	104	40	6	4	5	0	94	10	MIDDLE	1.326053432588	27.056005654418	0.260153900523	8	8	PROVISIONAL
aiin	taiin	3a2f241e8a84cab49c1191237c702395ba33790461bb92b1c748a1d0a0b86149	t|NONE|0|NONE|0|0	16	12	4	4	5	4	11	1	FIRST	1.520116618076	-0.986953995587	-0.061684624724	6	4	COUNTEREXAMPLE
aiin	daiin	acdd663103aaa9716f1210878c0c7ba9668300c500adcd194e167724d12f4ffc	d|NONE|0|NONE|0|0	249	78	6	5	5	43	157	49	LAST	1.271989354624	0.829956724997	0.003333159538	10	6	PROVISIONAL
aiin	saiin	c68cec030c7abaaefe1e5a2e8727e4a59be564fd1482234bb4016acf7d1d3911	s|NONE|0|NONE|0|0	37	24	5	4	5	24	10	3	FIRST	3.761904761905	27.794998169421	0.751216166741	7	7	STABLE_POSITIONAL_ALTERNANT
aiin	chaiin	d7d59a11a1e90592c36c6ec7c367da6d8d7d0542a37f9b9d67a24512493ad274	ch|NONE|0|NONE|0|0	20	15	2	3	4	0	16	4	LAST	1.347286821705	2.456434548450	0.122821727422	4	2	PROVISIONAL
ain	dain	635ff8d0a885e09e1a14895284ac64ee38e529006474a5dd43553f96ea87387e	d|NONE|0|NONE|0|0	50	32	5	4	5	14	27	9	LAST	1.022947925861	-1.930645336185	-0.038612906724	6	1	COUNTEREXAMPLE
ain	chain	9414886b1ebf025db067a4cbd13a0903fbd9733a5372bba1b58bd72c1699b798	ch|NONE|0|NONE|0|0	8	8	2	2	2	0	7	1	MIDDLE	1.489419424851	1.331065616640	0.166383202080	4	4	PROVISIONAL
ain	sain	c836536ff120612abb73b3d1f483339636015cca1b018cf10f5d50a15842e876	s|NONE|0|NONE|0|0	19	13	5	3	3	9	7	3	FIRST	1.600092038656	0.447404738221	0.023547617801	6	3	PROVISIONAL
