page	physical_folio	already_used_folio	apparatus_unhedged	apparatus_hedged	figure_unhedged	figure_hedged	mixed_unhedged	mixed_hedged	clean_independent_eligible	apparatus_loci	figure_loci	mixed_loci	audit_state
f102v1	f102	0	1	0	0	0	0	0	0	f102v1.17			NOT_CLEAN_INDEPENDENT_ELIGIBLE
f57v	f57	0	0	0	4	0	0	0	0		f57v.8;f57v.7;f57v.9;f57v.6		NOT_CLEAN_INDEPENDENT_ELIGIBLE
f66r	f66	0	0	0	1	0	0	0	0		f66r.82		NOT_CLEAN_INDEPENDENT_ELIGIBLE
f70v1	f70	0	0	0	1	14	0	0	0		f70v1.16		NOT_CLEAN_INDEPENDENT_ELIGIBLE
f70v2	f70	0	0	0	1	28	0	0	0		f70v2.2		NOT_CLEAN_INDEPENDENT_ELIGIBLE
f71r	f71	0	0	0	0	15	0	0	0				NOT_CLEAN_INDEPENDENT_ELIGIBLE
f71v	f71	0	0	0	0	15	0	0	0				NOT_CLEAN_INDEPENDENT_ELIGIBLE
f72r1	f72	0	0	0	0	15	0	0	0				NOT_CLEAN_INDEPENDENT_ELIGIBLE
f72r2	f72	0	0	0	2	27	0	0	0		f72r2.7;f72r2.23		NOT_CLEAN_INDEPENDENT_ELIGIBLE
f72r3	f72	0	0	0	0	30	0	0	0				NOT_CLEAN_INDEPENDENT_ELIGIBLE
f72v1	f72	0	0	0	0	30	0	0	0				NOT_CLEAN_INDEPENDENT_ELIGIBLE
f72v2	f72	0	0	0	0	30	0	0	0				NOT_CLEAN_INDEPENDENT_ELIGIBLE
f72v3	f72	0	0	0	0	30	0	0	0				NOT_CLEAN_INDEPENDENT_ELIGIBLE
f73r	f73	0	0	0	0	30	0	0	0				NOT_CLEAN_INDEPENDENT_ELIGIBLE
f73v	f73	0	0	0	0	30	0	0	0				NOT_CLEAN_INDEPENDENT_ELIGIBLE
f75v	f75	0	0	6	0	0	20	1	0			f75v.18;f75v.19;f75v.20;f75v.21;f75v.22;f75v.23;f75v.24;f75v.25;f75v.26;f75v.27;f75v.28;f75v.29;f75v.30;f75v.31;f75v.32;f75v.33;f75v.34;f75v.35;f75v.36;f75v.37;f75v.50	NOT_CLEAN_INDEPENDENT_ELIGIBLE
f77r	f77	1	6	0	4	0	0	0	0	f77r.2;f77r.3;f77r.4;f77r.5;f77r.6;f77r.7	f77r.1;f77r.8;f77r.49;f77r.50		ALREADY_USED_PHYSICAL_FOLIO
f77v	f77	1	1	0	1	1	2	3	0	f77v.45	f77v.44	f77v.2;f77v.4;f77v.1;f77v.3;f77v.5	ALREADY_USED_PHYSICAL_FOLIO
f78r	f78	0	3	1	0	0	0	0	0	f78r.44;f78r.45;f78r.47			NOT_CLEAN_INDEPENDENT_ELIGIBLE
f80r	f80	0	0	0	9	0	1	0	0		f80r.1;f80r.2;f80r.3;f80r.4;f80r.5;f80r.7;f80r.8;f80r.9;f80r.10	f80r.6	NOT_CLEAN_INDEPENDENT_ELIGIBLE
f81v	f81	0	1	0	0	0	0	0	0	f81v.28			NOT_CLEAN_INDEPENDENT_ELIGIBLE
f82r	f82	1	3	0	8	1	1	0	0	f82r.10;f82r.35;f82r.38	f82r.34;f82r.37;f82r.40;f82r.41;f82r.42;f82r.43;f82r.44;f82r.45	f82r.36	ALREADY_USED_PHYSICAL_FOLIO
f82v	f82	1	0	0	5	1	6	2	0		f82v.1;f82v.2;f82v.40;f82v.39;f82v.46	f82v.3;f82v.42;f82v.43;f82v.47;f82v.48;f82v.45;f82v.41;f82v.44	ALREADY_USED_PHYSICAL_FOLIO
f83r	f83	0	0	0	2	0	0	2	0		f83r.50;f83r.51	f83r.45;f83r.46	NOT_CLEAN_INDEPENDENT_ELIGIBLE
f83v	f83	0	0	0	1	1	0	2	0		f83v.10	f83v.34;f83v.35	NOT_CLEAN_INDEPENDENT_ELIGIBLE
f85v2	f85	0	1	0	0	0	0	0	0	fRos.17			NOT_CLEAN_INDEPENDENT_ELIGIBLE
