type	panel	item	representation	gain_bits	detail
TOP_TOKEN_LEAD	THP	veronica	RAW_CHAR3	5.0387432152	POSTSELECTED_NOISY_IDENTIFICATION_TOKEN
TOP_TOKEN_LEAD	THP	cucumber	PAGE_HOST_CHAR3	2.49250964504	POSTSELECTED_NOISY_IDENTIFICATION_TOKEN
TOP_TOKEN_LEAD	ELV	scabiosa	PAGE_HOST_CHAR3	2.44306693767	POSTSELECTED_NOISY_IDENTIFICATION_TOKEN
TOP_TOKEN_LEAD	ELV	scabiosa	PAGE_HOST_IDENTITY	2.27576082585	POSTSELECTED_NOISY_IDENTIFICATION_TOKEN
TOP_TOKEN_LEAD	ELV	geranium	PAGE_HOST_CHAR3	2.13990599812	POSTSELECTED_NOISY_IDENTIFICATION_TOKEN
TOP_TOKEN_LEAD	THP	veronica	PAGE_HOST_CHAR3	1.95513718309	POSTSELECTED_NOISY_IDENTIFICATION_TOKEN
TOP_TOKEN_LEAD	THP	veronica	COMPILER_SIGNATURE	1.74519090546	POSTSELECTED_NOISY_IDENTIFICATION_TOKEN
TOP_TOKEN_LEAD	ELV	aristolochia	COMPILER_SIGNATURE	1.65915474759	POSTSELECTED_NOISY_IDENTIFICATION_TOKEN
TOP_TOKEN_LEAD	ELV	geranium	PAGE_HOST_IDENTITY	1.43303739594	POSTSELECTED_NOISY_IDENTIFICATION_TOKEN
TOP_TOKEN_LEAD	THP	arum	RAW_CHAR3	1.25406646958	POSTSELECTED_NOISY_IDENTIFICATION_TOKEN
WORST_HELD_FOLIO	THP	f90	RAW_CHAR3	-1.67131689671	HELD_FOLIO_COUNTEREXAMPLE
WORST_HELD_FOLIO	THP	f90	PAGE_HOST_CHAR3	-1.42663331899	HELD_FOLIO_COUNTEREXAMPLE
WORST_HELD_FOLIO	THP	f90	COMPILER_SIGNATURE	-1.4098907173	HELD_FOLIO_COUNTEREXAMPLE
WORST_HELD_FOLIO	ELV	f34	COMPILER_SIGNATURE	-1.38937881096	HELD_FOLIO_COUNTEREXAMPLE
WORST_HELD_FOLIO	ELV	f34	RAW_CHAR3	-1.38259031816	HELD_FOLIO_COUNTEREXAMPLE
WORST_HELD_FOLIO	THP	f10	PAGE_HOST_CHAR3	-1.38132495002	HELD_FOLIO_COUNTEREXAMPLE
WORST_HELD_FOLIO	THP	f90	PAGE_HOST_IDENTITY	-1.27068212476	HELD_FOLIO_COUNTEREXAMPLE
WORST_HELD_FOLIO	THP	f21	RAW_CHAR3	-1.25400131331	HELD_FOLIO_COUNTEREXAMPLE
WORST_HELD_FOLIO	THP	f21	PAGE_HOST_CHAR3	-1.22206561617	HELD_FOLIO_COUNTEREXAMPLE
WORST_HELD_FOLIO	THP	f10	COMPILER_SIGNATURE	-1.21178197088	HELD_FOLIO_COUNTEREXAMPLE
WORST_HELD_FOLIO	ELV	f16	COMPILER_SIGNATURE	-1.20253947879	HELD_FOLIO_COUNTEREXAMPLE
WORST_HELD_FOLIO	ELV	f56	COMPILER_SIGNATURE	-1.19996005948	HELD_FOLIO_COUNTEREXAMPLE
SOURCE_DISAGREEMENT	ELV_VS_THP	SHARED_THREE_TOKEN_SENSITIVITY	ALL	SEE_CROSS_SOURCE	ELV and ThP are noisy nonindependent proposal systems; cross-source transfer is a sensitivity, not replication.
ABSENCE_CAVEAT	ALL	ZERO_ENDPOINT	ALL	NA	A zero means another head token was proposed, not botanical exclusion.
ALTERNATE_READING_SCOPE	ALL	GDT062_HPR2_VIEW	ALL	NA	One derived source-display view; no alternate-reading replication.
CROSS_SOURCE_NONTRANSFER	ELV	polygonum|primula|scabiosa	PAGE_HOST_CHAR3	-1.47694701247	Training on the other tentative-identification source does not reproduce the within-ELV PAGE_HOST lead.
CROSS_SOURCE_NONTRANSFER	THP	polygonum|primula|scabiosa	PAGE_HOST_CHAR3	-0.933031373969	Training on the other tentative-identification source does not reproduce the within-ELV PAGE_HOST lead.
