locus	surface	parse	reading_state	interpretive_gloss	status	counterparse
f103r.12	otedy	[O:local-frame][TE:internal-grade][DY:closure]	ALL_THREE_EXACT	unmarked framed value, default/closed state	REPRESENTATIVE_PROVISIONAL_PARSE	[OT:marked-frame][E:core][DY]
f103r.15	qotedy	[Q:outer-scope][O][TE][DY]	ALL_THREE_EXACT	same framed value under dependent/current scope	REPRESENTATIVE_PROVISIONAL_PARSE	[Q][OT][E][DY]
f103r.16	oteedy	[O][TEE:expanded-grade][DY]	ALL_THREE_EXACT	expanded internal grade with the same closure	REPRESENTATIVE_PROVISIONAL_PARSE	[OT][EE][DY]
f103r.45	qoteedy	[Q][O][TEE][DY]	ALL_THREE_EXACT	scoped expanded-grade counterpart	REPRESENTATIVE_PROVISIONAL_PARSE	[Q][OT][EE][DY]
f82r.35	darol	[D:active-mode][AR:relation][OL:reference]	ALL_THREE_EXACT	active relational-reference record	VISUALLY_FLOW_ADJACENT_BUT_NOT_FLOW_WORD	[DAR:right-state][OL]
f83r.51	darolsy	[D][AR][OL][SY:secondary-status]	ALL_THREE_EXACT	active relational-reference with marked secondary status	PROVISIONAL_LABEL_PARSE	[DAR][OL][SY]
f83r.50	saroldal	[S:state-mode][AR][OL][DAL:result-setting]	IT2a_RF1b;ZL3b=sasoldal	state/reference counterpart with alternate result setting	READING_SENSITIVE_PROVISIONAL_PARSE	ZL3b [S][AS][OL][DAL]
f75v.32	daldy	[DAL:result-setting][DY:closure]	ALL_THREE_EXACT	stock setting-plus-closure formula	REPEATED_LABEL_FORM_NOT_OBJECT_NAME	[D][AL][DY]
f75v.22	daldy	[DAL][DY]	ZL3b_RF1b;IT2a=dal	second stock-form occurrence with reading-sensitive closure	REPEATED_LABEL_READING_SENSITIVE	IT2a [DAL]
f99v.8	arol	[AR][OL]	ALL_THREE_EXACT	bare relational-reference compound	PLANT_LABEL_COUNTEREXAMPLE_TO_FLOW_MEANING	opaque AROL remains possible
f102v2.14	sarol	[S][AR][OL]	ALL_THREE_EXACT	state/reference rendering of the same compound	PLANT_LABEL_COUNTEREXAMPLE_TO_FLOW_MEANING	[SAR][OL]
f80v.41	ar | ol / arol	[AR] <BOUNDARY_RENDERER> [OL]	MANUAL_SPLIT_JOIN_ANALOGY	one latent compound with expanded or contracted serialization	BOUNDARY_VARIANT	two collocated independent fields
f100r.25	cheol	[CHE:explicit-value-carrier][OL:value]	ALL_THREE_EXACT	explicit reference/value field	CARRIER_PARSE	opaque CHEOL remains possible
