counterexample_type	item	evidence	impact
NEGATIVE_REGISTER_CODEBOOK	HERBAL_A:WINDOW_PM2	gain=-1830.099048; positive=0/47	Register conditioning does not produce positive exact-host held codelength.
NEGATIVE_REGISTER_CODEBOOK	HERBAL_A:WHOLE_LINE	gain=-1639.910199; positive=0/47	Register conditioning does not produce positive exact-host held codelength.
NEGATIVE_REGISTER_CODEBOOK	HERBAL_B:WINDOW_PM2	gain=-401.411103; positive=0/16	Register conditioning does not produce positive exact-host held codelength.
NEGATIVE_REGISTER_CODEBOOK	HERBAL_B:WHOLE_LINE	gain=-344.228130; positive=0/16	Register conditioning does not produce positive exact-host held codelength.
NEGATIVE_REGISTER_CODEBOOK	STARS_RECIPE_B:WINDOW_PM2	gain=-2026.586905; positive=0/12	Register conditioning does not produce positive exact-host held codelength.
NEGATIVE_REGISTER_CODEBOOK	STARS_RECIPE_B:WHOLE_LINE	gain=-1784.427857; positive=0/12	Register conditioning does not produce positive exact-host held codelength.
NEGATIVE_REGISTER_CODEBOOK	PHARMA_A:WINDOW_PM2	gain=-135.132358; positive=0/6	Register conditioning does not produce positive exact-host held codelength.
NEGATIVE_REGISTER_CODEBOOK	PHARMA_A:WHOLE_LINE	gain=-135.715454; positive=0/6	Register conditioning does not produce positive exact-host held codelength.
NEGATIVE_REGISTER_CODEBOOK	BIOLOGICAL_B:WINDOW_PM2	gain=-1255.605620; positive=0/9	Register conditioning does not produce positive exact-host held codelength.
NEGATIVE_REGISTER_CODEBOOK	BIOLOGICAL_B:WHOLE_LINE	gain=-1001.245697; positive=0/9	Register conditioning does not produce positive exact-host held codelength.
NONPOSITIVE_CROSS_REGISTER_ALIGNMENT	HERBAL_A<->HERBAL_B	mean correlation=-0.010175	Marginal structural mapping does not preserve held co-occurrence geometry.
NONPOSITIVE_CROSS_REGISTER_ALIGNMENT	HERBAL_A<->STARS_RECIPE_B	mean correlation=-0.041075	Marginal structural mapping does not preserve held co-occurrence geometry.
NONPOSITIVE_CROSS_REGISTER_ALIGNMENT	HERBAL_A<->PHARMA_A	mean correlation=-0.094698	Marginal structural mapping does not preserve held co-occurrence geometry.
NONPOSITIVE_CROSS_REGISTER_ALIGNMENT	HERBAL_A<->BIOLOGICAL_B	mean correlation=-0.026552	Marginal structural mapping does not preserve held co-occurrence geometry.
NONPOSITIVE_CROSS_REGISTER_ALIGNMENT	HERBAL_B<->PHARMA_A	mean correlation=-0.045630	Marginal structural mapping does not preserve held co-occurrence geometry.
NONPOSITIVE_CROSS_REGISTER_ALIGNMENT	HERBAL_B<->BIOLOGICAL_B	mean correlation=-0.054625	Marginal structural mapping does not preserve held co-occurrence geometry.
NONPOSITIVE_CROSS_REGISTER_ALIGNMENT	STARS_RECIPE_B<->BIOLOGICAL_B	mean correlation=-0.030845	Marginal structural mapping does not preserve held co-occurrence geometry.
NONPOSITIVE_CROSS_REGISTER_ALIGNMENT	PHARMA_A<->BIOLOGICAL_B	mean correlation=-0.019094	Marginal structural mapping does not preserve held co-occurrence geometry.
