language	seed	pack_consonant_letters	pack_lines	physical_lines	events	active_source_signs	payload_bits	mapping_key_bits	language_selector_bits	common_overhead_bits	paid_total_bits	matched_null_total_bits	gap_vs_matched_kt_bits	gap_per_event	descent_passes	all_eligible_swaps_locally_optimal	omitted_consonant	mapping	mapping_hash
latin	19301	634586	9023	2430	60023	20	251873.288033037767	65.469701343685	2.584962500721	6.000000000000	251947.342696882173	128743.344900293756	123203.997796588417	2.052613128244	22	1	j	a=q|c=r|d=v|e=s|f=x|g=k|h=n|i=h|k=c|l=d|m=y|n=g|o=l|p=p|q=z|r=m|s=f|t=b|x=w|y=t	87c6a38225a91d5685b6e54614b5af70008ec5190a49d0c5c3d3a025bec58586
latin	19302	634586	9023	2430	60023	20	250617.317133399134	65.469701343685	2.584962500721	6.000000000000	250691.371797243541	128743.344900293756	121948.026896949785	2.031688301100	26	1	k	a=c|c=p|d=q|e=t|f=f|g=z|h=l|i=h|k=d|l=n|m=j|n=g|o=r|p=x|q=w|r=s|s=v|t=b|x=y|y=m	3451edacb47f3d1e4dadeed58dd6a10529d71acd291945f10aee48d8ac8237b9
latin	19303	634586	9023	2430	60023	20	230166.711756258330	65.469701343685	2.584962500721	6.000000000000	230240.766420102736	128743.344900293756	101497.421519808981	1.690975484728	21	1	k	a=l|c=p|d=b|e=t|f=f|g=q|h=r|i=z|k=s|l=d|m=j|n=x|o=n|p=h|q=y|r=c|s=v|t=g|x=w|y=m	02dececa96ea38da7cd5bc55191261d7f1f445ee7fb5526b8b972dab91926ea7
middle_high_german	19301	5993872	57459	2430	60023	20	233232.359956245287	65.469701343685	2.584962500721	6.000000000000	233306.414620089694	128743.344900293756	104563.069719795938	1.742050042814	15	1	q	a=v|c=g|d=d|e=h|f=p|g=f|h=r|i=z|k=c|l=l|m=x|n=k|o=s|p=w|q=y|r=m|s=b|t=t|x=j|y=n	7c5f31b75838f6b3efa12baf5ec873d5f209852ba6380bbdb2cf92170d4bccd8
middle_high_german	19302	5993872	57459	2430	60023	20	230575.916542583465	65.469701343685	2.584962500721	6.000000000000	230649.971206427872	128743.344900293756	101906.626306134116	1.697792951138	12	1	q	a=d|c=g|d=z|e=t|f=f|g=k|h=l|i=x|k=h|l=s|m=y|n=j|o=r|p=v|q=b|r=m|s=c|t=w|x=p|y=n	3ec2a49829124f2c9880d4b37aa156c5163234c3986bdf3b40bae4340940bc4d
middle_high_german	19303	5993872	57459	2430	60023	20	230649.799223625771	65.469701343685	2.584962500721	6.000000000000	230723.853887470177	128743.344900293756	101980.508987176421	1.699023857308	15	1	q	a=v|c=h|d=z|e=r|f=w|g=k|h=t|i=f|k=p|l=m|m=j|n=d|o=s|p=c|q=y|r=l|s=g|t=b|x=x|y=n	ff79587086e0232e53de723fa06e57ab848c09dc1e9eadc4ca84d60888ad7033
middle_french	19301	257262	5968	2430	60023	20	250093.266172497271	65.469701343685	2.584962500721	6.000000000000	250167.320836341678	128743.344900293756	121423.975936047922	2.022957465239	16	1	w	a=v|c=r|d=y|e=n|f=h|g=x|h=g|i=j|k=m|l=l|m=k|n=f|o=d|p=b|q=q|r=z|s=c|t=t|x=p|y=s	9fd45aa37b97a234cba9420f3fdb7d20759cb39cd5e77674e9d4a494ee2e2cea
middle_french	19302	257262	5968	2430	60023	20	246249.918498452171	65.469701343685	2.584962500721	6.000000000000	246323.973162296577	128743.344900293756	117580.628262002821	1.958926215984	17	1	k	a=d|c=m|d=y|e=s|f=h|g=g|h=b|i=x|k=r|l=t|m=f|n=j|o=p|p=v|q=q|r=l|s=z|t=c|x=w|y=n	be45ea2900b26beff7c607b8869712fcb78e19ce83f1cd29b8f159aa365bdda1
middle_french	19303	257262	5968	2430	60023	20	233707.691739823320	65.469701343685	2.584962500721	6.000000000000	233781.746403667727	128743.344900293756	105038.401503373971	1.749969203528	20	1	w	a=v|c=p|d=q|e=n|f=h|g=f|h=r|i=l|k=s|l=c|m=k|n=z|o=d|p=x|q=j|r=y|s=g|t=m|x=b|y=t	976f2bcbb4b36f61c6d2cd25a150df64b852280f3bf770288794159979d48d5d
old_italian_tuscan	19301	216400	3419	2430	60023	20	222698.260853457294	65.469701343685	2.584962500721	6.000000000000	222772.315517301700	128743.344900293756	94028.970617007944	1.566548999834	16	1	k	a=g|c=v|d=d|e=s|f=q|g=x|h=r|i=z|k=n|l=m|m=y|n=b|o=c|p=f|q=w|r=h|s=p|t=l|x=j|y=t	2ae9143313557436342e85289bf67f2780be2addff94c4f6f147da017a78488f
