rank	context	axis	metadata_value	events	top_next_symbols	gross_context_gain_bits
1	c h	CURRIER	A	3930	o:1814 e:972 y:579 a:261 c:96 k:64 d:40 s:36 t:35 l:9 <SPACE>:7 p:5 r:5 i:3 g:2 f:1 m:1	1954.0886213340564
1	c h	CURRIER	B	6322	e:3748 d:764 o:637 c:358 y:337 a:190 k:88 s:65 l:43 t:40 p:20 r:11 <SPACE>:10 f:4 g:3 x:3 h:1	1954.0886213340564
1	c h	CURRIER	_	867	e:377 o:233 y:101 d:42 a:35 s:22 c:13 k:12 t:9 p:7 <SPACE>:4 l:3 r:3 f:2 i:2 h:1 m:1	1954.0886213340564
2	y <SPACE>	SECTION	A	253	o:62 c:56 s:44 d:40 q:21 y:12 k:7 a:3 e:3 r:2 t:2 p:1	1545.2230519523073
2	y <SPACE>	SECTION	B	2936	q:1191 o:513 l:263 s:251 d:238 c:197 r:110 t:60 k:51 y:31 p:15 a:11 e:2 f:2 i:1	1545.2230519523073
2	y <SPACE>	SECTION	C	606	o:194 c:99 d:76 q:75 s:73 y:31 t:18 a:11 k:11 e:5 l:5 r:3 p:2 x:2 f:1	1545.2230519523073
2	y <SPACE>	SECTION	H	3547	c:818 d:574 o:557 q:479 s:392 k:267 y:177 t:149 l:33 p:26 f:21 a:18 e:16 r:13 m:4 g:1 n:1 x:1	1545.2230519523073
2	y <SPACE>	SECTION	P	659	q:144 o:138 c:133 d:103 s:68 k:26 y:19 t:6 p:5 r:5 a:4 e:4 l:4	1545.2230519523073
2	y <SPACE>	SECTION	S	4195	q:1369 o:910 c:549 l:427 s:259 d:181 r:123 k:107 t:89 y:69 a:53 p:44 f:11 e:2 i:1 m:1	1545.2230519523073
2	y <SPACE>	SECTION	T	852	q:220 o:177 c:114 d:86 s:84 l:63 y:31 k:30 t:18 a:10 p:9 r:8 f:2	1545.2230519523073
2	y <SPACE>	SECTION	Z	368	o:157 c:72 s:51 d:28 t:17 y:11 a:10 q:8 e:4 k:4 r:3 l:2 f:1	1545.2230519523073
3	h e	HAND	1	1569	o:644 y:449 e:270 a:71 k:38 s:22 t:21 <SPACE>:18 c:12 d:12 p:7 r:3 f:1 g:1	1155.6263865591245
3	h e	HAND	2	2848	d:1246 y:553 e:393 o:262 c:135 k:106 s:38 a:36 t:34 p:17 f:15 g:4 r:4 <SPACE>:4 l:1	1155.6263865591245
3	h e	HAND	3	2858	d:1001 o:547 e:514 y:482 a:95 c:68 k:67 s:34 t:22 p:13 <SPACE>:9 f:2 g:2 r:2	1155.6263865591245
3	h e	HAND	4	587	o:155 y:110 e:100 d:70 k:55 t:30 s:26 a:13 p:10 <SPACE>:6 c:4 f:4 g:2 m:1 r:1	1155.6263865591245
3	h e	HAND	5	263	d:78 o:63 y:35 k:34 e:30 t:8 f:4 s:4 p:3 c:2 g:1 <SPACE>:1	1155.6263865591245
3	h e	HAND	@	162	d:62 o:46 e:28 y:20 a:1 c:1 k:1 p:1 s:1 t:1	1155.6263865591245
4	^ ^	GRAMMAR_SCOPE	CONFIRMED_PROSE	4035	d:618 s:606 y:585 o:548 q:526 t:384 p:379 c:154 k:103 l:69 f:35 r:12 a:10 e:5 x:1	805.9213287550992
4	^ ^	GRAMMAR_SCOPE	DIAGNOSTIC_NONPROSE	1345	o:756 d:141 y:130 s:110 c:74 t:26 q:20 k:17 a:16 l:14 r:14 e:8 p:8 f:5 x:4 i:1 v:1	805.9213287550992
5	s h	CURRIER	A	1364	o:648 e:424 y:154 a:58 c:30 <SPACE>:16 k:13 d:8 t:5 s:4 l:3 f:1	616.3585830406973
5	s h	CURRIER	B	2906	e:2051 o:292 d:167 c:130 y:110 a:73 k:35 s:15 t:13 <SPACE>:7 l:6 x:4 f:1 g:1 r:1	616.3585830406973
5	s h	CURRIER	_	274	e:155 o:55 y:19 c:9 d:9 s:7 k:6 a:5 <SPACE>:4 t:2 g:1 h:1 l:1	616.3585830406973
6	e e	CURRIER	A	907	y:411 o:212 e:96 s:87 a:33 d:14 k:13 c:11 b:8 t:6 <SPACE>:5 g:4 n:4 m:1 p:1 r:1	508.36122291411994
6	e e	CURRIER	B	3786	d:1409 y:1337 o:401 e:273 s:141 k:73 a:46 c:34 t:26 <SPACE>:17 f:9 p:7 g:4 l:3 i:2 r:2 b:1 n:1	508.36122291411994
6	e e	CURRIER	_	564	y:192 o:140 s:68 d:60 e:50 a:14 c:9 k:7 t:7 g:5 l:2 m:2 p:2 <SPACE>:2 f:1 i:1 n:1 r:1	508.36122291411994
7	k e	CURRIER	A	695	e:312 o:268 y:77 a:19 c:11 s:5 d:1 g:1 k:1	460.0872396278746
7	k e	CURRIER	B	2917	e:1723 d:670 o:207 y:186 c:65 a:32 s:28 <SPACE>:2 g:1 l:1 m:1 r:1	460.0872396278746
7	k e	CURRIER	_	397	e:176 o:131 y:46 c:13 a:12 d:10 s:7 m:1 <SPACE>:1	460.0872396278746
8	o l	CURRIER	A	2107	<SPACE>:1517 d:155 s:80 y:76 o:74 c:70 a:54 k:35 e:19 t:11 f:5 g:4 r:3 p:2 m:1 q:1	413.28646283086164
8	o l	CURRIER	B	3045	<SPACE>:1561 k:537 c:255 s:147 a:129 o:106 y:99 d:82 t:52 p:21 f:19 e:17 r:10 l:8 q:1 x:1	413.28646283086164
8	o l	CURRIER	_	345	<SPACE>:167 a:50 y:36 d:19 s:17 c:15 o:13 e:10 k:9 t:5 f:2 l:1 p:1	413.28646283086164
9	r <SPACE>	HAND	1	1601	c:579 o:322 s:258 d:151 y:95 q:83 a:64 k:12 e:9 t:6 v:4 f:3 l:3 m:3 p:3 r:3 g:2 n:1	400.3928532055761
9	r <SPACE>	HAND	2	1400	o:431 a:281 s:249 c:242 q:65 y:63 d:38 k:10 l:7 t:6 e:4 f:2 p:1 r:1	400.3928532055761
9	r <SPACE>	HAND	3	1627	o:474 a:450 c:275 s:166 q:95 l:39 y:37 k:26 d:19 r:13 t:13 e:9 p:5 f:3 x:2 i:1	400.3928532055761
9	r <SPACE>	HAND	4	507	o:166 a:138 c:93 y:37 s:33 d:27 e:5 q:4 g:1 k:1 t:1 <SPACE>:1	400.3928532055761
9	r <SPACE>	HAND	5	87	o:25 c:19 a:17 s:14 y:7 d:2 f:1 h:1 q:1	400.3928532055761
9	r <SPACE>	HAND	@	87	c:27 a:20 o:19 q:8 s:7 l:2 y:2 d:1 p:1	400.3928532055761
10	<SPACE> c	CURRIER	A	2759	h:2048 t:436 k:156 p:86 f:26 o:3 s:2 c:1 y:1	392.0243623180122
10	<SPACE> c	CURRIER	B	3461	h:3324 t:51 k:35 p:35 s:8 f:7 <SPACE>:1	392.0243623180122
10	<SPACE> c	CURRIER	_	482	h:443 t:14 k:8 p:6 <SPACE>:5 s:4 e:1 y:1	392.0243623180122
11	l <SPACE>	CURRIER	A	1882	c:574 d:401 o:299 s:280 q:143 y:65 k:43 a:23 t:21 e:10 l:7 r:7 p:4 f:2 g:1 m:1 n:1	361.2944378809934
11	l <SPACE>	CURRIER	B	2932	o:648 c:594 s:450 q:268 k:246 d:204 l:183 a:110 t:78 y:57 r:52 e:14 p:14 f:9 i:2 x:2 g:1	361.2944378809934
11	l <SPACE>	CURRIER	_	392	o:109 c:95 d:56 s:45 a:37 y:25 k:9 q:7 r:4 t:2 e:1 l:1 v:1	361.2944378809934
12	o k	HAND	1	1250	e:404 c:248 o:248 a:173 y:127 s:35 <SPACE>:12 g:1 h:1 r:1	351.6537482627027
12	o k	HAND	2	2017	a:849 e:820 y:126 c:102 o:85 s:24 l:5 <SPACE>:3 d:2 i:1	351.6537482627027
12	o k	HAND	3	2180	e:987 a:842 c:155 y:73 o:68 s:30 l:7 <SPACE>:7 i:6 d:3 h:1 r:1	351.6537482627027
12	o k	HAND	4	583	e:274 a:133 o:80 c:56 y:28 s:7 l:2 <SPACE>:2 d:1	351.6537482627027
12	o k	HAND	5	134	e:73 a:29 y:12 c:8 o:5 s:3 <SPACE>:3 d:1	351.6537482627027
12	o k	HAND	@	64	e:24 c:20 a:12 y:4 o:3 l:1	351.6537482627027
