source_id	authority	manuscript	date	bibliographic_reference	url	cited_pages	retrieved_utc	retrieved_payload_sha256	use
FOXTON_ARTICLE	SCHOLARLY_ARTICLE	Trinity Cambridge R.15.21	1408	John Block Friedman, The Cipher Alphabet of John de Foxton's Liber Cosmographiae, Scriptorium 36.2 (1982), 219-235	https://www.persee.fr/doc/scrip_0036-9772_1982_num_36_2_1268	219-235	2026-08-17	ab97426a30acea859ef762e865a07e68cbaed570ab6904bcc91ddb7321aecf1c	PRIMARY_MECHANISM_SOURCE
FOXTON_P220	SCHOLARLY_ARTICLE_PAGE	Trinity Cambridge R.15.21	1408	Friedman 1982	https://www.persee.fr/doc/page/scrip_0036-9772_1982_num_36_2_1268/scrip_0036-9772_1982_num_36_2_T1_0220_0000	220	2026-08-17	9850ede37e71b74af7fe0cfa867c5ccc1eb6b8246d5786b05d9eb1f5405e4dd2	DIAGRAM_KEY_AND_SELECTIVE_CIPHER
FOXTON_P227	SCHOLARLY_ARTICLE_PAGE	comparative scientific ciphers	13th-15th centuries	Friedman 1982	https://www.persee.fr/doc/page/scrip_0036-9772_1982_num_36_2_1268/scrip_0036-9772_1982_num_36_2_T1_0227_0000	227	2026-08-17	424c81d0f2bc79ccd22cc7e8118f483895146d514f50e7c3a3544ddcb44def54	FONTANA_FULL_TEXT_COMPARATOR
FOXTON_P228	SCHOLARLY_ARTICLE_PAGE	Giovanni Fontana comparator	15th century	Friedman 1982	https://www.persee.fr/doc/page/scrip_0036-9772_1982_num_36_2_1268/scrip_0036-9772_1982_num_36_2_T1_0228_0000	228	2026-08-17	412cd65b63bdb77328758a0fee0a181daa51e71831a0ecc49b8425622ca52ea6	FULL_TEXT_AND_ABBREVIATION_COMPARATOR
FOXTON_P231	SCHOLARLY_ARTICLE_PAGE	Trinity Cambridge R.15.21	1408	Friedman 1982	https://www.persee.fr/doc/page/scrip_0036-9772_1982_num_36_2_1268/scrip_0036-9772_1982_num_36_2_T1_0231_0000	231	2026-08-17	dd4e3b0744cffeb2e6840b58eeefcbf187ea44b7b0eb9997cdd816af95203247	SCRIBES_AND_CIPHER_KEY
FOXTON_P232	SCHOLARLY_ARTICLE_PAGE	Trinity Cambridge R.15.21	1408	Friedman 1982	https://www.persee.fr/doc/page/scrip_0036-9772_1982_num_36_2_1268/scrip_0036-9772_1982_num_36_2_T1_0232_0000	232	2026-08-17	f4f1b8d4c6e70df297a7a1f87f5d93b51bdfefbd6dfde8d3e9b1d0f3e413d347	ABBREVIATION_AND_CIPHERED_WORD_COUNTS
FOXTON_P233	SCHOLARLY_ARTICLE_PAGE	Trinity Cambridge R.15.21	1408	Friedman 1982	https://www.persee.fr/doc/page/scrip_0036-9772_1982_num_36_2_1268/scrip_0036-9772_1982_num_36_2_T1_0233_0000	233	2026-08-17	c821334759329677ed2a4de3ca2535006c70ad8f2117fca2380fe7f14923e71f	OMITTED_HEADWORD_AND_PARTIAL_CIPHER
FOXTON_P234	SCHOLARLY_ARTICLE_PAGE	Trinity Cambridge R.15.21	1408	Friedman 1982	https://www.persee.fr/doc/page/scrip_0036-9772_1982_num_36_2_1268/scrip_0036-9772_1982_num_36_2_T1_0234_0000	234	2026-08-17	c882c3238c592edb2fce169afe03d7a25942a624d29248fc0fd12c90003368b5	CIPHERED_RUBRICS
TRINITY_CATALOGUE	OFFICIAL_MANUSCRIPT_CATALOGUE	Trinity Cambridge R.15.21	1408	The James Catalogue of Western Manuscripts, R.15.21	https://mss-cat.trin.cam.ac.uk/Manuscript/R.15.21	catalogue record	2026-08-17	981278dcb8a1ad1b44767350c2ddcc1f3db39311cc40f7b402231f321a858fcf	DATE_LANGUAGE_CONTENT_PROVENANCE
BYRHTFERTH_OGHAM	SCHOLARLY_PROJECT_ACCOUNT	Oxford St John's College MS 17 f7v	early 12th century	Deborah Hayden, Byrhtferth's Ogam Signature, OG(H)AM project (2023)	https://ogham.glasgow.ac.uk/index.php/2023/01/18/byrhtferths-ogam-signature-and-oxford-st-johns-college-ms-17/	web article	2026-08-17	6518e029f4afe9f525c7f8628a21b26b8dd0f20b845e600fa63a44436c8bfd95	COMPUTUS_DIAGRAM_CRYPTIC_WRITING_COMPARATOR
