host	register	physical_folios	wrappers	different_wrapper_pairs	same_wrapper_pairs	different_wrapper_mean_similarity	same_wrapper_mean_similarity	matched_control_mean_similarity	different_minus_control	different_minus_same	same_wrapper_available
okalol	OTHER_B	2	2	1	0	0.40234375	0	0.218834512101	0.183509237899	0	0
ocphy	HERBAL_A	2	2	1	0	0.285714285714	0	0.156925651486	0.128788634228	0	0
ty	STARS_RECIPE_B	2	3	2	0	0.362369337979	0	0.238126851426	0.124242486553	0	0
alche	OTHER_B	2	3	2	0	0.403338945006	0	0.289568207082	0.113770737924	0	0
oltee	OTHER_B	3	2	2	1	0.361830357143	0.395189003436	0.266905625992	0.0949247311514	-0.0333586462936	1
ols	OTHER_B	4	2	3	3	0.330484371353	0.248649148375	0.247142687361	0.0833416839923	0.0818352229786	1
cthey	OTHER_B	4	4	8	1	0.339485015504	0.372013651877	0.261548025876	0.0779369896274	-0.0325286363735	1
eeol	HERBAL_A	2	2	1	0	0.208333333333	0	0.131496192009	0.0768371413246	0	0
kee	OTHER_B	7	2	7	20	0.365295601434	0.32264516665	0.29062665488	0.0746689465544	0.0426504347838	1
ypchy	HERBAL_A	2	2	1	0	0.2	0	0.126575875535	0.0734241244651	0	0
aror	STARS_RECIPE_B	2	2	1	0	0.33836858006	0	0.265468171258	0.0729004088026	0	0
cphey	OTHER_B	3	2	3	2	0.356547588224	0.392952870226	0.286772465426	0.0697751227979	-0.0364052820014	1
otey	OTHER_A	3	2	2	1	0.217942583732	0.0810810810811	0.148691269326	0.0692513144063	0.136861502651	1
okshey	HERBAL_B	2	2	1	0	0.231578947368	0	0.164517713577	0.0670612337917	0	0
oek	HERBAL_A	2	2	1	0	0.195652173913	0	0.129037924802	0.0666142491107	0	0
eed	OTHER_B	3	2	2	1	0.400430587931	0.352601156069	0.334797414572	0.0656331733589	0.0478294318612	1
eda	STARS_RECIPE_B	2	2	2	0	0.361073435381	0	0.299770467414	0.0613029679672	0	0
olcheol	OTHER_B	2	3	2	0	0.385620915033	0	0.324432115462	0.0611887995709	0	0
ockhey	OTHER_B	2	3	2	0	0.411149825784	0	0.352818143681	0.0583316821026	0	0
chos	HERBAL_A	2	3	2	1	0.139754185209	0.0743801652893	0.0823271979437	0.057426987265	0.0653740199195	1
cphy	HERBAL_A	6	3	16	10	0.218701350314	0.184059412738	0.163115700558	0.055585649756	0.0346419375765	1
okchey	HERBAL_B	2	2	1	0	0.216494845361	0	0.161314964158	0.0551798812031	0	0
t	STARS_RECIPE_B	4	3	5	1	0.320829727779	0.303135888502	0.267485137116	0.0533445906636	0.0176938392777	1
ched	OTHER_B	2	2	1	0	0.409722222222	0	0.358183728281	0.0515384939408	0	0
ytch	HERBAL_B	3	2	2	1	0.154166666667	0.078125	0.102895655799	0.0512710108672	0.0760416666667	1
ety	STARS_RECIPE_B	3	3	3	0	0.309869467081	0	0.258769032848	0.051100434233	0	0
air	HERBAL_B	4	3	7	2	0.186230170749	0.17818986569	0.135545326132	0.0506848446168	0.00804030505923	1
ockhy	OTHER_B	2	2	1	0	0.400673400673	0	0.35063723729	0.0500361633838	0	0
cthor	HERBAL_A	19	2	23	200	0.209030661307	0.17858082817	0.159229951905	0.049800709402	0.0304498331374	1
olo	OTHER_B	2	2	1	0	0.384057971014	0	0.33440831744	0.0496496535747	0	0
okeo	STARS_RECIPE_B	6	2	5	10	0.317404264533	0.244573055298	0.268593555664	0.0488107088684	0.0728312092351	1
okey	STARS_RECIPE_B	6	4	67	33	0.319962538355	0.321316223958	0.271775922645	0.0481866157101	-0.00135368560326	1
lshe	OTHER_B	8	2	9	43	0.33213290172	0.307376916111	0.284171318829	0.047961582891	0.0247559856089	1
e	OTHER_B	13	6	200	200	0.271824730274	0.266479707545	0.22390768188	0.047917048394	0.00534502272922	1
ld	OTHER_B	3	2	2	1	0.291490962365	0.208955223881	0.243987959471	0.0475030028939	0.082535738484	1
otcheol	HERBAL_A	2	2	1	1	0.232558139535	0.209090909091	0.185111576832	0.0474465627028	0.023467230444	1
kchey	HERBAL_A	4	2	3	6	0.218903318903	0.198970890221	0.17307372426	0.0458295946438	0.0199324286824	1
an	STARS_RECIPE_B	2	2	1	0	0.364161849711	0	0.318480429625	0.0456814200864	0	0
l	OTHER_B	13	8	200	200	0.266148302683	0.263109325293	0.220672979826	0.0454753228565	0.00303897738919	1
olkeey	OTHER_A	2	2	1	1	0.172248803828	0.164705882353	0.127368500637	0.0448803031905	0.00754292147481	1
r	OTHER_B	11	3	25	88	0.304284503059	0.273091214569	0.259790127505	0.0444943755541	0.0311932884896	1
ckhey	OTHER_B	5	2	8	6	0.263307314445	0.267811118714	0.219170692771	0.0441366216741	-0.00450380426889	1
ty	OTHER_B	4	2	3	6	0.314744603446	0.260919776151	0.271694550038	0.0430500534076	0.0538248272954	1
eety	OTHER_B	4	2	4	5	0.365999447169	0.341685750165	0.323096545308	0.0429029018612	0.0243136970046	1
oka	HERBAL_B	6	2	5	10	0.221787250597	0.147983472654	0.179139977903	0.0426472726934	0.0738037779421	1
okshy	STARS_RECIPE_B	2	2	1	1	0.289085545723	0.289085545723	0.247706242146	0.041379303577	0	1
olsheey	OTHER_B	2	2	1	0	0.399267399267	0	0.357898079602	0.0413693196651	0	0
olshy	STARS_RECIPE_B	2	2	1	0	0.349253731343	0	0.308054758686	0.0411989726571	0	0
ke	OTHER_B	6	2	5	20	0.294843832106	0.254878093813	0.25404124434	0.0408025877658	0.0399657382929	1
okshor	HERBAL_A	2	2	1	0	0.152777777778	0	0.112340166864	0.0404376109134	0	0
ety	OTHER_B	4	3	5	1	0.352032386406	0.262839879154	0.311811026858	0.0402213595474	0.0891925072517	1
cheol	OTHER_B	4	2	4	2	0.275822855072	0.228592924159	0.235871283563	0.0399515715086	0.0472299309132	1
aly	STARS_RECIPE_B	3	3	3	0	0.308006547259	0	0.268212076242	0.0397944710172	0	0
e	OTHER_A	5	3	10	9	0.158203769591	0.12400075331	0.118629946954	0.0395738226368	0.0342030162808	1
oked	OTHER_B	5	2	8	10	0.351947998756	0.402098762656	0.312440575143	0.0395074236135	-0.0501507638996	1
okol	HERBAL_B	4	2	9	8	0.23330234865	0.228318178739	0.193814949952	0.0394873986979	0.00498416991131	1
s	OTHER_B	10	4	70	43	0.313204679207	0.290625411762	0.275302881961	0.0379017972463	0.0225792674455	1
cthe	OTHER_B	3	4	6	1	0.249629285007	0.192192192192	0.212002011103	0.0376272739032	0.0574370928145	1
okshy	HERBAL_A	3	2	2	1	0.168310463122	0.126436781609	0.130855806676	0.0374546564457	0.0418736815126	1
alkee	STARS_RECIPE_B	2	2	1	0	0.337531486146	0	0.300484481632	0.0370470045141	0	0
ka	OTHER_B	3	2	2	1	0.301429426733	0.324742268041	0.26449114536	0.0369382813724	-0.0233128413087	1
aly	HERBAL_B	4	3	10	3	0.21604449767	0.195094054834	0.179860993841	0.0361835038291	0.0209504428356	1
aly	OTHER_B	6	4	18	14	0.327199703333	0.300027402861	0.291418223797	0.0357814795359	0.0271723004716	1
ek	STARS_RECIPE_B	3	2	2	3	0.300027521253	0.239615751725	0.264762184683	0.0352653365691	0.0604117695273	1
okche	HERBAL_B	2	2	1	0	0.190476190476	0	0.15557385396	0.0349023365158	0	0
chor	STARS_RECIPE_B	2	3	2	0	0.297518131499	0	0.262697703113	0.0348204283865	0	0
pchy	HERBAL_A	3	2	2	1	0.161824461601	0.181818181818	0.127149246892	0.0346752147093	-0.0199937202172	1
ykee	OTHER_B	7	2	6	21	0.292888430202	0.265859710185	0.258394960098	0.0344934701038	0.0270287200165	1
ky	OTHER_B	8	2	19	24	0.315523201682	0.2956290971	0.281047727512	0.0344754741703	0.0198941045814	1
oly	OTHER_B	9	5	80	43	0.320757884211	0.308346098806	0.286375630577	0.0343822536346	0.0124117854057	1
s	OTHER_A	4	2	4	9	0.149158697321	0.135173739188	0.114962410521	0.0341962867996	0.013984958133	1
pch	HERBAL_B	2	2	1	0	0.202247191011	0	0.168452593589	0.0337945974217	0	0
olche	OTHER_B	9	3	105	69	0.327942831281	0.330292992747	0.294270452931	0.0336723783499	-0.00235016146605	1
okee	HERBAL_A	2	2	1	0	0.169230769231	0	0.135978789168	0.0332519800626	0	0
eeey	HERBAL_A	4	4	6	0	0.192370742039	0	0.159710843721	0.0326598983181	0	0
k	HERBAL_B	9	4	142	67	0.19606845859	0.190504607965	0.163720264878	0.0323481937124	0.00556385062513	1
kaiiin	STARS_RECIPE_B	2	2	1	0	0.344262295082	0	0.312024020307	0.0322382747751	0	0
a	HERBAL_B	8	3	48	24	0.21967749691	0.209383531166	0.187476616971	0.0322008799396	0.010293965744	1
ekey	OTHER_A	3	3	6	2	0.123992908564	0.0480253734397	0.0926702852283	0.031322623336	0.0759675351246	1
olshy	OTHER_B	2	2	1	0	0.323717948718	0	0.29267717319	0.0310407755281	0	0
ypche	STARS_RECIPE_B	3	2	3	2	0.300828648085	0.243746650948	0.269838860777	0.0309897873079	0.0570819971361	1
a	OTHER_A	3	3	5	3	0.167093159652	0.170700589455	0.136203788928	0.0308893707237	-0.00360742980302	1
lchd	STARS_RECIPE_B	3	4	5	0	0.305679935818	0	0.274945937052	0.0307339987656	0	0
oiiin	OTHER_B	4	2	4	2	0.334621682695	0.332849189058	0.304336199936	0.0302854827585	0.00177249363626	1
olke	OTHER_B	9	2	9	35	0.325517370118	0.301629793047	0.295345838191	0.0301715319275	0.0238875770708	1
ory	OTHER_A	3	2	2	1	0.187184343434	0.15652173913	0.15718319777	0.0300011456648	0.0306626043039	1
k	HERBAL_A	14	3	65	39	0.203203878389	0.217898586297	0.173268159332	0.0299357190571	-0.0146947079077	1
otshol	HERBAL_A	2	2	1	0	0.208955223881	0	0.179042765809	0.0299124580717	0	0
olch	STARS_RECIPE_B	3	2	2	3	0.287837890134	0.265795802878	0.258336815274	0.0295010748593	0.0220420872556	1
kee	STARS_RECIPE_B	7	3	16	34	0.294534179173	0.275376392158	0.26522202346	0.0293121557131	0.0191577870146	1
che	HERBAL_A	4	3	5	1	0.176935919295	0.108695652174	0.147718584453	0.0292173348423	0.0682402671213	1
olo	HERBAL_A	5	4	12	2	0.191464998836	0.179386688669	0.162564499876	0.0289004989595	0.0120783101669	1
opcho	HERBAL_A	2	2	1	0	0.135135135135	0	0.10651024943	0.0286248857051	0	0
ckhe	OTHER_B	6	3	24	16	0.293732634101	0.288063748139	0.265403341917	0.0283292921833	0.00566888596114	1
ockh	STARS_RECIPE_B	2	2	1	0	0.318181818182	0	0.289866654029	0.0283151641525	0	0
ara	HERBAL_B	3	2	2	1	0.226785714286	0.168539325843	0.198507091139	0.0282786231466	0.058246388443	1
