evaluation	representation	renderer_control	scope	boundaries	dy_boundaries	right_events	base_bits	dy_bits	renderer_bits	renderer_dy_bits	dy_gain_vs_base	renderer_gain_vs_base	residual_dy_gain_vs_renderer	renderer_gain_vs_dy	residual_dy_gain_per_event
LEAVE_FOLIO_OUT	PAGE_HOST	WRAPPER	ALL	7409	1298	29206	60734.4623217	59972.2918355	54526.9755737	54944.1525583	762.170486197	6207.48674798	-417.176984652	5028.13927713	-0.0142839479782
LEAVE_FOLIO_OUT	PAGE_HOST	WRAPPER	HERBAL_A	2070	68	8452	17744.3557372	17468.2623684	16191.299782	16278.7830446	276.093368811	1553.05595522	-87.4832626714	1189.47932373	-0.0103505989909
LEAVE_FOLIO_OUT	PAGE_HOST	WRAPPER	HERBAL_B	640	147	2341	5138.68597154	5107.524509	4686.69569399	4727.79765504	31.1614625365	451.990277546	-41.1019610473	379.726853962	-0.0175574374401
LEAVE_FOLIO_OUT	PAGE_HOST	WRAPPER	OTHER_A	386	34	1617	3417.71311002	3368.68373281	3161.0302974	3179.53980238	49.0293772072	256.682812624	-18.5095049829	189.143930434	-0.0114468181713
LEAVE_FOLIO_OUT	PAGE_HOST	WRAPPER	OTHER_B	2146	587	8203	16511.1178189	16273.9586312	14280.5750412	14384.8261613	237.159187623	2230.54277771	-104.251120125	1889.13246996	-0.0127089016367
LEAVE_FOLIO_OUT	PAGE_HOST	WRAPPER	STARS_RECIPE_B	2167	462	8593	17922.5896841	17753.8625941	16207.3747592	16373.205895	168.727090018	1715.21492488	-165.831135824	1380.65669904	-0.0192983982106
LEAVE_REGISTER_OUT	PAGE_HOST	WRAPPER	ALL	7409	1298	29206	63912.8120584	63194.3968149	58533.3114991	59333.5405373	718.415243505	5379.50055927	-800.229038131	3860.85627763	-0.0273994740167
LEAVE_REGISTER_OUT	PAGE_HOST	WRAPPER	HERBAL_A	2070	68	8452	19540.5078838	19311.3260807	18492.5383433	18795.8668894	229.181803127	1047.96954048	-303.328546072	515.459191286	-0.0358883750677
LEAVE_REGISTER_OUT	PAGE_HOST	WRAPPER	HERBAL_B	640	147	2341	5181.7407172	5172.6503774	4768.23858113	4831.35155227	9.09033980206	413.502136063	-63.1129711343	341.298825127	-0.0269598338891
LEAVE_REGISTER_OUT	PAGE_HOST	WRAPPER	OTHER_A	386	34	1617	3450.02523999	3394.2598788	3186.63725792	3206.01191446	55.7653611953	263.387982077	-19.3746565403	188.247964341	-0.011981853148
LEAVE_REGISTER_OUT	PAGE_HOST	WRAPPER	OTHER_B	2146	587	8203	17120.1581153	16862.7450109	15043.380507	15210.2810604	257.413104365	2076.7776083	-166.900553427	1652.46395051	-0.0203462822658
LEAVE_REGISTER_OUT	PAGE_HOST	WRAPPER	STARS_RECIPE_B	2167	462	8593	18620.3801021	18453.4154671	17042.5168098	17290.0291207	166.964635017	1577.86329234	-247.512310957	1163.38634637	-0.0288039463467
LEAVE_FOLIO_OUT	PAGE_HOST	WRAPPER_FRAME	ALL	7409	1298	29206	60734.4623217	59972.2918355	50797.9765417	51195.3016731	762.170486197	9936.48577994	-397.325131387	8776.99016236	-0.0136042296579
LEAVE_FOLIO_OUT	PAGE_HOST	WRAPPER_FRAME	HERBAL_A	2070	68	8452	17744.3557372	17468.2623684	15133.791883	15205.9182098	276.093368811	2610.5638542	-72.1263268687	2262.34415852	-0.00853364018797
LEAVE_FOLIO_OUT	PAGE_HOST	WRAPPER_FRAME	HERBAL_B	640	147	2341	5138.68597154	5107.524509	4437.47197067	4477.53901719	31.1614625365	701.214000863	-40.067046516	629.985491811	-0.0171153551969
LEAVE_FOLIO_OUT	PAGE_HOST	WRAPPER_FRAME	OTHER_A	386	34	1617	3417.71311002	3368.68373281	2969.03371079	2989.17340026	49.0293772072	448.679399232	-20.139689476	379.510332549	-0.0124549718467
LEAVE_FOLIO_OUT	PAGE_HOST	WRAPPER_FRAME	OTHER_B	2146	587	8203	16511.1178189	16273.9586312	13108.782074	13206.7435201	237.159187623	3402.33574488	-97.961446084	3067.21511117	-0.0119421487363
LEAVE_FOLIO_OUT	PAGE_HOST	WRAPPER_FRAME	STARS_RECIPE_B	2167	462	8593	17922.5896841	17753.8625941	15148.8969033	15315.9275258	168.727090018	2773.69278077	-167.030622442	2437.93506831	-0.0194379870176
LEAVE_REGISTER_OUT	PAGE_HOST	WRAPPER_FRAME	ALL	7409	1298	29206	63912.8120584	63194.3968149	54912.735414	55675.642804	718.415243505	9000.07664442	-762.907389971	7518.75401094	-0.0261215979583
LEAVE_REGISTER_OUT	PAGE_HOST	WRAPPER_FRAME	HERBAL_A	2070	68	8452	19540.5078838	19311.3260807	17499.3929344	17753.9600531	229.181803127	2041.11494943	-254.567118758	1557.36602755	-0.0301191574489
LEAVE_REGISTER_OUT	PAGE_HOST	WRAPPER_FRAME	HERBAL_B	640	147	2341	5181.7407172	5172.6503774	4523.43056355	4584.14594097	9.09033980206	658.310153644	-60.71537742	588.504436422	-0.0259356588723
LEAVE_REGISTER_OUT	PAGE_HOST	WRAPPER_FRAME	OTHER_A	386	34	1617	3450.02523999	3394.2598788	2994.21322498	3016.0901647	55.7653611953	455.81201501	-21.8769397147	378.1697141	-0.0135293381044
LEAVE_REGISTER_OUT	PAGE_HOST	WRAPPER_FRAME	OTHER_B	2146	587	8203	17120.1581153	16862.7450109	13894.2367721	14076.0684202	257.413104365	3225.92134316	-181.831648096	2786.6765907	-0.0221664815428
LEAVE_REGISTER_OUT	PAGE_HOST	WRAPPER_FRAME	STARS_RECIPE_B	2167	462	8593	18620.3801021	18453.4154671	16001.461919	16245.3782249	166.964635017	2618.91818317	-243.916305982	2208.03724217	-0.0283854656095
