page	locus	source_group_count	hpr2_field_count	gdt229_role_available	overlap_exact_match	coverage_state
f82r	f82r.2	8	4	1	1	HPR2_FORMAL_FIELD_SEGMENTED_NO_SEMANTIC_ROLE
f82r	f82r.3	6	2	1	1	HPR2_FORMAL_FIELD_SEGMENTED_NO_SEMANTIC_ROLE
f82r	f82r.4	8	2	1	1	HPR2_FORMAL_FIELD_SEGMENTED_NO_SEMANTIC_ROLE
f82r	f82r.5	7	3	0	NOT_APPLICABLE	HPR2_FORMAL_FIELD_SEGMENTED_NO_SEMANTIC_ROLE
f82r	f82r.6	7	2	0	NOT_APPLICABLE	HPR2_FORMAL_FIELD_SEGMENTED_NO_SEMANTIC_ROLE
f82r	f82r.7	9	4	1	1	HPR2_FORMAL_FIELD_SEGMENTED_NO_SEMANTIC_ROLE
f82r	f82r.11	8	4	0	NOT_APPLICABLE	HPR2_FORMAL_FIELD_SEGMENTED_NO_SEMANTIC_ROLE
f82r	f82r.13	7	4	0	NOT_APPLICABLE	HPR2_FORMAL_FIELD_SEGMENTED_NO_SEMANTIC_ROLE
f82r	f82r.17	7	4	0	NOT_APPLICABLE	HPR2_FORMAL_FIELD_SEGMENTED_NO_SEMANTIC_ROLE
f82r	f82r.18	7	3	0	NOT_APPLICABLE	HPR2_FORMAL_FIELD_SEGMENTED_NO_SEMANTIC_ROLE
f82r	f82r.19	5	2	1	1	HPR2_FORMAL_FIELD_SEGMENTED_NO_SEMANTIC_ROLE
f82r	f82r.20	4	2	0	NOT_APPLICABLE	HPR2_FORMAL_FIELD_SEGMENTED_NO_SEMANTIC_ROLE
f82r	f82r.21	9	2	0	NOT_APPLICABLE	HPR2_FORMAL_FIELD_SEGMENTED_NO_SEMANTIC_ROLE
f82r	f82r.23	9	3	1	1	HPR2_FORMAL_FIELD_SEGMENTED_NO_SEMANTIC_ROLE
f82r	f82r.26	9	2	1	1	HPR2_FORMAL_FIELD_SEGMENTED_NO_SEMANTIC_ROLE
f82r	f82r.27	8	7	1	1	HPR2_FORMAL_FIELD_SEGMENTED_NO_SEMANTIC_ROLE
f82r	f82r.30	1	1	0	NOT_APPLICABLE	HPR2_FORMAL_FIELD_SEGMENTED_NO_SEMANTIC_ROLE
