axis_id	visual_axis	voynich_q13_frozen	balneological_comparator	alchemical_comparator	assessment
A01	FIGURES_PARTLY_IMMERSED_IN_VISIBLE_LIQUID	YES	YES_MULTIPLE_PAGES	NO_IN_GDT209_DIRECT_IMAGES	BALNEOLOGY_SPECIFIC_LEAD
A02	MULTIPLE_FIGURES_SHARE_ONE_POOL	YES	YES_MULTIPLE_PAGES	NO_IN_GDT209_DIRECT_IMAGES	BALNEOLOGY_SPECIFIC_LEAD
A03	VERTICALLY_TIERED_FIGURE_ARRAY	YES_ACROSS_Q13_STRUCTURES	YES_F21R	NO_IN_GDT209_DIRECT_IMAGES	BALNEOLOGY_SPECIFIC_LEAD
A04	MULTIPLE_SEPARATE_POOLS_IN_ONE_SYSTEM	YES	YES_F21R	PAIRED_VESSELS_NOT_POOLS	BALNEOLOGY_SPECIFIC_LEAD
A05	VISIBLE_WATERCOURSE_LINKS_LEVELS_OR_POOLS	YES_FROZEN_CONNECTED_Q13_PAGES	YES_F21R	RETURN_LOOPS_WITHOUT_FIGURES	BALNEOLOGY_SPECIFIC_LEAD
A06	ARCHED_DOMED_OR_NESTED_ENCLOSURE	YES_F82V_ARCHED_FORMS	YES_MULTIPLE_PAGES	YES_OTHMER_F36R	SHARED_MEDIEVAL_VISUAL_GRAMMAR
A07	SERIES_OF_PAGE_SPECIFIC_ILLUSTRATED_UNITS	YES_Q13_BLOCK	YES_ILLUSTRATED_BATH_BY_BATH_TRADITION	YES_DONUM_SERIES	SHARED_TECHNICAL_DOCUMENT_PRACTICE
A08	PROSE_AND_LOCAL_VISUAL_STRUCTURE_COEXIST	YES	YES	YES	SHARED_TECHNICAL_DOCUMENT_PRACTICE
A09	READABLE_TEXT_IDENTIFIES_THERAPEUTIC_BATH_UNIT	UNKNOWN	YES	NO	PREDICTION_FOR_Q13_NOT_EVIDENCE
A10	LONG_OR_CROSS_PAGE_DUCT_NETWORK	YES	NO_IN_INSPECTED_BATH_IMAGES	YES_RETURN_CIRCULATION	ALCHEMICAL_HYDRAULIC_SECONDARY_LEAD
A11	VISIBLE_COLORED_LIQUID_REGIONS	YES_BLUE_GREEN	YES_GREEN_OR_BLUE_WATER	NO_MATCHING_LIQUID_COLOR_PROGRAM	BALNEOLOGY_SPECIFIC_LEAD
A12	SINGULAR_LOCAL_TEXT_OWNER_FOR_EACH_FIGURE_OR_STAGE	NO	NO_IN_INSPECTED_MINIATURES	NO_VOYNICH_BRIDGE	COMMON_TRANSLATION_BLOCKER
A13	SIX_STATE_FIVE_EDGE_FOUR_OUTPUT_ONE_HOLD	F77_POSTHOC_ONLY	NO	NO	EXACT_HOMOLOG_ABSENT
