locus	page	physical_folio	section	currier	hand	register	group_index	group_count	token	wrapper	inner_d	local_frame	page_host	right_family	dy_closure	b3	position_quartile
f100r.22	f100r	f100	P	A	1	OTHER_A	5	8	cphol	NONE	0	NONE	cphol	NONE	0	0	2
f100r.22	f100r	f100	P	A	1	OTHER_A	6	8	qotees	q	0	OT	ees	NONE	0	0	2
f100r.22	f100r	f100	P	A	1	OTHER_A	7	8	shey	sh	0	NONE	ey	NONE	0	0	3
f100r.24	f100r	f100	P	A	1	OTHER_A	1	9	saiichor	s	0	NONE	aiichor	NONE	0	0	0
f100r.24	f100r	f100	P	A	1	OTHER_A	2	9	sheor	sh	0	NONE	eor	NONE	0	0	0
f100r.24	f100r	f100	P	A	1	OTHER_A	3	9	qockhody	q	0	NONE	ockho	NONE	1	0	1
f100r.24	f100r	f100	P	A	1	OTHER_A	4	9	odeor	NONE	0	NONE	odeor	NONE	0	0	1
f100r.25	f100r	f100	P	A	1	OTHER_A	1	10	sheor	sh	0	NONE	eor	NONE	0	0	0
f100r.25	f100r	f100	P	A	1	OTHER_A	2	10	qkeeody	q	0	NONE	keeo	NONE	1	0	0
f100r.25	f100r	f100	P	A	1	OTHER_A	3	10	chol	ch	0	O	l	NONE	0	0	0
f100r.25	f100r	f100	P	A	1	OTHER_A	4	10	daiin	d	0	NONE	aiin	NONE	0	0	1
f100r.25	f100r	f100	P	A	1	OTHER_A	5	10	ctheol	NONE	0	NONE	ctheol	NONE	0	0	1
f100r.25	f100r	f100	P	A	1	OTHER_A	6	10	olcheol	NONE	0	NONE	olcheol	NONE	0	0	2
f100r.25	f100r	f100	P	A	1	OTHER_A	7	10	cheky	che	0	NONE	ky	NONE	0	0	2
f100r.25	f100r	f100	P	A	1	OTHER_A	8	10	cheol	che	0	O	l	NONE	0	0	3
f100r.25	f100r	f100	P	A	1	OTHER_A	9	10	cheockhy	che	0	NONE	ockhy	NONE	0	0	3
f100r.25	f100r	f100	P	A	1	OTHER_A	10	10	okeol	NONE	0	NONE	okeol	NONE	0	0	4
f100r.27	f100r	f100	P	A	1	OTHER_A	1	5	chol	ch	0	O	l	NONE	0	0	0
f100r.27	f100r	f100	P	A	1	OTHER_A	2	5	cheol	che	0	O	l	NONE	0	0	1
f100r.27	f100r	f100	P	A	1	OTHER_A	3	5	cho	ch	0	NONE	o	NONE	0	0	2
