tail	wrapper_outcome	o_occurrences	y_occurrences	o_rate	y_rate	o_minus_y	predicted_direction	actual_direction	informative	prediction_correct
EMPTY	Q	368	904	0.116847826087	0.0453539823009	0.0714938437861	O_HIGHER	O_HIGHER	1	1
EMPTY	D	368	904	0.0326086956522	0.0995575221239	-0.0669488264717	Y_HIGHER	Y_HIGHER	1	1
k	Q	847	56	0.590318772137	0.0178571428571	0.57246162928	O_HIGHER	O_HIGHER	1	1
k	D	847	56	0	0.0535714285714	-0.0535714285714	Y_HIGHER	Y_HIGHER	1	1
ka	Q	24	2	0.541666666667	0	0.541666666667	O_HIGHER	O_HIGHER	1	1
ka	D	24	2	0	0	0	Y_HIGHER	TIE	0	NA
kaly	Q	18	3	0.611111111111	0	0.611111111111	O_HIGHER	O_HIGHER	1	1
kaly	D	18	3	0	0.333333333333	-0.333333333333	Y_HIGHER	Y_HIGHER	1	1
kch	Q	43	3	0.674418604651	0	0.674418604651	O_HIGHER	O_HIGHER	1	1
kch	D	43	3	0	0	0	Y_HIGHER	TIE	0	NA
kche	Q	36	4	0.694444444444	0	0.694444444444	O_HIGHER	O_HIGHER	1	1
kche	D	36	4	0	0	0	Y_HIGHER	TIE	0	NA
kcho	Q	10	5	0.5	0	0.5	O_HIGHER	O_HIGHER	1	1
kcho	D	10	5	0	0	0	Y_HIGHER	TIE	0	NA
kchol	Q	16	3	0.5	0	0.5	O_HIGHER	O_HIGHER	1	1
kchol	D	16	3	0	0	0	Y_HIGHER	TIE	0	NA
kchor	Q	14	4	0.357142857143	0	0.357142857143	O_HIGHER	O_HIGHER	1	1
kchor	D	14	4	0	0	0	Y_HIGHER	TIE	0	NA
kchy	Q	64	8	0.5625	0	0.5625	O_HIGHER	O_HIGHER	1	1
kchy	D	64	8	0	0.25	-0.25	Y_HIGHER	Y_HIGHER	1	1
ke	Q	241	6	0.734439834025	0	0.734439834025	O_HIGHER	O_HIGHER	1	1
ke	D	241	6	0.00414937759336	0	0.00414937759336	Y_HIGHER	O_HIGHER	1	0
kee	Q	239	19	0.778242677824	0	0.778242677824	O_HIGHER	O_HIGHER	1	1
kee	D	239	19	0	0.0526315789474	-0.0526315789474	Y_HIGHER	Y_HIGHER	1	1
keed	Q	25	2	0.6	0	0.6	O_HIGHER	O_HIGHER	1	1
keed	D	25	2	0	0	0	Y_HIGHER	TIE	0	NA
keee	Q	7	3	0.428571428571	0	0.428571428571	O_HIGHER	O_HIGHER	1	1
keee	D	7	3	0	0	0	Y_HIGHER	TIE	0	NA
keeey	Q	26	5	0.461538461538	0	0.461538461538	O_HIGHER	O_HIGHER	1	1
keeey	D	26	5	0	0	0	Y_HIGHER	TIE	0	NA
keeo	Q	31	9	0.612903225806	0	0.612903225806	O_HIGHER	O_HIGHER	1	1
keeo	D	31	9	0	0	0	Y_HIGHER	TIE	0	NA
keeol	Q	9	6	0.444444444444	0	0.444444444444	O_HIGHER	O_HIGHER	1	1
keeol	D	9	6	0	0	0	Y_HIGHER	TIE	0	NA
keeor	Q	7	2	0.857142857143	0	0.857142857143	O_HIGHER	O_HIGHER	1	1
keeor	D	7	2	0	0	0	Y_HIGHER	TIE	0	NA
kees	Q	10	2	0.5	0	0.5	O_HIGHER	O_HIGHER	1	1
kees	D	10	2	0	0	0	Y_HIGHER	TIE	0	NA
keey	Q	230	25	0.726086956522	0	0.726086956522	O_HIGHER	O_HIGHER	1	1
keey	D	230	25	0	0	0	Y_HIGHER	TIE	0	NA
keo	Q	35	4	0.657142857143	0	0.657142857143	O_HIGHER	O_HIGHER	1	1
keo	D	35	4	0	0	0	Y_HIGHER	TIE	0	NA
keod	Q	3	2	1	0	1	O_HIGHER	O_HIGHER	1	1
keod	D	3	2	0	0	0	Y_HIGHER	TIE	0	NA
keol	Q	43	5	0.372093023256	0	0.372093023256	O_HIGHER	O_HIGHER	1	1
keol	D	43	5	0	0	0	Y_HIGHER	TIE	0	NA
keos	Q	3	2	0.666666666667	0	0.666666666667	O_HIGHER	O_HIGHER	1	1
keos	D	3	2	0	0	0	Y_HIGHER	TIE	0	NA
key	Q	79	2	0.632911392405	0	0.632911392405	O_HIGHER	O_HIGHER	1	1
key	D	79	2	0	0	0	Y_HIGHER	TIE	0	NA
koiin	Q	5	2	0.4	0	0.4	O_HIGHER	O_HIGHER	1	1
