host	register	wrapper	frame	right_family	b3_absent_unit	b3_present_unit	context_similarity	matched_control_similarity	gain_vs_control	control_units
a	HERBAL_A	d	NONE	NONE	f24r|a|0|d|NONE|NONE	f14v|a|1|d|NONE|NONE	0.0634920634921	0.101449275362	-0.0379572118703	1
a	HERBAL_A	d	NONE	NONE	f24r|a|0|d|NONE|NONE	f22v|a|1|d|NONE|NONE	0.168674698795	0.154639175258	0.0140355235374	1
a	HERBAL_A	d	NONE	NONE	f24r|a|0|d|NONE|NONE	f23v|a|1|d|NONE|NONE	0.180555555556	0.101449275362	0.0791062801932	1
a	HERBAL_A	d	NONE	NONE	f24r|a|0|d|NONE|NONE	f42r|a|1|d|NONE|NONE	0.174418604651	0.154639175258	0.0197794293934	1
a	HERBAL_A	d	NONE	NONE	f24r|a|0|d|NONE|NONE	f47r|a|1|d|NONE|NONE	0.132352941176	0.101449275362	0.0309036658142	1
a	HERBAL_A	d	NONE	NONE	f24r|a|0|d|NONE|NONE	f54r|a|1|d|NONE|NONE	0.2	0.101449275362	0.0985507246377	1
a	HERBAL_A	sh	NONE	NONE	f3v|a|0|sh|NONE|NONE	f24r|a|1|sh|NONE|NONE	0.207792207792	0.0958904109589	0.111901796833	1
a	OTHER_B	d	NONE	NONE	f76v|a|0|d|NONE|NONE	f79r|a|1|d|NONE|NONE	0.244897959184	0.228739002933	0.0161589562511	1
a	OTHER_B	d	NONE	NONE	f78v|a|0|d|NONE|NONE	f79r|a|1|d|NONE|NONE	0.326530612245	0.294915254237	0.0316153580076	1
aii	STARS_RECIPE_B	d	NONE	NONE	f114r|aii|0|d|NONE|NONE	f105v|aii|1|d|NONE|NONE	0.251612903226	0.285714285714	-0.0341013824885	1
ckho	STARS_RECIPE_B	ch	NONE	NONE	f113r|ckho|0|ch|NONE|NONE	f108r|ckho|1|ch|NONE|NONE	0.238219895288	0.266318537859	-0.028098642571	1
ctho	HERBAL_A	NONE	NONE	NONE	f13v|ctho|0|NONE|NONE|NONE	f3r|ctho|1|NONE|NONE|NONE	0.0740740740741	0.0873831775701	-0.013309103496	2
ctho	HERBAL_A	NONE	NONE	NONE	f13v|ctho|0|NONE|NONE|NONE	f45r|ctho|1|NONE|NONE|NONE	0.147058823529	0.151875857541	-0.00481703401121	6
ctho	HERBAL_A	NONE	NONE	NONE	f13v|ctho|0|NONE|NONE|NONE	f4r|ctho|1|NONE|NONE|NONE	0.1875	0.151875857541	0.0356241424594	6
ctho	HERBAL_A	NONE	NONE	NONE	f13v|ctho|0|NONE|NONE|NONE	f6r|ctho|1|NONE|NONE|NONE	0.136363636364	0.151875857541	-0.015512221177	6
ctho	HERBAL_A	NONE	NONE	NONE	f13v|ctho|0|NONE|NONE|NONE	f6v|ctho|1|NONE|NONE|NONE	0.131147540984	0.151875857541	-0.020728316557	6
ctho	HERBAL_A	NONE	NONE	NONE	f21v|ctho|0|NONE|NONE|NONE	f3r|ctho|1|NONE|NONE|NONE	0.174311926606	0.186002178649	-0.0116902520437	2
ctho	HERBAL_A	NONE	NONE	NONE	f21v|ctho|0|NONE|NONE|NONE	f45r|ctho|1|NONE|NONE|NONE	0.168831168831	0.145838697168	0.0229924716629	6
ctho	HERBAL_A	NONE	NONE	NONE	f21v|ctho|0|NONE|NONE|NONE	f4r|ctho|1|NONE|NONE|NONE	0.239436619718	0.145838697168	0.09359792255	6
ctho	HERBAL_A	NONE	NONE	NONE	f21v|ctho|0|NONE|NONE|NONE	f6r|ctho|1|NONE|NONE|NONE	0.175675675676	0.145838697168	0.0298369785074	6
ctho	HERBAL_A	NONE	NONE	NONE	f21v|ctho|0|NONE|NONE|NONE	f6v|ctho|1|NONE|NONE|NONE	0.109589041096	0.145838697168	-0.0362496560724	6
ctho	HERBAL_A	NONE	NONE	NONE	f27r|ctho|0|NONE|NONE|NONE	f3r|ctho|1|NONE|NONE|NONE	0.105263157895	0.113845008684	-0.00858185078941	2
ctho	HERBAL_A	NONE	NONE	NONE	f27r|ctho|0|NONE|NONE|NONE	f45r|ctho|1|NONE|NONE|NONE	0.157894736842	0.129037022232	0.0288577146097	6
ctho	HERBAL_A	NONE	NONE	NONE	f27r|ctho|0|NONE|NONE|NONE	f4r|ctho|1|NONE|NONE|NONE	0.146666666667	0.129037022232	0.0176296444343	6
