model	register	held_bits	gain_vs_best_factor_bits
HOST_REGISTER_FACTOR	HERBAL_A	10772.9856299	0
HOST_REGISTER_FACTOR	HERBAL_B	3625.19833915	0
HOST_REGISTER_FACTOR	OTHER_A	3066.12025719	0
HOST_REGISTER_FACTOR	OTHER_B	10832.9771247	0
HOST_REGISTER_FACTOR	STARS_RECIPE_B	14110.2196094	0
RIGHT_GIVEN_WRAPPER	HERBAL_A	10749.2748115	23.7108183233
RIGHT_GIVEN_WRAPPER	HERBAL_B	3627.1427784	-1.94443925216
RIGHT_GIVEN_WRAPPER	OTHER_A	3066.40782257	-0.287565378541
RIGHT_GIVEN_WRAPPER	OTHER_B	10842.5455716	-9.56844690396
RIGHT_GIVEN_WRAPPER	STARS_RECIPE_B	14089.9816691	20.2379402915
WRAPPER_GIVEN_RIGHT	HERBAL_A	10769.0184908	3.96713903597
WRAPPER_GIVEN_RIGHT	HERBAL_B	3625.15689436	0.0414447889061
WRAPPER_GIVEN_RIGHT	OTHER_A	3067.52968027	-1.40942308703
WRAPPER_GIVEN_RIGHT	OTHER_B	10838.7269631	-5.74983839513
WRAPPER_GIVEN_RIGHT	STARS_RECIPE_B	14106.8665761	3.35303336091
