channel_a_axes	architecture_score	is_preexisting_object_partition	rank
STAR_OR_SKY;FIGURE;WATER_OR_APPARATUS;REL_ARRAY_OR_GROUP	136.010169785	0	1
FIGURE;PLANT;WATER_OR_APPARATUS;REL_ARRAY_OR_GROUP	124.640027351	0	2
STAR_OR_SKY;FIGURE;PLANT;WATER_OR_APPARATUS	119.484366913	1	3
FIGURE;WATER_OR_APPARATUS;REL_ENCLOSURE;REL_ARRAY_OR_GROUP	117.367516841	0	4
STAR_OR_SKY;FIGURE;WATER_OR_APPARATUS;REL_ENCLOSURE	112.211856403	0	5
FIGURE;PLANT;WATER_OR_APPARATUS;REL_ENCLOSURE	100.841713969	0	6
FIGURE;WATER_OR_APPARATUS;REL_PROXIMITY;REL_ARRAY_OR_GROUP	100.28417022	0	7
STAR_OR_SKY;FIGURE;WATER_OR_APPARATUS;REL_PROXIMITY	95.1285097827	0	8
FIGURE;PLANT;WATER_OR_APPARATUS;REL_PROXIMITY	83.7583673484	0	9
FIGURE;WATER_OR_APPARATUS;REL_PROXIMITY;REL_ENCLOSURE	76.4858568384	0	10
STAR_OR_SKY;PLANT;WATER_OR_APPARATUS;REL_ARRAY_OR_GROUP	75.5989760469	0	11
STAR_OR_SKY;WATER_OR_APPARATUS;REL_ENCLOSURE;REL_ARRAY_OR_GROUP	68.3264655369	0	12
FIGURE;WATER_OR_APPARATUS;REL_EXPLICIT_ATTACHMENT;REL_ARRAY_OR_GROUP	63.3755025914	0	13
STAR_OR_SKY;FIGURE;WATER_OR_APPARATUS;REL_EXPLICIT_ATTACHMENT	58.2198421536	0	14
PLANT;WATER_OR_APPARATUS;REL_ENCLOSURE;REL_ARRAY_OR_GROUP	56.9563231026	0	15
STAR_OR_SKY;PLANT;WATER_OR_APPARATUS;REL_ENCLOSURE	51.8006626649	0	16
STAR_OR_SKY;WATER_OR_APPARATUS;REL_PROXIMITY;REL_ARRAY_OR_GROUP	51.2431189163	0	17
FIGURE;PLANT;WATER_OR_APPARATUS;REL_EXPLICIT_ATTACHMENT	46.8496997193	0	18
STAR_OR_SKY;FIGURE;PLANT;REL_ARRAY_OR_GROUP	45.1898616596	0	19
PLANT;WATER_OR_APPARATUS;REL_PROXIMITY;REL_ARRAY_OR_GROUP	39.872976482	0	20
FIGURE;WATER_OR_APPARATUS;REL_EXPLICIT_ATTACHMENT;REL_ENCLOSURE	39.5771892094	0	21
STAR_OR_SKY;FIGURE;REL_ENCLOSURE;REL_ARRAY_OR_GROUP	37.9173511496	0	22
STAR_OR_SKY;PLANT;WATER_OR_APPARATUS;REL_PROXIMITY	34.7173160443	0	23
WATER_OR_APPARATUS;REL_PROXIMITY;REL_ENCLOSURE;REL_ARRAY_OR_GROUP	32.6004659721	0	24
STAR_OR_SKY;WATER_OR_APPARATUS;REL_PROXIMITY;REL_ENCLOSURE	27.4448055343	0	25
FIGURE;PLANT;REL_ENCLOSURE;REL_ARRAY_OR_GROUP	26.5472087153	0	26
FIGURE;WATER_OR_APPARATUS;REL_PROXIMITY;REL_EXPLICIT_ATTACHMENT	22.4938425888	0	27
STAR_OR_SKY;FIGURE;PLANT;REL_ENCLOSURE	21.3915482776	0	28
STAR_OR_SKY;FIGURE;REL_PROXIMITY;REL_ARRAY_OR_GROUP	20.834004529	0	29
PLANT;WATER_OR_APPARATUS;REL_PROXIMITY;REL_ENCLOSURE	16.0746631	0	30
STAR_OR_SKY;WATER_OR_APPARATUS;REL_EXPLICIT_ATTACHMENT;REL_ARRAY_OR_GROUP	14.3344512873	0	31
FIGURE;PLANT;REL_PROXIMITY;REL_ARRAY_OR_GROUP	9.46386209474	0	32
STAR_OR_SKY;FIGURE;PLANT;REL_PROXIMITY	4.30820165698	0	33
PLANT;WATER_OR_APPARATUS;REL_EXPLICIT_ATTACHMENT;REL_ARRAY_OR_GROUP	2.96430885298	0	34
FIGURE;REL_PROXIMITY;REL_ENCLOSURE;REL_ARRAY_OR_GROUP	2.19135158478	0	35
STAR_OR_SKY;PLANT;WATER_OR_APPARATUS;REL_EXPLICIT_ATTACHMENT	-2.19135158478	0	36
STAR_OR_SKY;FIGURE;REL_PROXIMITY;REL_ENCLOSURE	-2.96430885298	0	37
