panel	cells	events	q_events	folios	powered
ABBREVIATION_HEAVY_MEDIEVAL	0	0	0	0	0
ARBITRARY_LOCAL_CODEBOOK	0	0	0	0	0
AUGSBURG_ACCOUNTS_1402_1424	0	0	0	0	0
COMPOSITIONAL_TECHNICAL_NOTATION	61	1889	397	173	1
HYBRID_SHORTHAND	28	816	164	170	1
IFORAL_1395_1411_GRAPHEMATIC	0	0	0	0	0
LATIN_15C_GRAPHEMATIC	0	0	0	0	0
LATIN_GERMAN_APOTHECARY_LATE15	0	0	0	0	0
LATIN_MEDICAL_GRAPHEMATIC	0	0	0	0	0
LATIN_SCHOLASTIC_GRAPHEMATIC	10	302	64	6	1
LEARNED_ABBREVIATION_MAP	0	0	0	0	0
LEARNED_ABBREVIATION_SAMPLED	0	0	0	0	0
ORDINARY_NATURAL_LANGUAGE	0	0	0	0	0
STE1_DIPLOMATIC_RECIPES	0	0	0	0	0
STE1_EXPANDED_RECIPES	0	0	0	0	0
VOYNICH_REFERENCE	36	450	137	82	1
