scope	page	physical_folio	record_id	field_ordinal	record_field_count	relative_position	field_group_count	locus	line_field_end	abstract_role_like	source_tokens	page_hosts	compiler_cells	claim_state
Q13	f75r	f75	Q13|f75r|R01	1	40	0.025	9	f75r.3	LINE_END	INSTRUCTION_CLAUSE_LIKE	qokain|chal|orchey|qey|kain|sheeky|ltain|olkar|or	ok|al|orchey|ey|k|eeky|lt|olk|or	q:NONE:0:ain:0:0|ch:NONE:0:NONE:0:0|NONE:NONE:0:NONE:0:0|q:NONE:0:NONE:0:0|NONE:NONE:0:ain:0:0|sh:NONE:0:NONE:0:0|NONE:NONE:0:ain:0:0|NONE:NONE:0:ar:0:0|NONE:NONE:0:NONE:0:0	OPAQUE_ABSTRACT_INTERLINEAR_NO_GLOSS
Q13	f75r	f75	Q13|f75r|R01	2	40	0.05	1	f75r.7	DY	SHORT_ARGUMENT_LIKE	pchedy	pche	NONE:NONE:0:NONE:1:0	OPAQUE_ABSTRACT_INTERLINEAR_NO_GLOSS
Q13	f75r	f75	Q13|f75r|R01	3	40	0.075	1	f75r.7	DY	SHORT_ARGUMENT_LIKE	qokshdy	oksh	q:NONE:0:NONE:1:0	OPAQUE_ABSTRACT_INTERLINEAR_NO_GLOSS
Q13	f75r	f75	Q13|f75r|R01	4	40	0.1	7	f75r.7	LINE_END	INSTRUCTION_CLAUSE_LIKE	ytain|chedy|qokar|chy|lol|chedy|qoky	yt|y|ok|y|lol|y|oky	NONE:NONE:0:ain:0:0|che:NONE:1:NONE:0:0|q:NONE:0:ar:0:0|ch:NONE:0:NONE:0:0|NONE:NONE:0:NONE:0:0|che:NONE:1:NONE:0:0|q:NONE:0:NONE:0:0	OPAQUE_ABSTRACT_INTERLINEAR_NO_GLOSS
Q13	f75r	f75	Q13|f75r|R01	5	40	0.125	1	f75r.9	DY	SHORT_ARGUMENT_LIKE	qokchdy	okch	q:NONE:0:NONE:1:0	OPAQUE_ABSTRACT_INTERLINEAR_NO_GLOSS
Q13	f75r	f75	Q13|f75r|R01	6	40	0.15	3	f75r.9	DY	INSTRUCTION_CLAUSE_LIKE	chcthy|lo|qokedy	cthy|lo|oke	ch:NONE:0:NONE:0:0|NONE:NONE:0:NONE:0:0|q:NONE:0:NONE:1:0	OPAQUE_ABSTRACT_INTERLINEAR_NO_GLOSS
Q13	f75r	f75	Q13|f75r|R01	7	40	0.175	4	f75r.9	DY	INSTRUCTION_CLAUSE_LIKE	qokan|checkhy|qokar|olchedy	okan|ckhy|ok|olche	q:NONE:0:NONE:0:0|che:NONE:0:NONE:0:0|q:NONE:0:ar:0:0|NONE:NONE:0:NONE:1:0	OPAQUE_ABSTRACT_INTERLINEAR_NO_GLOSS
Q13	f75r	f75	Q13|f75r|R01	8	40	0.2	1	f75r.9	LINE_END	SHORT_ARGUMENT_LIKE	sal	al	s:NONE:0:NONE:0:0	OPAQUE_ABSTRACT_INTERLINEAR_NO_GLOSS
Q13	f75r	f75	Q13|f75r|R01	9	40	0.225	9	f75r.10	DY	INSTRUCTION_CLAUSE_LIKE	dshor|qotar|chdy|shey|qokain|chckhy|dy|otey|tedy	shor|ot|y|ey|ok|ckhy|y|otey|e	d:NONE:0:NONE:0:0|q:NONE:0:ar:0:0|ch:NONE:1:NONE:0:0|sh:NONE:0:NONE:0:0|q:NONE:0:ain:0:0|ch:NONE:0:NONE:0:0|d:NONE:0:NONE:0:0|NONE:NONE:0:NONE:0:0|t:NONE:0:NONE:1:0	OPAQUE_ABSTRACT_INTERLINEAR_NO_GLOSS
Q13	f75r	f75	Q13|f75r|R01	10	40	0.25	1	f75r.10	DY	SHORT_ARGUMENT_LIKE	lchedy	lche	NONE:NONE:0:NONE:1:0	OPAQUE_ABSTRACT_INTERLINEAR_NO_GLOSS
Q13	f75r	f75	Q13|f75r|R01	11	40	0.275	1	f75r.13	DY	SHORT_ARGUMENT_LIKE	pchedy	pche	NONE:NONE:0:NONE:1:0	OPAQUE_ABSTRACT_INTERLINEAR_NO_GLOSS
Q13	f75r	f75	Q13|f75r|R01	12	40	0.3	1	f75r.13	DY	SHORT_ARGUMENT_LIKE	keedy	kee	NONE:NONE:0:NONE:1:0	OPAQUE_ABSTRACT_INTERLINEAR_NO_GLOSS
Q13	f75r	f75	Q13|f75r|R01	13	40	0.325	1	f75r.13	DY	SHORT_ARGUMENT_LIKE	qokedy	oke	q:NONE:0:NONE:1:0	OPAQUE_ABSTRACT_INTERLINEAR_NO_GLOSS
Q13	f75r	f75	Q13|f75r|R01	14	40	0.35	1	f75r.13	DY	SHORT_ARGUMENT_LIKE	qokedy	oke	q:NONE:0:NONE:1:0	OPAQUE_ABSTRACT_INTERLINEAR_NO_GLOSS
Q13	f75r	f75	Q13|f75r|R01	15	40	0.375	1	f75r.13	DY	SHORT_ARGUMENT_LIKE	qokedy	oke	q:NONE:0:NONE:1:0	OPAQUE_ABSTRACT_INTERLINEAR_NO_GLOSS
Q13	f75r	f75	Q13|f75r|R01	16	40	0.4	1	f75r.13	DY	SHORT_ARGUMENT_LIKE	qokedy	oke	q:NONE:0:NONE:1:0	OPAQUE_ABSTRACT_INTERLINEAR_NO_GLOSS
Q13	f75r	f75	Q13|f75r|R01	17	40	0.425	2	f75r.13	DY	SHORT_ARGUMENT_LIKE	qokain|olshedy	ok|olshe	q:NONE:0:ain:0:0|NONE:NONE:0:NONE:1:0	OPAQUE_ABSTRACT_INTERLINEAR_NO_GLOSS
